,公司代號,公司名稱,發言日期,發言時間,主旨
0,2349,錸德,102/01/10,15:48:58,公告本公司101年12月份自結財務報表之高流動資產、短期借 款及一年內到期之長期負債相關財務資訊
1,2349,錸德,102/02/18,15:57:30,公告本公司102年1月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
2,2349,錸德,102/03/08,20:14:41,公告本公司102年2月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
3,2349,錸德,102/03/26,17:48:17,本公司董事會決議庫藏股註銷減資案
4,2349,錸德,102/03/26,17:48:36,公告本公司董事會決議不發放股利
5,2349,錸德,102/03/26,17:48:56,公告本公司董事會決議101年股東常會通過之私募有價證券案， 於剩餘期限內不繼續辦理。
6,2349,錸德,102/03/26,17:49:17,本公司召開102年股東常會相關事宜
7,2349,錸德,102/03/27,14:55:55,公告1020327地震對本公司財務或業務並無重大影響。
8,2349,錸德,102/04/10,15:46:23,公告本公司102年3月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
9,2349,錸德,102/04/12,08:56:40,公告本公司處份土地和建物之相關資訊
10,2349,錸德,102/04/23,14:03:55,公告本公司辦理庫藏股註銷完成實收資本額變更登記事宜
11,2349,錸德,102/05/03,17:07:52,本公司董事會決議依市場狀況擇機辦理發行私募有價證券案
12,2349,錸德,102/05/03,17:08:20,本公司召開102年股東常會相關事宜
13,2349,錸德,102/05/10,15:25:26,公告本公司102年4月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
14,2349,錸德,102/05/24,16:32:00,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
15,2349,錸德,102/06/03,10:27:03,公告102年6月2日南投地震對本公司財務業務並無重大影響
16,2349,錸德,102/06/10,14:34:36,公告本公司102年5月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
17,2349,錸德,102/06/14,17:01:04,公告本公司102年股東常會重要決議事項
18,2349,錸德,102/06/14,17:01:57,公告本公司董事及監察人當選名單
19,2349,錸德,102/06/14,17:02:25,本公司102年股東常會通過解除新任董事及 其代表人競業禁止之限制案
20,2349,錸德,102/06/14,17:03:21,公告本公司董事會推舉葉進泰先生續任董事長
21,2349,錸德,102/07/10,16:48:36,公告本公司102年6月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
22,2349,錸德,102/07/17,10:21:45,公告修正本公司101度年報
23,2349,錸德,102/07/19,14:46:29,公告修正本公司101年度年報部份資料
24,2349,錸德,102/07/24,13:50:37,有關媒體報導之說明
25,2349,錸德,102/08/09,15:07:42,公告本公司102年7月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
26,2349,錸德,102/08/14,15:51:57,本公司董事會決議委任第二屆薪資報酬委員會委員
27,2349,錸德,102/08/14,18:30:46,公告本公司取得錸寶科技(股)公司之證券
28,2349,錸德,102/09/10,15:22:30,公告本公司102年8月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
29,2349,錸德,102/10/09,15:09:35,公告本公司102年9月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
30,2349,錸德,102/11/08,17:28:47,公告本公司102年10月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
31,2349,錸德,102/12/10,14:52:29,公告本公司102年11月份自結合併財務報表之高流動資產、短 期借款及一年內到期之長期負債相關財務資訊
32,2349,錸德,102/12/13,16:29:34,有關本公司獨立董事辭任事宜
33,2349,錸德,102/12/25,17:00:15,更正本公司102年11月資金貸與申報事項
34,2349,錸德,102/12/25,17:28:49,更正本公司102年11月資金貸與申報事項
35,2349,錸德,102/12/31,15:32:15,有關本公司薪酬委員會成員辭任事宜
36,2349,錸德,102/12/31,15:54:54,公告本公司法人監察人指派代表人事項
