,公司代號,公司名稱,發言日期,發言時間,主旨
0,2349,錸德,109/01/10,14:13:00,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
1,2349,錸德,109/02/12,14:30:24,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
2,2349,錸德,109/03/10,14:01:43,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
3,2349,錸德,109/03/27,16:36:22,本公司召開109年股東常會相關事宜
4,2349,錸德,109/03/27,16:36:26,公告本公司依據國際會計準則第36號公報認列資產減損
5,2349,錸德,109/04/10,14:07:25,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
6,2349,錸德,109/05/07,16:51:38,公告董事會決議增列109年股東常會議案
7,2349,錸德,109/05/07,16:52:38,公告本公司董事會決議辦理減資彌補虧損
8,2349,錸德,109/05/07,17:36:11,公告本公司董事會決議不發放股利
9,2349,錸德,109/05/11,14:27:20,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
10,2349,錸德,109/05/18,15:49:21,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
11,2349,錸德,109/06/10,14:08:34,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
12,2349,錸德,109/06/17,16:03:26,公告本公司109年股東常會重要決議事項
13,2349,錸德,109/06/17,16:05:01,公告本公司董事、獨立董事當選名單
14,2349,錸德,109/06/17,16:05:48,公告本公司董事會推舉葉垂景先生續任董事長
15,2349,錸德,109/06/17,16:06:35,公告本公司審計委員會因董事改選，任期屆滿。
16,2349,錸德,109/06/17,16:07:12,公告本公司薪酬委員會委員因董事改選，任期屆滿。
17,2349,錸德,109/06/17,16:07:57,本公司減資致債權人公告
18,2349,錸德,109/06/17,16:24:39,本公司109年股東常會通過解除新任董事及其代表人競業行為 之限制案.
19,2349,錸德,109/07/10,14:04:00,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
20,2349,錸德,109/07/15,16:28:15,公告修正本公司108年度年報部份資料
21,2349,錸德,109/08/07,15:44:42,本公司董事會決議委任第五屆薪資報酬委員會委員
22,2349,錸德,109/08/07,15:45:34,公告本公司董事會訂定減資基準日、換股作業計劃及 減資換發股票基準日等相關事宜。
23,2349,錸德,109/08/10,14:00:42,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
24,2349,錸德,109/08/24,14:25:13,公告本公司減資辦理資本變更登記完成
25,2349,錸德,109/09/10,14:02:31,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
26,2349,錸德,109/09/30,15:42:44,代子公司博錸科技(股)公司公告取得Score High Group Ltd股權案
27,2349,錸德,109/09/30,15:43:05,代子公司Score High Group Ltd公告取得 Ritek Vietnam Company Ltd.之股權
28,2349,錸德,109/10/12,14:02:52,公告本公司自結合併財務報表之高流動資產、短期借款及 一年內到期之長期負債相關財務資訊
