,公司代號,公司名稱,發言日期,發言時間,主旨
0,2356,英業達,100/01/24,13:35:59,"經濟日報報導""英業達傳獲摩托HP訂單""及""英業達拚成長 目標三個30趴""之事說明"
1,2356,英業達,100/01/24,18:38:20,董事會決議通過參與景懋光電股份有限公司現金增資
2,2356,英業達,100/01/27,14:03:12,董事會決議通過參與應募益通光能科技股份有限公司 私募普通股
3,2356,英業達,100/01/27,14:04:37,代子公司英源達投資股份有限公司公告董事會決議 參與應募益通光能科技股份有限公司私募普通股
4,2356,英業達,100/01/27,14:06:21,英業達參與應募益通光能科技股份有限公司私募普通股補充說明
5,2356,英業達,100/02/10,16:38:43,99年12月背書保證及資金貸與資訊揭露明細表更正公告
6,2356,英業達,100/03/08,15:43:33,"經濟日報報導""英業達全年出貨""之事說明"
7,2356,英業達,100/03/14,11:57:36,日本地震對本公司財務及業務並無重大影響
8,2356,英業達,100/03/22,08:18:47,董事會決議通過解除經理人競業禁止之限制
9,2356,英業達,100/03/22,17:27:31,英業達與英華達股份有限公司股份轉換案新聞稿
10,2356,英業達,100/03/22,19:08:52,公告本公司99年度財務報告
11,2356,英業達,100/03/22,19:17:57,公告本公司認列九十九年資產減損情形之說明
12,2356,英業達,100/03/22,19:47:38,公告本公司董事會決議召開一○○年股東常會
13,2356,英業達,100/03/22,19:48:34,董事會決議發放股利
14,2356,英業達,100/03/22,19:57:22,本公司擬以發行新股進行股份轉換，取得英華達股份有限公司 百分之百股份
15,2356,英業達,100/03/22,20:26:10,本公司擬以發行新股進行股份轉換
16,2356,英業達,100/03/22,21:22:21,董事會通過將透過英業達(開曼)有限公司向日本Onkyo公司 購入其持有之香港英安達有限公司部份股權
17,2356,英業達,100/04/26,18:32:40,公告本公司一○○年第一季財務報告
18,2356,英業達,100/04/26,18:33:23,董事會決議通過解除經理人競業禁止之限制
19,2356,英業達,100/04/26,18:37:47,董事會通過大陸投資英業達不動產開發（重慶）有限公司
20,2356,英業達,100/04/26,19:36:36,董事會決議通過解除經理人競業禁止之限制(更正)
21,2356,英業達,100/04/29,20:00:04,解除經理人競業禁止之限制
22,2356,英業達,100/05/24,18:23:26,董事會通過大陸投資昆山錦承電子有限公司
23,2356,英業達,100/05/24,18:23:42,"代子公司英源達科技有限公司大陸投資公告 (原99年11月23日決議,於100年5月24日董事會通過撤銷)"
24,2356,英業達,100/05/24,18:27:27,董事會決議通過解除經理人競業禁止之限制
25,2356,英業達,100/06/09,15:46:26,一○○年度股東常會決議事項
26,2356,英業達,100/06/09,16:34:15,100年度股東常會改選董事變動情形
27,2356,英業達,100/06/09,16:42:24,100年度股東常會改選監察人變動
28,2356,英業達,100/06/09,16:48:14,股東會決議通過解除新任董事競業禁止之限制
29,2356,英業達,100/06/10,18:05:41,"經濟日報報導""英業達轉型拚四高""之事說明"
30,2356,英業達,100/06/28,17:48:01,董事會決議配息基準日暨調整配息率
31,2356,英業達,100/06/28,17:48:19,董事會決議通過解除經理人競業禁止之限制
32,2356,英業達,100/07/15,08:46:15,公告子公司生耀光電股份有限公司背書保證超限說明及改善計劃
33,2356,英業達,100/08/01,13:42:37,"工商時報報導""英業達軟體事業 考慮分割""之事說明"
34,2356,英業達,100/08/30,18:48:09,公告本公司一○○年上半年財務報告
35,2356,英業達,100/08/30,18:51:55,本公司發行新股進行股份轉換
36,2356,英業達,100/09/26,18:34:42,代子公司英穩達科技股份有限公司公告取得機器設備
37,2356,英業達,100/09/26,18:38:11,本公司代子公司公告董事會決議
38,2356,英業達,100/09/27,17:44:30,董事會決議成立薪資報酬委員會
39,2356,英業達,100/10/06,15:20:45,"經濟日報報導""英業達將縮編平板產線""之事說明"
40,2356,英業達,100/10/07,15:03:19,本公司代子公司英華達股份有限公司公告董事及監察人變更
41,2356,英業達,100/10/07,15:03:55,本公司代子公司英華達股份有限公司公告董事會代行股東會決議 解除董事競業禁止之限制案
42,2356,英業達,100/10/07,15:04:14,本公司代子公司英華達股份有限公司公告撤銷公開發行事宜
43,2356,英業達,100/10/25,16:22:16,公告本公司一○○年前三季財務報告
44,2356,英業達,100/10/27,17:51:14,"媒體報導""英業達再傳裁員，人力縮減逾百人…""之事說明"
