,公司代號,公司名稱,發言日期,發言時間,主旨
0,2357,華碩,102/01/28,15:05:18,澄清102/01/27媒體報導
1,2357,華碩,102/01/30,13:49:53,變更本公司海外存託憑證(GDSs)上市交易地點
2,2357,華碩,102/02/19,14:41:25,澄清102/02/19媒體報導
3,2357,華碩,102/02/26,16:41:39,公告本公司召開法說會相關內容
4,2357,華碩,102/02/27,14:37:44,澄清102/02/27經濟日報報導
5,2357,華碩,102/03/06,14:00:57,澄清102/03/06媒體報導
6,2357,華碩,102/03/11,14:56:04,公告本公司參加美林證券舉辦法說會之相關內容
7,2357,華碩,102/03/18,18:08:13,代子公司ASUS TECHNOLOGY PTE. LTD.公告 取得ACBZ REPRESENTACO COMERCIAL LTDA股權之相關資料
8,2357,華碩,102/03/27,15:24:37,公告102/03/27地震對本公司財務及業務並無重大影響
9,2357,華碩,102/03/27,17:51:03,本公司董事會決議召開102年股東常會相關事宜公告
10,2357,華碩,102/03/27,17:51:13,本公司董事會決議股利分派
11,2357,華碩,102/03/28,17:57:58,公告本公司海外存託憑證上市交易地點變更
12,2357,華碩,102/04/16,10:45:21,本公司受邀參加券商UBS舉辦之電話會議法說會
13,2357,華碩,102/04/17,10:01:40,本公司受邀參加凱基證券舉辦之法人說明會
14,2357,華碩,102/04/17,11:54:24,澄清102/04/17媒體報導
15,2357,華碩,102/04/29,15:32:03,公告本公司召開法說會相關內容
16,2357,華碩,102/04/29,17:26:52,公告本公司處分和碩普通股(4938)持股
17,2357,華碩,102/05/03,17:18:10,董事會決議修訂102年股東常會召集事由
18,2357,華碩,102/05/16,15:50:03,代子公司亞旭電腦公告召開102年股東常會相關事宜
19,2357,華碩,102/05/16,15:50:12,代子公司亞旭電腦公告董事會決議不分配股利
20,2357,華碩,102/05/17,12:07:03,本公司受邀參加德意志銀行舉辦之海外法人說明會
21,2357,華碩,102/05/20,16:24:21,"代子公司亞旭電腦股份有限公司公告增資 Magic Interntaional Co., Ltd"
22,2357,華碩,102/05/20,16:24:29,"代子公司Magic Interntaional Co., Ltd公告增資 Leading Profit Co., Ltd."
23,2357,華碩,102/05/20,17:08:30,本公司受邀參加野村證券舉辦之海外法人說明會
24,2357,華碩,102/05/21,17:33:32,公告本公司股務代理機構合併事宜
25,2357,華碩,102/05/24,17:21:20,代子公司研揚科技公告召開102年股東常會相關事宜
26,2357,華碩,102/05/24,17:21:37,代子公司研揚科技公告董事會決議分配股利
27,2357,華碩,102/06/03,14:00:36,公告102/06/02地震對本公司財務及業務並無重大影響
28,2357,華碩,102/06/11,11:58:17,澄清102/06/11媒體報導
29,2357,華碩,102/06/17,12:31:02,公告本公司102年股東常會重要決議事項
30,2357,華碩,102/06/17,17:50:43,公告取得ASUS GLOBAL PTE. LTD.現金增資股權之相關資料
31,2357,華碩,102/06/18,12:15:34,澄清102/06/18媒體報導
32,2357,華碩,102/06/25,15:34:26,代子公司亞旭電腦公告102年股東常會重要決議
33,2357,華碩,102/06/25,16:30:29,公告本公司參加UBS舉辦法說會之相關內容
34,2357,華碩,102/06/27,11:47:31,澄清102/06/27媒體報導
35,2357,華碩,102/06/28,15:12:56,代子公司研揚科技公告102年股東常會重要決議
36,2357,華碩,102/07/01,17:00:42,公告本公司董事會決議第四次買回庫藏股
37,2357,華碩,102/07/03,15:17:12,公告本公司買回股份之金額達新台幣三億元以上
38,2357,華碩,102/07/05,15:27:45,公告本公司買回股份之金額達新台幣三億元以上
39,2357,華碩,102/07/10,14:52:43,公告本公司買回股份之金額達新台幣三億元以上
40,2357,華碩,102/07/15,14:52:16,公告本公司買回股份之金額達新台幣三億元以上
41,2357,華碩,102/07/19,16:31:38,公告本公司102年配息基準日
42,2357,華碩,102/07/31,16:07:02,公告本公司102年1月1日至6月30日之自結合併損益 及自結品牌合併損益資訊
43,2357,華碩,102/08/01,11:51:13,澄清102/08/01媒體報導
44,2357,華碩,102/08/01,14:41:28,公告本公司召開法說會相關內容
45,2357,華碩,102/08/05,14:31:41,本公司買回股份之金額達新台幣三億元以上
46,2357,華碩,102/08/06,15:36:13,公告本公司102年配息比率調整為每股配發現金股利 新台幣19.17296825元
47,2357,華碩,102/08/12,11:29:29,澄清102/08/12媒體報導
48,2357,華碩,102/08/13,14:46:01,本公司買回股份之金額達新台幣三億元以上
49,2357,華碩,102/08/16,15:17:07,本公司買回股份之金額達新台幣三億元以上
50,2357,華碩,102/08/20,15:39:19,公告本公司庫藏股執行完畢
51,2357,華碩,102/09/12,16:36:57,本公司受邀參加Credit Suisse舉辦之法人說明會
52,2357,華碩,102/09/30,17:21:55,代子公司研揚科技公告董事會決議配息基準日
53,2357,華碩,102/10/14,11:40:21,澄清102/10/14媒體報導
54,2357,華碩,102/10/23,12:14:37,澄清102/10/23蘋果日報報導
55,2357,華碩,102/10/31,15:35:41,公告本公司102年1月1日至9月30日之自結合併損益 及自結品牌合併損益資訊
56,2357,華碩,102/10/31,17:17:04,說明102/10/31聯合晚報報導
57,2357,華碩,102/11/01,16:24:48,說明環保署102/10/31來函
58,2357,華碩,102/11/01,18:36:30,說明102/11/01媒體報導
59,2357,華碩,102/11/06,13:36:34,公告本公司召開法說會相關內容
60,2357,華碩,102/11/12,11:17:55,澄清102/11/12媒體報導
61,2357,華碩,102/11/12,17:24:46,公告本公司董事會決議庫藏股銷除股份之減資基準日
62,2357,華碩,102/11/12,17:35:49,公告本公司新任集團行銷主管
63,2357,華碩,102/11/14,11:36:54,澄清102/11/14媒體報導
64,2357,華碩,102/11/14,15:09:34,公告本公司參加德意志銀行舉辦之法說會相關內容
65,2357,華碩,102/11/25,14:08:51,公告本公司辦理庫藏股註銷完成實收資本額變更登記事宜
66,2357,華碩,102/11/26,18:15:21,本公司受邀參加美林證券舉辦之海外法人說明會
67,2357,華碩,102/11/27,16:27:25,代子公司ASUS TECHNOLOGY PTE. LIMITED公告 取得華碩科技(蘇州)有限公司股權之相關資料
68,2357,華碩,102/11/28,11:37:54,澄清102/11/28媒體報導
69,2357,華碩,102/12/18,11:56:14,澄清102/12/18媒體報導
70,2357,華碩,102/12/19,08:54:41,澄清102/12/18媒體報導
71,2357,華碩,102/12/19,19:59:09,本公司對威盛電子股份有限公司102年12月19日記者會之回應
