,公司代號,公司名稱,發言日期,發言時間,主旨
0,2358,廷鑫,101/02/17,17:02:09,本公司第十屆第二十五次董事會議通過重要議案
1,2358,廷鑫,101/03/23,17:06:24,本公司第十屆第二十六次董事會議通過重要議案
2,2358,廷鑫,101/03/23,17:06:33,公告本公司董事會決議101年股東常會召開事宜
3,2358,廷鑫,101/03/23,17:06:41,本公司董事會決議不發放股利
4,2358,廷鑫,101/04/12,17:52:38,本公司第十屆第二十七次董事會議通過重要議案
5,2358,廷鑫,101/04/12,17:52:46,公告本公司董事會推選顏德新董事擔任董事長
6,2358,廷鑫,101/04/12,17:52:56,公告本公司總經理請辭
7,2358,廷鑫,101/04/12,17:53:04,公告本公司董事會決議101年股東常會召開事宜(變更開會地點)
8,2358,廷鑫,101/04/12,17:53:14,公告本公司法人董事代表人變動3席
9,2358,廷鑫,101/04/20,17:33:11,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
10,2358,廷鑫,101/04/27,17:02:21,本公司第十屆第二十八次董事會議通過重要議案
11,2358,廷鑫,101/05/14,09:22:18,本公司遷移公告
12,2358,廷鑫,101/05/15,17:06:22,本公司第十屆第二十九次董事會議通過重要議案
13,2358,廷鑫,101/05/15,17:06:45,公告本公司董事會決議私募發行有價證券事宜
14,2358,廷鑫,101/05/15,17:06:55,本公司100年度股東常會通過之私募發行有價證券案， 經董事會通過於剩餘期限內將不繼續辦理
15,2358,廷鑫,101/06/12,13:35:05,公告近日豪大雨對本公司財務及業務無重大影響
16,2358,廷鑫,101/06/27,11:33:03,公告本公司101年股東常會重要決議事項
17,2358,廷鑫,101/06/27,11:33:15,公告本公司101年股東常會選任第11屆董事及監察人
18,2358,廷鑫,101/06/27,11:33:25,股東會決議解除董事競業禁止限制
19,2358,廷鑫,101/06/27,17:05:50,本公司第11屆第1次董事會選任董事長
20,2358,廷鑫,101/06/27,17:06:03,公告本公司董事會推選顏德新董事擔任董事長
21,2358,廷鑫,101/06/27,17:06:12,公告本公司第一屆薪資報酬委員會任期屆滿
22,2358,廷鑫,101/07/09,17:03:22,本公司第十一屆第二次董事會議通過重要議案
23,2358,廷鑫,101/07/09,17:03:30,公告本公司董事長顏德新先生兼任總經理
24,2358,廷鑫,101/07/09,17:03:38,本公司董事會通過委任第二屆「薪資報酬委員會」
25,2358,廷鑫,101/07/16,15:37:09,更正本公司100年度年報資料
26,2358,廷鑫,101/08/16,17:50:23,本公司第十一屆第三次董事會議通過重要議案
27,2358,廷鑫,101/08/16,17:50:44,公告本公司董事會推選吳福禱董事擔任董事長
28,2358,廷鑫,101/08/16,17:50:53,公告本公司董事長吳福禱先生兼任總經理
29,2358,廷鑫,101/08/16,17:51:03,本公司訂定101年度第一次私募普通股之發行價格及其他相關事宜
30,2358,廷鑫,101/08/16,18:25:33,公告本公司法人董事代表人變動
31,2358,廷鑫,101/09/07,17:22:48,本公司擬受讓廷鑫金屬股份有限公司鋁合金棒之相關設備資產
32,2358,廷鑫,101/09/07,17:23:00,本公司第十一屆第四次董事會議通過重要議案
33,2358,廷鑫,101/09/07,17:23:09,本公司董事會決議通過受讓廷鑫金屬股份有限公司部分相關 鋁合金棒之營業權益及其相關設備資產案
34,2358,廷鑫,101/10/19,17:13:27,本公司前負責人於101/05/07接獲臺灣臺北地方法院檢察署 起訴書補正公告
35,2358,廷鑫,101/10/31,17:07:53,公告本公司內部稽核主管變動
36,2358,廷鑫,101/12/03,17:03:34,公告本公司內部稽核主管變動
37,2358,廷鑫,101/12/05,17:12:28,本公司第十一屆第五次董事會議通過重要議案
38,2358,廷鑫,101/12/25,17:03:41,本公司第十一屆第六次董事會議通過重要議案
