,公司代號,公司名稱,發言日期,發言時間,主旨
0,2359,所羅門,102/01/04,17:15:45,公告本公司董事異動
1,2359,所羅門,102/03/26,16:29:18,董事會決議召開102年股東常會公告
2,2359,所羅門,102/04/03,17:07:54,更正本公司101年12月關係人交易申報資訊
3,2359,所羅門,102/04/24,18:55:41,本公司董事會決議之101年度盈餘分派案
4,2359,所羅門,102/04/24,19:06:23,董事會決議召開102年股東常會-補正公告
5,2359,所羅門,102/04/24,19:10:27,本公司董事會決議辦理現金減資公告
6,2359,所羅門,102/04/24,19:10:52,代子公司富相科技公司公告董事會決議不發放股利
7,2359,所羅門,102/06/04,17:09:25,本公司2-4月資金貸與他人資料誤植更正公告
8,2359,所羅門,102/06/11,19:22:37,公告本公司第九屆董事監察人選任名單
9,2359,所羅門,102/06/11,19:23:06,公告本公司102年股東常會重要決議事項
10,2359,所羅門,102/06/11,19:23:42,本公司102年股東常會通過解除董事「競業禁止」之限制案。
11,2359,所羅門,102/06/18,18:44:08,本公司董事會推舉陳政隆先生續任董事長
12,2359,所羅門,102/08/06,17:39:12,訂定本公司現金減資基準日
13,2359,所羅門,102/08/16,16:42:47,公告本公司辦理現金減資完成實收資本額變更登記、對財務 報告之影響
14,2359,所羅門,102/08/22,18:16:46,修增公告本公司減資換發股票作業計畫及現金減資換發 股票基準日
15,2359,所羅門,102/08/22,18:17:04,修增公告本公司辦理現金減資完成實收資本額變更登記、 對財務報告之影響(新增換股作業計畫)
16,2359,所羅門,102/09/19,14:47:18,公告本公司董事會委任第二屆薪酬委員會委員
17,2359,所羅門,102/10/22,16:50:35,公告本公司薪酬委員會異動
