,公司代號,公司名稱,發言日期,發言時間,主旨
0,2360,致茂,107/01/08,16:17:24,本公司受邀參加瑞士信貸舉辦之法人說明會
1,2360,致茂,107/02/13,16:59:18,公告本公司將於2月22日召開法人說明會
2,2360,致茂,107/02/22,15:45:25,公告本公司董事會決議召開股東常會
3,2360,致茂,107/02/22,15:46:26,董事會決議股利分派
4,2360,致茂,107/02/22,15:48:37,致茂電子公佈2017年第4季財務報告
5,2360,致茂,107/03/09,14:37:27,本公司受邀參加美林證券舉辦之法人說明會
6,2360,致茂,107/04/25,16:45:36,本公司將召開線上法說會(電話會議)說明2018年第一季營運結果
7,2360,致茂,107/04/30,15:25:11,致茂電子公佈2018年第1季財務報告
8,2360,致茂,107/05/03,16:24:58,公告本公司董事會決議註銷限制員工權利新股之減資基準日
9,2360,致茂,107/05/04,16:34:07,本公司受邀參加花旗證券舉辦之法人說明會
10,2360,致茂,107/05/04,16:34:53,本公司受邀參加麥格理證券舉辦之法人說明會
11,2360,致茂,107/05/04,16:35:34,本公司受邀參加野村證券舉辦之法人說明會
12,2360,致茂,107/05/23,17:00:53,公告本公司註銷限制員工權利新股減資變更登記完成
13,2360,致茂,107/05/29,16:06:19,本公司受邀參加花旗證券舉辦之法人說明會
14,2360,致茂,107/06/04,15:16:10,本公司受邀參加美林證券舉辦之法人說明會
15,2360,致茂,107/06/04,15:16:39,本公司受邀參加元大證券舉辦之法人說明會
16,2360,致茂,107/06/08,14:33:05,公告本公司107年股東常會重要決議事項
17,2360,致茂,107/06/12,17:31:06,公告本公司董事會決議配息基準日
18,2360,致茂,107/06/27,15:34:03,公告本公司調整配息率
19,2360,致茂,107/06/28,15:51:55,代重要子公司日茂新材料(股)公司公告董事會決議盈餘分派
20,2360,致茂,107/06/28,15:52:31,代重要子公司日茂新材料(股)公司公告除息基準日
21,2360,致茂,107/07/26,18:24:30,公告本公司將於7月31日召開法人說明會
22,2360,致茂,107/07/31,16:29:55,公告本公司董事會決議註銷限制員工權利新股之減資基準日
23,2360,致茂,107/07/31,17:39:30,致茂電子公佈2018年第2季財務報告
24,2360,致茂,107/08/01,11:10:09,澄清媒體報導
25,2360,致茂,107/08/24,16:10:18,本公司受邀參加花旗證券舉辦之法人說明會
26,2360,致茂,107/09/04,16:29:44,本公司受邀參加瑞士信貸舉辦之法人說明會
27,2360,致茂,107/09/10,16:03:36,公告本公司註銷限制員工權利新股減資變更登記完成
28,2360,致茂,107/09/26,16:36:55,代重要子公司日茂新材料股份有限公司公告董監事任期屆滿 改選。
29,2360,致茂,107/09/26,16:37:28,代重要子公司日茂新材料股份有限公司公告董事會選任 董事長
30,2360,致茂,107/10/11,16:32:16,公告本公司國內第二次無擔保轉換公司債(致茂二，債券代 號23602)行使贖回權暨終止櫃檯買賣相關事宜
31,2360,致茂,107/10/17,17:17:05,本公司可轉換公司債致茂二(代號:23602)近期達公布注意 交易資訊標準，故公告相關訊息，以利投資人區別瞭解
32,2360,致茂,107/10/26,16:28:11,本公司將召開線上法說會(電話會議)說明2018年第三季營運結果
33,2360,致茂,107/10/30,15:33:47,公告本公司董事會決議註銷限制員工權利新股之減資基準日
34,2360,致茂,107/11/01,14:55:28,公告本公司國內第二次無擔保轉換公司債(簡稱：致茂二， 代碼：23602)全數轉換為普通股暨終止櫃檯買賣
35,2360,致茂,107/11/13,15:56:09,本公司受邀參加花旗證券舉辦之法人說明會
36,2360,致茂,107/11/15,16:41:48,公告本公司註銷限制員工權利新股減資變更登記完成
37,2360,致茂,107/11/23,16:29:25,本公司受邀參加摩根士丹利證券舉辦之法人說明會
