,公司代號,公司名稱,發言日期,發言時間,主旨
0,2362,藍天,108/01/14,17:15:09,公告本公司107年第3次買回庫藏股執行情形相關事宜
1,2362,藍天,108/02/25,15:57:45,公告本公司註銷庫藏股減資辦理資本變更登記完成相關事宜
2,2362,藍天,108/03/27,18:06:49,公告本公司董事會決議108年股東會召開相關事宜
3,2362,藍天,108/03/27,18:07:10,公告本公司董事會決議股利分派
4,2362,藍天,108/03/27,18:10:51,公告本公司董事會重大決議事項
5,2362,藍天,108/03/27,18:14:38,公告本公司設置公司治理主管
6,2362,藍天,108/05/06,17:13:11,公告本公司董事會重大決議事項
7,2362,藍天,108/05/24,17:50:26,代子公司汕頭市百腦匯商場有限公司公告處分不動產相關事宜
8,2362,藍天,108/06/18,19:11:43,公告本公司108年股東常會重要決議事項
9,2362,藍天,108/06/18,19:11:57,公告本公司108年股東常會補選董事一席
10,2362,藍天,108/06/18,19:12:18,公告本公司股東會決議通過解除董事競業禁止之限制
11,2362,藍天,108/06/18,19:12:49,公告本公司107年度盈餘分配現金股利及資本公積發放現金基準日
12,2362,藍天,108/06/18,19:13:21,公告本公司董事會通過108年第1次買回庫藏股相關事宜
13,2362,藍天,108/07/18,13:59:03,代本公司之日本子公司Lunaria Investment GK合同會社 公告處分不動產相關事宜
14,2362,藍天,108/07/22,12:08:33,澄清工商時報 B3版 有關本公司之報導
15,2362,藍天,108/07/25,17:41:19,公告本公司董事會決議發行一○八年度 第一次有擔保普通公司債相關事宜
16,2362,藍天,108/07/25,17:42:14,公告本公司董事會決議提前買回並註銷本公司104年度發行 之第一次有擔保普通公司債
17,2362,藍天,108/08/13,17:27:29,公告本公司董事會通過108年第2季合併財務報告
18,2362,藍天,108/08/16,14:35:07,公告本公司108年第1次買回庫藏股期間屆滿及執行完畢相關事宜
19,2362,藍天,108/08/16,14:35:48,公告本公司買回庫藏股金額達新台幣三億元以上之相關事宜
20,2362,藍天,108/09/10,15:37:44,本公司受邀參加統一證券舉辦法人說明會相關事宜
21,2362,藍天,108/10/18,17:19:58,"公告本公司參與臺北市政府捷運工程局 「臺北車站特定專用區C1/D1（東半街廓）土地開發案」標案, 由本公司遞補取得最優申請人議約權相關事宜"
22,2362,藍天,108/10/24,17:33:08,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
23,2362,藍天,108/11/05,17:51:57,公告本公司研發主管異動相關事宜
24,2362,藍天,108/11/05,17:52:17,公告本公司投資設立台北雙星股份有限公司相關事宜
25,2362,藍天,108/11/13,17:04:08,公告本公司董事會通過108年第3季合併財務報告事宜
26,2362,藍天,108/11/18,15:30:26,澄清2019/11/15 洞傳媒報導內容
27,2362,藍天,108/11/21,15:50:01,代子公司CLEVO (CAYMAN ISLANDS) HOLDING CO.公告處分有價證券
28,2362,藍天,108/12/10,18:13:13,"本公司接獲臺北市政府捷運工程局函文,有關「臺北市西區門 戶計畫臺北車站特定專用區C1/D1（東半街廓）土地開發案」訂於 108.12.17與本公司之投資公司台北雙星股份有限公司簽約"
29,2362,藍天,108/12/17,13:33:17,"代本公司之投資公司台北雙星股份有限公司公告 有關「臺北車站特定專用區C1/D1（東半街廓）土地開發案」, 於108.12.17與臺北市政府捷運工程局簽立合約完成之相關事宜"
30,2362,藍天,108/12/19,13:38:05,本公司受邀參加統一證券舉辦法人說明會相關事宜
