,公司代號,公司名稱,發言日期,發言時間,主旨
0,2365,昆盈,102/01/04,14:18:58,公告本公司庫藏股執行期間屆滿資訊
1,2365,昆盈,102/03/25,14:38:33,公告本公司董事會決議買回庫藏股轉讓予員工
2,2365,昆盈,102/03/25,15:36:52,公告本公司董事會決議買回庫藏股維護公司信用及股東權益
3,2365,昆盈,102/03/25,17:54:30,董事會決議股利分派
4,2365,昆盈,102/03/25,18:29:52,董事會決議召開年度股東常會公告
5,2365,昆盈,102/04/24,16:41:40,公告本公司庫藏股執行期間屆滿資訊
6,2365,昆盈,102/05/15,17:00:39,102年第一季合併財務報表母公司暨子公司 所持有之母公司庫藏股股數漏值
7,2365,昆盈,102/05/24,16:00:57,公告本公司庫藏股執行期間屆滿資訊
8,2365,昆盈,102/06/05,15:51:28,更正102年1月至4月本公司及子公司背書保證餘額
9,2365,昆盈,102/06/13,14:56:55,公告本公司102年股東常會重要決議事項
10,2365,昆盈,102/06/13,14:58:13,公告本公司董事、監察人任期屆滿，改選後之新任董事及監察人
11,2365,昆盈,102/06/13,14:58:50,公告本公司102年股東常會解除董事之競業禁止事宜
12,2365,昆盈,102/06/13,14:59:36,本公司董事會推選卓世坤先生續任董事長
13,2365,昆盈,102/06/24,15:02:24,公告本公司董事會決議配息基準日
14,2365,昆盈,102/06/24,15:03:14,公告本公司董事會解除經理人競業禁止之限制
15,2365,昆盈,102/06/24,15:04:43,公告本公司董事會決議聘任第二屆薪資報酬委員會委員
16,2365,昆盈,102/06/24,16:39:39,董事會通過庫藏股註銷減資案
17,2365,昆盈,102/07/22,14:57:36,公告修正本公司101年度年報資料
18,2365,昆盈,102/07/26,17:54:46,公告本公司庫藏股註銷實收資本額變更登記完成
19,2365,昆盈,102/08/08,15:08:06,針對本公司客戶宏鈺公司跳票事件說明
20,2365,昆盈,102/08/12,17:04:38,公告本公司薪資報酬委員會委員辭任事宜
21,2365,昆盈,102/09/26,15:36:57,澄清102年9月26日鉅亨網有關本公司之報導
22,2365,昆盈,102/10/28,15:47:39,公告本公司補選薪資報酬委員會委員
23,2365,昆盈,102/10/28,15:49:36,更正本公司102年8月份關係人交易申報資料
24,2365,昆盈,102/10/28,15:52:34,董事會通過庫藏股註銷減資案
25,2365,昆盈,102/12/20,16:01:16,"代重要子公司英屬開曼群島Genius Holding Co., Ltd.公告 董事會決議辦理減資"
26,2365,昆盈,102/12/27,14:59:07,公告本公司董事會決議買回庫藏股轉讓予員工
27,2365,昆盈,102/12/27,15:02:19,公告本公司總經理異動
