,公司代號,公司名稱,發言日期,發言時間,主旨
0,2369,菱生,101/02/15,13:48:03,澄清工商時報101/02/15 B3版之報導
1,2369,菱生,101/03/14,13:42:06,公告本公司董事會決議召開101年股東常會事宜
2,2369,菱生,101/03/14,13:46:51,公告本公司董事會決議發放股利
3,2369,菱生,101/06/06,13:44:31,公告本公司101年6月6日股東常會重要決議事項
4,2369,菱生,101/06/06,13:46:21,本公司董事會決議除息基準日公告
5,2369,菱生,101/06/06,16:42:13,公告本公司董事會決議通過增加第三地間接轉投資大陸地區 美金捌佰萬元。
6,2369,菱生,101/06/19,16:19:32,公告調整本公司100年度現金股利配息率
7,2369,菱生,101/06/20,08:24:06,公告本公司國內第二次無擔保轉換公司債(菱生二)轉換價格調整
8,2369,菱生,101/07/09,17:22:37,公告本公司國內第二次無擔保轉換公司債轉換價格不重設事宜
9,2369,菱生,101/08/30,17:31:05,公告本公司國內第一次無擔保轉換公司債到期還本暨終止櫃檯買賣
10,2369,菱生,101/08/31,13:48:02,公告本公司簽訂廠房營建合約
