,公司代號,公司名稱,發言日期,發言時間,主旨
0,2371,大同,105/01/13,16:58:33,公告本公司資金貸與大同電信股份有限公司改善計畫執行 情形
1,2371,大同,105/01/18,19:13:31,代子公司尚志資產開發股份有限公司公告選任董事長
2,2371,大同,105/01/29,16:34:03,公告本公司104年12月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
3,2371,大同,105/02/05,16:28:49,"代子公司尚志資產開發(股)公司公告董事會決議, 授權董事長 在新台幣11億元以內購買土地"
4,2371,大同,105/02/05,16:29:15,代子公司尚志資產開發股份有限公司公告資金貸與展延事宜
5,2371,大同,105/02/05,16:29:40,代子公司尚志資產開發股份有限公司公告股東會決議事項
6,2371,大同,105/02/16,19:28:41,本公司擬向中華映管股份有限公司購買 馬來西亞中華映管(納閔)股份有限公司股權
7,2371,大同,105/02/26,15:46:34,代子公司尚志資產開發(股)公司公告董事會決議發放股利
8,2371,大同,105/03/01,16:43:11,公告本公司105年1月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
9,2371,大同,105/03/23,20:34:08,董事會決議召開一○五年度股東常會公告
10,2371,大同,105/03/23,20:34:54,本公司擬向百慕達中華映管股份有限公司 購買其所發行之有擔保普通公司債
11,2371,大同,105/03/29,14:53:07,代子公司尚志資產開發股份有限公司 公告股東會決議事項
12,2371,大同,105/03/29,14:54:01,代子公司尚志資產開發股份有限公司 公告股利配發基準日事宜
13,2371,大同,105/03/29,20:57:09,臺灣高等法院105年3月29日民事判決駁回仁寶公司之上訴
14,2371,大同,105/03/31,15:46:26,公告本公司105年2月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
15,2371,大同,105/04/29,15:48:02,公告本公司105年3月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
16,2371,大同,105/05/04,16:58:18,公告本公司資金貸與大同電信股份有限公司改善計畫執行情形
17,2371,大同,105/05/04,16:59:26,公告本公司董事會決議不分派104年度員工酬勞及董事酬勞
18,2371,大同,105/05/04,16:59:58,董事會決議不分派股利
19,2371,大同,105/05/04,17:01:01,董事會決議召開一○五年度股東常會補充公告
20,2371,大同,105/05/31,17:09:16,公告本公司105年4月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
21,2371,大同,105/06/08,15:14:45,代子公司尚志資產開發股份有限公司公告資金貸與事宜
22,2371,大同,105/06/08,15:15:09,代子公司尚志資產開發股份有限公司公告背書保證事宜
23,2371,大同,105/06/17,14:58:37,公告本公司105年股東常會重要決議事項
24,2371,大同,105/06/30,17:28:38,公告本公司105年5月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
25,2371,大同,105/07/15,17:01:44,公告本公司策略長退休
26,2371,大同,105/07/29,13:32:32,公告本公司105年6月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
27,2371,大同,105/08/01,11:54:30,說明媒體報導
28,2371,大同,105/08/05,17:09:50,公告本公司資金貸與大同電信股份有限公司改善計畫執行 情形
29,2371,大同,105/08/31,15:13:37,公告本公司105年7月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
30,2371,大同,105/09/29,16:20:26,因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公告相關財務業務等重大訊息
31,2371,大同,105/09/29,19:26:10,臺灣高等法院宣示判決主文
32,2371,大同,105/09/30,16:17:06,公告本公司105年8月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
33,2371,大同,105/10/28,17:00:20,公告本公司105年9月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
34,2371,大同,105/11/08,17:04:14,本公司對子公司中華映管股份有限公司辦理背書保證事宜
35,2371,大同,105/11/08,17:04:35,公告本公司資金貸與大同電信股份有限公司改善計畫 執行情形
36,2371,大同,105/11/08,17:05:00,代子公司尚志資產開發股份有限公司公告背書保證事宜
37,2371,大同,105/11/30,16:00:32,公告本公司105年10月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
38,2371,大同,105/12/05,06:59:12,本公司設工大樓9樓2間辦公室火災情形說明
39,2371,大同,105/12/16,16:46:51,本公司與臺灣銀行等十六家銀行簽訂新台幣貳佰伍拾貳億元 聯合授信合約
40,2371,大同,105/12/30,15:18:07,公告本公司105年11月份自結合併財務報表之高流動資產、 短期借款及一年內到期之長期負債等相關財務資訊
