,公司代號,公司名稱,發言日期,發言時間,主旨
0,2376,技嘉,101/01/09,16:28:24,澄清101/1/8經濟日報A6版及101/1/9經濟日報C3版報導
1,2376,技嘉,101/01/31,15:23:14,公告本公司庫藏股買回數量已達已發行股份總數百分之二
2,2376,技嘉,101/02/03,13:35:51,澄清101/2/3經濟日報C4版報導
3,2376,技嘉,101/02/20,16:53:54,公告本公司第十次買回庫藏股期間屆滿之相關資訊
4,2376,技嘉,101/02/23,14:50:18,本公司重大訊息公告
5,2376,技嘉,101/03/15,19:06:50,本公司董事會決議召開民國101年股東常會
6,2376,技嘉,101/03/15,19:07:48,公告本公司董事會決議通過100年度財務報表
7,2376,技嘉,101/04/13,17:02:22,公告本公司買回庫藏股份減資基準日
8,2376,技嘉,101/04/16,18:02:20,本公司董事會決議盈餘分派案
9,2376,技嘉,101/04/30,18:16:41,公告本公司庫藏股註銷完成日期實收資本額變更登記事宜
10,2376,技嘉,101/05/04,17:11:19,本公司101年第一季累計營收自結數與會計師查核數差異說明
11,2376,技嘉,101/05/15,20:11:07,本公司更正101年第一季合併財務報告
12,2376,技嘉,101/05/15,20:14:04,採用國際會計準則公報(以下簡稱IFRSs)之101年1月1日 開帳日財務影響。
13,2376,技嘉,101/06/18,18:53:46,公告本公司董事、監察人變動
14,2376,技嘉,101/06/18,18:56:15,公告本公司股東常會通過解除董事競業禁止
15,2376,技嘉,101/06/18,18:58:44,公告本公司第二屆薪資報酬委員會委員名單
16,2376,技嘉,101/06/18,19:00:09,公告本公司101年股東常會重要決議事項
17,2376,技嘉,101/06/18,19:01:45,公告本公司董事會選任董事長事宜
18,2376,技嘉,101/06/19,16:48:24,澄清101/6/19經濟日報C3版報導
19,2376,技嘉,101/07/16,17:04:46,公告本公司董事會決議配息基準日
20,2376,技嘉,101/07/20,15:06:34,公告調整本公司100年盈餘分派之配息率
21,2376,技嘉,101/08/15,18:45:22,技嘉科技董事會承認101年上半年度財務報表
22,2376,技嘉,101/09/12,16:19:48,本公司101年第二季累計營收自結數與會計師查核數差異說明
23,2376,技嘉,101/10/15,18:33:28,公告本公司董事會決議終止 海外存託憑證(GDRs)
