,公司代號,公司名稱,發言日期,發言時間,主旨
0,2376,技嘉,107/01/24,12:08:37,澄清107/01/24經濟日報C1媒體報導
1,2376,技嘉,107/03/15,18:20:36,本公司董事會決議通過民國106年度個體財務報告及合併財務報告
2,2376,技嘉,107/03/15,18:21:10,本公司董事會決議召開民國107年股東常會
3,2376,技嘉,107/04/17,17:52:12,董事會決議股利分派
4,2376,技嘉,107/06/11,17:58:50,公告本公司107年股東常會重要決議事項
5,2376,技嘉,107/06/11,18:07:23,公告本公司董事任期屆滿全面改選名單
6,2376,技嘉,107/06/11,18:12:40,公告本公司股東常會通過解除新任董事競業禁止之限制案
7,2376,技嘉,107/06/11,18:15:36,公告本公司董事會選任董事長事宜
8,2376,技嘉,107/06/11,18:19:18,公告本公司董事會決議配息基準日
9,2376,技嘉,107/06/11,18:24:19,公告本公司第四屆薪資報酬委員會委員名單
10,2376,技嘉,107/06/11,18:27:52,公告本公司第二屆審計委員會委員名單
11,2376,技嘉,107/06/26,17:09:16,本公司將於107年6月27日召開法人說明會
12,2376,技嘉,107/07/06,17:29:05,公告本公司取得智嘉投資股份有限公司股權
13,2376,技嘉,107/07/06,17:32:18,代子公司智嘉投資股份有限公司公告參與認購淳安電子股份有限 公司私募普通股
14,2376,技嘉,107/07/06,17:35:02,代子公司智嘉投資股份有限公司公告參與認購淳安電子股份有限 公司私募普通股
15,2376,技嘉,107/08/28,16:20:55,本公司受邀參加中信證券舉辦之「中國信託綜合證券2018年度投資論壇」
16,2376,技嘉,107/11/19,18:08:10,本公司受邀參加國泰綜合證券舉辦之投資論壇
