,公司代號,公司名稱,發言日期,發言時間,主旨
0,2380,虹光,103/01/06,14:58:47,公告本公司一○二年十二月合併營業收入
1,2380,虹光,103/02/06,15:40:55,公告本公司一○三年一月合併營業收入
2,2380,虹光,103/03/06,14:07:43,公告本公司一○三年二月合併營業收入
3,2380,虹光,103/03/19,17:09:41,公告本公司薪資報酬委員會委員異動
4,2380,虹光,103/03/24,17:35:52,公告本公司召開一百零三年股東常會相關事宜
5,2380,虹光,103/03/25,08:44:03,董事會決議股利分派
6,2380,虹光,103/03/25,10:54:31,公公告本公司董事會通過一百零二年度之財務報表
7,2380,虹光,103/04/07,15:57:41,公告本公司一○三年三月合併營業收入
8,2380,虹光,103/04/09,10:25:34,更正本公司召開一百零三年股東常會之停止過戶起始日期
9,2380,虹光,103/05/06,14:55:26,公告本公司一○三年四月合併營業收入
10,2380,虹光,103/05/12,15:26:00,公告本公司103年第一季經會計師核閱之財務報表
11,2380,虹光,103/06/06,14:32:23,公告本公司一○三年五月合併營業收入
12,2380,虹光,103/06/09,15:42:20,更正103年股東常會議事手冊資料及102年年報資料
13,2380,虹光,103/06/12,11:27:52,公告本公司103年股東常會重要決議事項
14,2380,虹光,103/06/18,16:19:52,公告本公司薪資報酬委員會委員異動
15,2380,虹光,103/06/27,08:53:40,代子公司虹光蘇州公告取得鼎鼎成金理財計劃
16,2380,虹光,103/06/27,16:00:17,本公司代子公司虹光精密(蘇州)有限公司公告取得理財產品
17,2380,虹光,103/07/01,14:23:58,代子公司 虹光精密工業(蘇州)有限公司 公告董事異動
18,2380,虹光,103/07/01,14:24:11,代子公司 虹光精密工業(蘇州)有限公司 公告總經理異動
19,2380,虹光,103/07/04,14:18:11,公告本公司一○三年六月合併營業收入
20,2380,虹光,103/07/18,17:08:23,本公司代子公司蘇州虹光精密公告取得中國工商銀行理財產品
21,2380,虹光,103/08/06,16:38:17,公告本公司一○三年七月合併營業收入
22,2380,虹光,103/08/08,17:26:16,公告本公司103年第二季經會計師核閱之財務報表
23,2380,虹光,103/08/20,18:02:06,本公司代子公司蘇州虹光精密公告處分鼎鼎成金理財商品
24,2380,虹光,103/09/04,17:23:39,本公司代子公司蘇州虹光精密公告取得建設銀行理財產品
25,2380,虹光,103/09/05,15:24:02,公告本公司一○三年八月合併營業收入
26,2380,虹光,103/10/06,14:39:14,公告本公司一○三年九月合併營業收入
27,2380,虹光,103/10/16,16:30:50,本公司代子公司蘇州虹光精密公告處分理財共贏3號理財商品
28,2380,虹光,103/10/18,11:04:35,依公開發行公司資金貸與及背書保證處理準則第二十五條 第一項第三款規定辦理公告
29,2380,虹光,103/11/06,16:32:34,公告本公司一○三年十月合併營業收入
30,2380,虹光,103/11/10,14:52:46,公告本公司103年第三季經會計師核閱之財務報表
31,2380,虹光,103/11/27,16:47:25,代子公司蘇州虹光精密公告取得華潤元大現金收益貨幣B類產品
32,2380,虹光,103/12/05,14:19:45,公告本公司一○三年十一月合併營業收入
33,2380,虹光,103/12/18,16:26:52,本公司代子公司蘇州虹光精密公告處分建設銀行理財產品
34,2380,虹光,103/12/24,16:24:58,代子公司蘇州虹光精密公告處分華潤元大現金收益貨幣B類產品
35,2380,虹光,103/12/26,14:39:02,公告本公司董事會決議事項
