,公司代號,公司名稱,發言日期,發言時間,主旨
0,2382,廣達,101/01/09,15:15:39,公告本公司參加Nomura Securities舉辦之 ”Nomura CES 2012”法人說明會
1,2382,廣達,101/03/12,14:51:48,公告本公司參加 the BoAML Technology & Beyond Conference
2,2382,廣達,101/03/29,14:48:01,公告董事會通過100年度財務報告
3,2382,廣達,101/03/29,14:49:47,董事會 召開一○一年股東常會 公告
4,2382,廣達,101/04/26,14:53:14,召開電話會議─公告本公司101年第一季財務資料
5,2382,廣達,101/04/27,16:59:58,公告101年第一季財務報告
6,2382,廣達,101/05/08,14:52:51,董事會決議100年度盈餘分配案
7,2382,廣達,101/05/08,15:24:14,公告本公司以間接對大陸投資方式 參與 達富電腦(常熟)有限公司 增資案
8,2382,廣達,101/05/08,15:25:29,公告本公司以間接對大陸投資方式 參與達豐(重慶)電腦有限公司 增資案
9,2382,廣達,101/05/18,15:46:29,公告本公司受邀參加花旗證券倫敦投資論壇 “Taiwan Corporate Forum 2012”
10,2382,廣達,101/06/06,17:00:09,廣達集團與微軟攜手打造雲端機櫃解決方案
11,2382,廣達,101/06/21,13:32:35,廣達電腦針對媒體報導提出說明
12,2382,廣達,101/06/22,13:59:43,公告本公司101年股東常會重要決議事項
13,2382,廣達,101/06/22,14:21:45,公告本公司受邀參加” 瑞銀2012台灣投資論壇”
14,2382,廣達,101/07/04,16:11:29,董事會決議股利發放事宜
15,2382,廣達,101/07/25,16:41:12,廣達電腦針對媒體報導提出說明
16,2382,廣達,101/08/17,12:07:18,聯想肥單到 仁寶吞鯨 廣達分杯羹
17,2382,廣達,101/08/29,15:36:58,召開電話會議─公告本公司本年度上半年財務資料
18,2382,廣達,101/08/30,12:16:29,廣達電池模組 獲肥單
19,2382,廣達,101/08/30,15:07:23,公告董事會通過本年度上半年財務報告
20,2382,廣達,101/08/31,14:21:29,廣達電腦說明蘋果日報和經濟日報報導
21,2382,廣達,101/09/04,16:10:09,公告本公司受邀參加證交所與瑞士信貸(股)公司共同舉辦之「2012亞洲科技論壇 (ATC)」
22,2382,廣達,101/10/24,08:09:50,代子公司龍承精密(股)公司公告在第三地間接 對大陸地區投資「賢富金屬製品(上海)有限公司」
23,2382,廣達,101/10/30,14:47:50,召開電話會議─公告本公司101年第三季財務資料
24,2382,廣達,101/10/31,17:20:57,公告101年第三季財務報告
25,2382,廣達,101/11/13,13:58:47,廣達電腦針對媒體報導提出說明
