,公司代號,公司名稱,發言日期,發言時間,主旨
0,2385,群光,107/02/06,17:33:15,公告一年內累積取得環球晶圓(6488)股票達新台幣三億元以上。
1,2385,群光,107/02/09,17:03:36,更正公告一年內累積取得環球晶圓(6488)股票達新台幣三億元 以上(更正公告累積持有數量及持股比例)。
2,2385,群光,107/03/05,15:12:22,公告本公司受邀參加元大證券舉辦之海外法人說明會。
3,2385,群光,107/03/09,17:27:09,公告本公司董事會決議盈餘轉增資發行新股
4,2385,群光,107/03/09,17:31:44,董事會決議股利分派
5,2385,群光,107/03/09,17:37:37,本公司董事會決議通過107年股東常會之召集。
6,2385,群光,107/03/09,17:39:27,公告本公司106年度合併財務報告。
7,2385,群光,107/03/13,14:14:44,公告本公司受邀參加美林APAC TMT Conference。
8,2385,群光,107/03/15,20:49:18,公告本公司受統一證券邀請參加法說會，會中向投資人說明本公司業務概況。
9,2385,群光,107/03/21,13:51:56,公告本公司員工酬勞轉增資基準日。
10,2385,群光,107/03/27,14:05:17,公告本公司直間接100%轉投資 MAO-FENG INTERNATIONAL INC.資金貸與相關事宜
11,2385,群光,107/03/27,14:06:12,公告本公司100%轉投資CHICONY OVERSEAS INC資金貸與相關事宜
12,2385,群光,107/05/08,14:03:55,公告本公司100%轉投資CHICONY GLOBAL INC資金貸與相關事宜
13,2385,群光,107/05/08,14:04:43,公告本公司直間接100%轉投資 MAO-FENG INTERNATIONAL INC.資金貸與相關事宜
14,2385,群光,107/05/08,16:57:08,公告本公司107年第一季合併財務報告。
15,2385,群光,107/05/24,15:38:31,公告本公司受證交所邀請參加「智慧機械/零組件」主題式業績發表會，會中向投資人說明本公司業務概況。
16,2385,群光,107/05/29,17:41:45,公告本公司由花旗證券邀請參加Citi Regional Tech Conference，會中向投資人說明本公司業務概況。
17,2385,群光,107/06/05,16:59:56,公告本公司106年股東常會重要決議事項。
18,2385,群光,107/06/05,17:02:23,公告本公司106年度盈餘分配現金股利之配息基準日
19,2385,群光,107/06/05,17:05:38,公告本公司董事會決議解除經理人競業禁止限制
20,2385,群光,107/06/05,19:20:31,公告本公司107年股東常會重要決議事項(原公告誤植106年)。
21,2385,群光,107/06/15,15:55:52,代子公司Hipro Overseas Inc.公告資金貸與事項。
22,2385,群光,107/06/26,18:04:13,公告本公司106年度盈餘分配股票股利之配發基準日。
23,2385,群光,107/06/26,18:07:02,"公告本公司由瑞銀證券邀請參加Taiwan Conference 2018,會中向投資人說明本公司業務概況。"
24,2385,群光,107/08/08,14:16:42,公告本公司資金貸與相關事宜
25,2385,群光,107/08/08,14:17:01,公告本公司資金貸與相關事宜
26,2385,群光,107/08/08,14:17:18,公告本公司及子公司資金貸與相關事宜
27,2385,群光,107/08/08,15:46:18,公告本公司107年第二季合併財務報告。
28,2385,群光,107/08/09,10:22:54,澄清媒體報導
29,2385,群光,107/09/04,19:52:47,"公告本公司由瑞信證券邀請參加Asian Technology Conference,會中向投資人說明本公司業務概況。"
30,2385,群光,107/09/07,14:56:52,代子公司Hipro Overseas Inc.公告資金貸與事項。
31,2385,群光,107/09/07,14:57:54,代子公司Hipro Overseas Inc.公告資金貸與事項。
32,2385,群光,107/09/10,15:08:46,本公司董事異動公告。
33,2385,群光,107/09/13,15:48:13,本公司董事異動公告。
34,2385,群光,107/09/13,15:48:31,本公司執行長異動公告。
35,2385,群光,107/09/13,20:36:21,董事會決議第十一次買回本公司股份
36,2385,群光,107/09/14,01:13:22,代重要子公司Chicony Overseas Inc.公告董事異動。
37,2385,群光,107/09/14,01:17:48,代重要子公司Mao-Feng International Inc.公告董事異動。
38,2385,群光,107/09/14,01:21:11,代重要子公司群光電子(蘇州)有限公司公告董事異動。
39,2385,群光,107/09/20,14:25:55,補正本公司107年9月10日重大訊息「本公司董事異動公告。」 之事實發生日及發生變動日期。
40,2385,群光,107/09/20,15:15:58,補正本公司107年9月13日重大訊息「董事會決議第十一次買回本公 司股份。」之其他證期局所規定之事項。
41,2385,群光,107/10/25,13:57:53,代重要子公司群光電子(蘇州)有限公司公告法人董事及監察人 改派代表人。
42,2385,群光,107/10/30,13:41:55,公告本公司107年第三季合併財務報告。
43,2385,群光,107/10/30,16:21:11,公告本公司代理發言人異動。
44,2385,群光,107/10/30,16:40:39,公告本公司100%轉投資CHICONY OVERSEAS INC資金貸與相關事宜
45,2385,群光,107/11/13,17:26:12,公告本公司第十一次買回本公司股份執行期間屆滿
46,2385,群光,107/11/16,16:36:09,公告本公司由麥格里證券邀請參加Taiwan Corporate Day，會中向投資人說明本公司業務概況。
47,2385,群光,107/12/19,18:21:11,"公告本公司受元大證券邀請參加「2019投資展望說明會」,會中向投資人說明本公司業務概況。"
48,2385,群光,107/12/26,17:27:21,代本公司之日本孫公司Hikari Investment GK公告 出售投資性不動產相關事宜。
