,公司代號,公司名稱,發言日期,發言時間,主旨
0,2387,精元,102/03/22,14:00:03,本公司從事大陸地區投資。
1,2387,精元,102/03/22,14:11:17,董事會決議召開102年股東常會公告
2,2387,精元,102/03/27,14:14:44,公告本公司董事會通過101年度財務報表及合併財務報表
3,2387,精元,102/03/27,15:03:29,公告102/03/27地震對本公司財務及業務並無重大影響
4,2387,精元,102/04/11,13:55:09,董事會決議股利分派
5,2387,精元,102/06/03,10:49:51,公告102年6月2日南投地震對本公司財務及業務並無重大影響
6,2387,精元,102/06/14,13:24:04,本公司102年股東常會重要決議
7,2387,精元,102/06/14,13:26:27,公告本公司102年度股東常會改選新任董事當選名單
8,2387,精元,102/06/14,13:27:51,公告本公司102年度股東常會改選新任監察人當選名單
9,2387,精元,102/06/14,13:32:41,本公司102年股東會通過解除新選任董事競業禁止案
10,2387,精元,102/06/14,13:35:39,公告本公司董事會推選董事長事宜
11,2387,精元,102/06/14,13:38:27,公告本公司董事會決議委任新任薪資報酬委員會委員
12,2387,精元,102/07/15,13:17:16,公告蘇力颱風對本公司財務及業務並無重大影響
13,2387,精元,102/08/09,14:37:23,公告本公司董事會決議除息基準日
14,2387,精元,102/11/12,14:34:02,公告本公司董事會決議第八、九次買回庫藏股註銷減資基準日
15,2387,精元,102/12/09,14:34:30,公告本公司註銷庫藏股減資辦理資本變更登記完成事宜
