,公司代號,公司名稱,發言日期,發言時間,主旨
0,2388,威盛,107/01/30,15:51:15,公告本公司106年12月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
1,2388,威盛,107/01/30,15:56:27,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
2,2388,威盛,107/02/27,16:43:45,公告本公司107年01月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
3,2388,威盛,107/03/07,16:05:05,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
4,2388,威盛,107/03/23,16:40:08,董事會決議不發放股利分派
5,2388,威盛,107/03/23,16:42:35,公告董事會決議召開107年股東常會日期及相關事宜
6,2388,威盛,107/03/23,16:43:45,公告本公司董事會通過106年度財務報告。
7,2388,威盛,107/03/28,15:29:15,公告本公司107年02月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
8,2388,威盛,107/03/28,15:30:11,"代子公司VIABASE CO.,LTD.公告現金減資"
9,2388,威盛,107/04/30,15:46:27,公告本公司107年03月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
10,2388,威盛,107/05/09,16:30:24,公告本公司董事會通過一○七年第一季自結合併財務報表
11,2388,威盛,107/05/09,16:31:23,代重要子公司威鋒電子股份有限公司公告董事會決議召開 股東常會相關事宜
12,2388,威盛,107/05/10,16:30:07,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
13,2388,威盛,107/05/28,14:53:02,公告本公司107年04月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
14,2388,威盛,107/06/19,15:19:04,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
15,2388,威盛,107/06/19,15:20:03,代重要子公司威鋒電子股份有限公司公告一○六年股東常會決議案
16,2388,威盛,107/06/19,15:21:13,代重要子公司威鋒電子股份有限公司公告增選董事2人及監察人1人
17,2388,威盛,107/06/19,15:22:10,代重要子公司威鋒電子股份有限公司公告解除本公司董事 競業禁止之限制
18,2388,威盛,107/06/26,14:29:17,公告本公司一○七年股東常會決議案
19,2388,威盛,107/06/26,14:29:58,公告本公司107年05月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
20,2388,威盛,107/07/26,14:38:17,"本公司代子公司VIABASE CO, LTD 公告取得TECHBASE CO.,LTD 增資新股"
21,2388,威盛,107/07/26,14:38:56,公告本公司107年06月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
22,2388,威盛,107/08/10,14:18:19,公告本公司董事會通過一○七年第二季自結合併財務報表
23,2388,威盛,107/08/28,15:07:09,公告本公司107年07月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
24,2388,威盛,107/09/17,17:00:45,本公司董事會決議發行員工認股權憑證
25,2388,威盛,107/09/25,16:46:15,公告本公司獨立董事辭任
26,2388,威盛,107/09/25,16:46:39,公告本公司薪資報酬委員會委員辭任
27,2388,威盛,107/09/26,15:23:33,公告本公司107年08月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
28,2388,威盛,107/10/03,14:35:30,公告本公司薪酬委員會委員新任案
29,2388,威盛,107/10/12,15:25:02,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
30,2388,威盛,107/10/24,12:05:20,"代子公司 VIABASE CO., LTD公告 依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款應公告事項"
31,2388,威盛,107/10/30,14:49:42,公告本公司107年09月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
32,2388,威盛,107/11/05,15:47:01,"代子公司VIABASE CO.,LTD.公告現金減資"
33,2388,威盛,107/11/05,15:47:38,"代子公司 VIA TECHNOLOGIES, INC(USA)公告 依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款應公告事項"
34,2388,威盛,107/11/13,18:02:47,公告本公司董事會通過一○七年第三季自結合併財務報表
35,2388,威盛,107/11/22,15:20:33,本公司受邀參加群益證券所舉辦之107年法人說明會。
36,2388,威盛,107/11/28,13:54:59,公告本公司107年10月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
37,2388,威盛,107/12/25,12:06:27,澄清媒體報導
38,2388,威盛,107/12/26,16:00:08,公告本公司107年11月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
