,公司代號,公司名稱,發言日期,發言時間,主旨
0,2392,正崴,107/03/16,14:31:41,公告董事會決議召開股東常會
1,2392,正崴,107/03/28,19:24:30,說明勁永國際公司認列商譽損失對本公司之影響
2,2392,正崴,107/03/29,18:06:14,董事會決議股利分派
3,2392,正崴,107/03/29,18:19:51,本公司董事會通過106年度財務報表
4,2392,正崴,107/05/15,15:52:25,公告本公司計劃取得香港公司SINOBEST BROTHERS LTD.股權事宜
5,2392,正崴,107/05/18,17:05:41,代子公司FOXLINK TECHNOLOGY LIMITED依「公開發行公司資金貸與 及背書保證處理準則」第二十二條第一項第三款之規定辦理公告
6,2392,正崴,107/06/08,15:08:55,本公司股東常會重要決議事項
7,2392,正崴,107/06/15,17:05:00,代富港電子天津有限公司公告大陸投資相關資訊
8,2392,正崴,107/06/19,10:52:03,澄清媒體報導
9,2392,正崴,107/06/22,15:27:49,代子公司富士臨國際投資(股)公司公告董事會決議股利分派
10,2392,正崴,107/06/22,15:28:03,代子公司志得投資股份有限公司公告董事會決議股利分派
11,2392,正崴,107/06/26,15:11:21,代子公司富崴國際投資股份有限公司公告改選董監事名單
12,2392,正崴,107/06/26,15:11:45,代子公司富崴國際投資(股)公司公告董事會選任董事長
13,2392,正崴,107/06/26,15:12:04,代子公司富崴國際投資(股)公司公告董事會決議股利分派
14,2392,正崴,107/07/13,14:14:10,公告本公司計劃取得子公司CULINK INTERNATIONAL LTD.股權事宜
15,2392,正崴,107/07/13,14:14:25,代子公司CULINK INTERNATIONAL LTD.公告赴大陸投資相關資訊
16,2392,正崴,107/07/13,14:14:41,公告本公司訂定現金股利除息基準日
17,2392,正崴,107/09/12,14:26:01,代子公司富士臨國際投資(股)公司公告股利配發基準日
18,2392,正崴,107/10/19,10:34:42,澄清媒體報導
19,2392,正崴,107/11/14,14:40:27,公告本公司計劃取得子公司CU INTERNATIONAL LTD.股權事宜
20,2392,正崴,107/12/12,17:26:05,代子公司NEW START INDUSTRIES LTD.公告赴大陸投資相關資訊
21,2392,正崴,107/12/21,16:09:12,公告本公司受邀參加福邦證券舉辦之法人說明會
