,公司代號,公司名稱,發言日期,發言時間,主旨
0,2393,億光,108/01/09,18:06:25,代子公司億瑞金光電(江蘇)有限公司公告取得處分理財產品
1,2393,億光,108/01/29,10:30:45,說明經濟日報對本公司的報導
2,2393,億光,108/02/20,18:16:09,代子公司億光電子(福建)有限公司公告取得暨處分理財產品
3,2393,億光,108/03/19,11:23:53,說明經濟日報對本公司的報導
4,2393,億光,108/03/20,18:19:33,代本公司重要子公司-億光電子（中國）有限公司公告 董事長、法人董事代表人暨總經理異動
5,2393,億光,108/03/20,18:19:57,代子公司億光電子(中山)有限公司公告取得理財產品
6,2393,億光,108/03/25,20:20:30,本公司董事會通過107年度合併財務報表
7,2393,億光,108/03/25,20:21:01,本公司董事會決議一○八年股東常會召開事宜
8,2393,億光,108/03/25,20:21:29,本公司董事會通過清算億瑞金光電（江蘇）有限公司
9,2393,億光,108/03/25,20:21:51,本公司董事會決議股利分派
10,2393,億光,108/04/08,15:51:18,公告本公司內部稽核主管異動事宜
11,2393,億光,108/04/17,18:11:43,代子公司億光電子(福建)有限公司公告取得暨處分理財產品
12,2393,億光,108/05/08,18:30:11,代子公司億瑞金光電(江蘇)有限公司公告取得處分理財產品
13,2393,億光,108/05/13,18:48:48,本公司董事會通過108年度第一季合併財務報表
14,2393,億光,108/06/05,16:59:46,代子公司億光電子(中山)有限公司公告取得及到期理財產品
15,2393,億光,108/06/14,14:40:51,公告本公司一０八年股東常會重要決議事項
16,2393,億光,108/06/18,17:28:41,代子公司億光電子(福建)有限公司公告取得暨處分理財產品
17,2393,億光,108/06/21,18:05:32,代子公司億光電子(中國)有限公司公告取得理財產品
18,2393,億光,108/07/04,11:38:33,公告本公司訂定除息基準日、除息發放日相關事宜
19,2393,億光,108/07/17,14:36:51,本公司調整股東配息率
20,2393,億光,108/07/30,16:37:19,說明中時電子報對本公司的報導
21,2393,億光,108/07/31,18:13:59,代子公司億光電子(中山)有限公司公告取得及到期理財產品
22,2393,億光,108/08/02,18:53:09,更正本公司108年6月份關係人交易自結申報數字
23,2393,億光,108/08/08,19:44:55,公告本公司內部稽核主管異動事宜
24,2393,億光,108/08/14,15:16:07,代子公司億瑞金光電(江蘇)有限公司公告取得處分理財產品
25,2393,億光,108/08/21,16:11:35,代子公司億瑞金(江蘇)公告取處理財產品:8/14交易延至8/21
26,2393,億光,108/08/23,16:52:09,代子公司億光電子(福建)有限公司公告取得暨處分理財產品
27,2393,億光,108/08/29,10:36:27,說明經濟日報對本公司的報導
28,2393,億光,108/09/06,18:28:23,代子公司百誼投資股份有限公司公告取得私募有價證券
29,2393,億光,108/09/09,17:21:17,公告更正本公司108年7月份資金貸與及背書保證明細表資料
30,2393,億光,108/09/11,14:27:00,代子公司億光電子(中國)有限公司公告取得及到期理財產品
31,2393,億光,108/10/22,15:20:52,代子公司億光電子(福建)有限公司公告取得暨處分理財產品
32,2393,億光,108/11/07,19:15:35,公告本公司內部稽核主管異動事宜
33,2393,億光,108/11/07,19:16:24,公告本公司異動財務主管、會計主管
34,2393,億光,108/11/11,16:43:57,本公司受邀參加KGI凱基證券所舉辦之法人說明會
35,2393,億光,108/11/25,14:52:38,說明經濟日報對本公司的報導
36,2393,億光,108/11/29,15:57:32,代子公司億光電子(中國)有限公司公告取得理財產品
37,2393,億光,108/12/16,16:58:19,代子公司億光電子(中國)有限公司公告取得及到期理財產品
38,2393,億光,108/12/25,18:38:30,代子公司億光電子(中山)有限公司公告取得及到期理財產品
39,2393,億光,108/12/30,17:32:43,代子公司億光電子(中國)有限公司公告取得及到期理財產品
