,公司代號,公司名稱,發言日期,發言時間,主旨
0,2401,凌陽,109/02/19,18:47:21,公告本公司董事會決議召開股東常會議案相關事宜
1,2401,凌陽,109/02/19,18:48:01,公告本公司董事會決議解除經理人競業行為禁止之限制
2,2401,凌陽,109/03/30,18:34:38,代公告本公司重要子公司凌陽電通科技(股)公司109年不發放股利
3,2401,凌陽,109/03/30,18:35:00,公告新增本公司董事會決議召開股東常會議案相關事宜
4,2401,凌陽,109/03/30,18:43:22,董事會決議股利分派
5,2401,凌陽,109/04/22,15:18:58,公告更新本公司董事會決議召開股東常會議案相關事宜
6,2401,凌陽,109/06/12,18:33:45,公告本公司股東常會決議解除董事競業行為禁止之限制
7,2401,凌陽,109/06/12,18:34:00,公告本公司109年股東常會重要決議事項
8,2401,凌陽,109/06/12,18:34:15,代子公司凌陽電通科技(股)公司公告109年董事長 代行股東會重要決議事項
9,2401,凌陽,109/06/23,16:20:12,公告本公司109年配息基準日
10,2401,凌陽,109/08/19,16:16:30,公告本公司將於109年8月20日受邀召開法人說明會
11,2401,凌陽,109/09/28,18:39:18,代子公司凌陽創業投資(股)公司公告預計參與喬鼎資訊(股)公司私 募案
