,公司代號,公司名稱,發言日期,發言時間,主旨
0,2402,毅嘉,109/01/02,14:35:20,公告本公司自行結算108年12月合併營收約新台幣5.0億元。
1,2402,毅嘉,109/01/13,19:15:00,"公告本公司自行結算108年度第四季單季稅前淨利 約新台幣9,963萬元"
2,2402,毅嘉,109/01/30,07:29:41,代大陸子公司公告，復工時間延至2月10日
3,2402,毅嘉,109/02/10,14:30:42,(補充公告)代子公司中山毅永電子有限公司公告復工日期延後
4,2402,毅嘉,109/02/12,15:09:48,公告本公司自行結算109年1月合併營收約新台幣3.92億元。
5,2402,毅嘉,109/02/19,13:34:24,代子公司中山毅永電子有限公司公告復工
6,2402,毅嘉,109/03/06,15:10:46,公告本公司自行結算109年2月合併營收約新台幣2.24億元。
7,2402,毅嘉,109/03/18,14:43:59,公告本公司董事會決議召開109年股東常會
8,2402,毅嘉,109/03/18,14:44:56,公告本公司策略長、會計主管及代理發言人異動
9,2402,毅嘉,109/03/18,14:45:32,"代重要子公司ICHIA Holdings (B.V.I.) Co., Ltd公告 董事會決議盈餘分派事宜"
10,2402,毅嘉,109/03/18,14:51:35,本公司董事會決議盈餘分配現金股利及資本公積配發現金
11,2402,毅嘉,109/03/18,14:54:08,"代子公司ICHIA HOLDINGS(B.V.I)CO.,LTD.公告 新增資金貸與金額達新台幣一千萬元以上且達該 公開發行公司最近期財務報表淨值百分之二以上者。"
12,2402,毅嘉,109/04/06,14:36:52,公告本公司自行結算109年3月合併營收約新台幣5.12億元。
13,2402,毅嘉,109/04/13,15:01:53,"公告本公司自行結算109年度第一季單季稅前淨利 約新台幣1,422萬元"
14,2402,毅嘉,109/05/03,14:58:20,公告本公司自行結算109年4月合併營收約新台幣4.26億元。
15,2402,毅嘉,109/05/13,14:15:52,公告本公司總經理異動
16,2402,毅嘉,109/05/13,14:16:22,公告本公司執行長及發言人異動
17,2402,毅嘉,109/05/26,14:21:54,代子公司中山毅永電子有限公司公告更正109年4月衍生性 商品交易資訊
18,2402,毅嘉,109/05/26,14:23:02,代子公司毅嘉電子(蘇州)有限公司公告更正109年4月衍生性 商品交易資訊
19,2402,毅嘉,109/06/05,15:28:52,公告本公司自行結算109年5月合併營收約新台幣3.02億元。
20,2402,毅嘉,109/06/12,15:36:43,公告本公司109年股東常會重要決議事項
21,2402,毅嘉,109/06/12,15:37:45,公告本公司審計委員會成員異動
22,2402,毅嘉,109/06/12,15:38:40,公告本公司薪資報酬委員會任期屆滿
23,2402,毅嘉,109/06/12,15:39:28,公告本公司法人董事指派代表人
24,2402,毅嘉,109/06/12,15:46:17,本公司董事會決議推選董事長及副董事長
25,2402,毅嘉,109/06/12,16:34:27,公告本公司109年股東常會改選董事 (含獨立董事)名單
26,2402,毅嘉,109/06/23,15:32:34,公告本公司訂定除息基準日之相關事宜
27,2402,毅嘉,109/06/24,13:39:31,更正公告本公司訂定除息基準日之相關事宜
28,2402,毅嘉,109/06/29,13:26:09,更新更正公告本公司訂定除息基準日之相關事宜
29,2402,毅嘉,109/07/03,15:25:52,公告本公司自行結算109年6月合併營收約新台幣3.31億元。
30,2402,毅嘉,109/07/15,15:18:37,"公告本公司自行結算109年度第二季單季稅前淨損 約新台幣1,240萬元"
31,2402,毅嘉,109/07/27,16:44:14,公告本公司董事會決議通過買回本公司股份
32,2402,毅嘉,109/07/27,17:11:45,公告本公司董事會決議聘任薪資 報酬委員會委員
33,2402,毅嘉,109/08/03,15:09:18,公告本公司自行結算109年7月合併營收約新台幣4.26億元。
34,2402,毅嘉,109/08/27,15:00:07,公告本公司本次買回股份數量累積達公司已發行股份總額百分之 二
35,2402,毅嘉,109/09/03,16:17:02,公告本公司自行結算109年8月合併營收約新台幣4.80億元。
36,2402,毅嘉,109/09/25,14:55:10,公告本公司買回本公司股份買回期間屆滿執行完畢
37,2402,毅嘉,109/10/05,15:08:55,公告本公司自行結算109年9月合併營收約新台幣6.38億元。
38,2402,毅嘉,109/10/05,15:09:46,"本公司受邀參加兆豐證券法人說明會,說明本公司之營運概況。"
39,2402,毅嘉,109/10/15,14:36:23,公告本公司自行結算109年度第三季單季稅前淨利 約新台幣1.24億元
