,公司代號,公司名稱,發言日期,發言時間,主旨
0,2404,漢唐,106/01/12,10:09:21,媒體報導有關本公司今年訂單破百億元之說明
1,2404,漢唐,106/01/12,15:09:18,接獲下包商請求給付工程款一審判決書之說明
2,2404,漢唐,106/01/24,19:43:31,公告本公司新增背書保證金額達第二十五條第一項第四款之規定
3,2404,漢唐,106/01/24,19:44:08,公告本公司新增背書保證金額達第二十五條第一項第四款之規定
4,2404,漢唐,106/03/28,18:57:18,公告本公司董事會決議召開一○六年股東常會
5,2404,漢唐,106/03/28,19:06:31,公本公司董事會通過105年度合併財務報告及個體財務報告
6,2404,漢唐,106/03/28,19:12:27,公告本公司董事會通過105年度員工酬勞及董監酬勞
7,2404,漢唐,106/03/28,20:59:54,董事會決議股利分派
8,2404,漢唐,106/05/11,11:46:32,公告本公司新增背書保證金額達第二十五條第一項第四款之規定
9,2404,漢唐,106/05/15,15:55:38,補正本公司106年第一季合併財報會計師的核閱日期
10,2404,漢唐,106/06/22,11:05:33,公告本公司106年股東常會重要決議事項
11,2404,漢唐,106/06/23,15:54:33,公告本公司決議訂定除息基準日
12,2404,漢唐,106/07/11,17:09:18,係因本公司有價證券於集中市場有異常交易情形，故公布 基本資料及相關財務業務等重大訊息，以利投資人區別了解。
13,2404,漢唐,106/07/25,15:08:54,臺灣高等法院104年度金上重訴字第40號案件宣判。
14,2404,漢唐,106/08/11,14:45:46,公告本公司新增背書保證金額達第二十五條第一項第二.三.四 款之規定
15,2404,漢唐,106/08/11,17:20:16,給付工程款訴訟一審宣判之說明
16,2404,漢唐,106/10/12,07:26:52,公告本公司106年10月11日董事會通過議案
17,2404,漢唐,106/11/13,22:41:01,公告本公司106年11月13日董事會通過重要之議案
18,2404,漢唐,106/11/21,11:25:32,公告本公司召開法人說明會之相關訊息
19,2404,漢唐,106/12/28,19:20:23,代重要子公司江西漢唐公告股利分配
