,公司代號,公司名稱,發言日期,發言時間,主旨
0,2408,南亞科,101/01/10,17:43:24,公告本公司自結100年12月份高流動性資產及短期借款相關 財務資訊
1,2408,南亞科,101/01/17,17:50:43,本公司召開法說會公告
2,2408,南亞科,101/01/18,17:24:15,公告本公司今日法人說明會摘要
3,2408,南亞科,101/02/10,17:12:21,公告本公司自結101年01月份高流動性資產及短期借款相關 財務資訊
4,2408,南亞科,101/03/02,16:58:30,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
5,2408,南亞科,101/03/09,17:29:19,公告本公司自結101年02月份高流動性資產及短期借款相關 財務資訊
6,2408,南亞科,101/03/22,16:09:13,董事會決議召開101年度股東常會相關事宜
7,2408,南亞科,101/03/22,16:09:23,董事會決議不發放股利
8,2408,南亞科,101/03/22,16:09:39,本公司董事會決議私募普通股
9,2408,南亞科,101/03/22,16:10:17,公告本公司以資產作價方式取得勝普公司普通股
10,2408,南亞科,101/03/22,16:10:52,代子公司勝普電子公告取得機器設備
11,2408,南亞科,101/03/22,16:11:08,公告本公司董事會通過對勝普公司資金貸與金額達本公司最近 期財務報表淨值6.58%
12,2408,南亞科,101/04/10,17:01:06,公告本公司自結101年03月份高流動性資產及短期借款相關 財務資訊
13,2408,南亞科,101/04/16,15:48:56,澄清媒體報導
14,2408,南亞科,101/04/17,17:59:57,本公司召開法說會公告
15,2408,南亞科,101/04/18,19:04:11,公告本公司今日法人說明會摘要
16,2408,南亞科,101/05/10,17:00:09,公告本公司自結101年04月份高流動性資產及短期借款相關 財務資訊
17,2408,南亞科,101/06/08,17:22:04,公告本公司自結101年05月份高流動性資產及短期借款相關 財務資訊
18,2408,南亞科,101/06/12,17:30:56,公告本公司101年股東常會重要決議事項
19,2408,南亞科,101/06/12,17:31:11,公告本公司發言人異動
20,2408,南亞科,101/07/10,15:47:13,公告本公司自結101年06月份高流動性資產及短期借款相關 財務資訊
21,2408,南亞科,101/07/17,17:27:58,本公司召開法說會公告
22,2408,南亞科,101/07/18,17:13:55,公告本公司今日法人說明會摘要
23,2408,南亞科,101/08/10,16:51:40,公告本公司自結101年07月份高流動性資產及短期借款相關 財務資訊
24,2408,南亞科,101/08/28,18:06:40,公告本公司法人董事之代表人異動
25,2408,南亞科,101/08/28,18:06:56,公告本公司法人監察人之代表人異動
26,2408,南亞科,101/08/28,18:07:15,公告本公司總經理異動
27,2408,南亞科,101/08/28,18:07:38,本公司董事會決議私募普通股定價相關事宜
28,2408,南亞科,101/09/07,18:28:20,依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第二款公告
29,2408,南亞科,101/09/07,18:28:33,依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第一款公告
30,2408,南亞科,101/09/07,18:28:47,公告本公司私募普通股順利收足股款
31,2408,南亞科,101/09/10,17:35:49,公告本公司自結101年08月份高流動性資產及短期借款相關 財務資訊
32,2408,南亞科,101/10/09,17:55:31,公告本公司自結101年09月份高流動性資產及短期借款相關 財務資訊
33,2408,南亞科,101/10/22,17:47:05,澄清媒體報導
34,2408,南亞科,101/10/23,18:01:41,本公司召開法說會公告
35,2408,南亞科,101/10/24,14:01:01,本公司董事會決議召開101年第1次股東臨時會
36,2408,南亞科,101/10/24,14:01:16,本公司董事會決議私募普通股
37,2408,南亞科,101/10/24,17:04:45,公告本公司今日法人說明會摘要
38,2408,南亞科,101/11/05,17:53:09,本公司董事會決議召開101年第1次股東臨時會 (補充公告報告事項)
39,2408,南亞科,101/11/09,15:41:13,公告本公司自結101年10月份高流動性資產及短期借款相關 財務資訊
40,2408,南亞科,101/11/09,15:44:17,澄清媒體報導
41,2408,南亞科,101/12/03,17:54:05,公告本公司代理發言人及代理財務主管變動
42,2408,南亞科,101/12/05,17:04:52,公告本公司資金貸與他人超限之改善計畫
43,2408,南亞科,101/12/10,17:15:10,公告本公司自結101年11月份高流動性資產及短期借款相關 財務資訊
44,2408,南亞科,101/12/12,17:30:13,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
45,2408,南亞科,101/12/14,17:11:06,公告本公司101年第1次股東臨時會重要決議事項
46,2408,南亞科,101/12/14,17:11:30,本公司董事會決議私募普通股定價相關事宜
47,2408,南亞科,101/12/14,17:12:15,公告本公司變更折舊方式之會計估計變動事宜
48,2408,南亞科,101/12/28,11:57:43,公告本公司私募普通股順利收足股款
49,2408,南亞科,101/12/28,17:26:02,公告本公司自然人董事辭職
50,2408,南亞科,101/12/28,17:26:34,公告本公司代理發言人及代理財務主管變動
