,公司代號,公司名稱,發言日期,發言時間,主旨
0,2409,友達,104/01/05,16:43:06,公告本公司訂購生產設備
1,2409,友達,104/01/07,16:29:29,公告本公司將於1月29日召開線上法人說明會
2,2409,友達,104/01/22,16:31:03,公告本公司訂購生產設備
3,2409,友達,104/01/23,15:50:05,公告本公司訂購生產設備
4,2409,友達,104/01/27,16:18:03,公告本公司訂購生產設備
5,2409,友達,104/01/29,13:33:46,公告本公司法人說明會之財務與業務資訊
6,2409,友達,104/02/04,17:07:31,公告本公司訂購生產設備
7,2409,友達,104/02/05,16:11:58,公告本公司訂購生產設備
8,2409,友達,104/02/09,16:18:39,公告本公司訂購生產設備
9,2409,友達,104/02/11,15:58:01,公告本公司訂購生產設備
10,2409,友達,104/02/12,15:00:08,公告本公司取得台灣凸版國際彩光股份有限公司股份
11,2409,友達,104/02/12,16:39:04,說明董事會核准之資本支出預算新增及追減
12,2409,友達,104/02/12,16:40:10,本公司董事會核准捐贈以支持明基友達文教基金會辦理文化 教育推動
13,2409,友達,104/02/12,16:42:43,依本公司為他人背書或提供保證處理程序公告
14,2409,友達,104/02/12,16:53:00,公告本公司訂購生產設備
15,2409,友達,104/02/13,16:13:10,公告本公司訂購生產設備
16,2409,友達,104/02/17,14:04:51,公告本公司訂購生產及廠務設備
17,2409,友達,104/02/24,16:58:16,公告本公司訂購廠務設備
18,2409,友達,104/03/09,16:21:57,公告本公司將參加Barclays舉辦之Barclays Asia Smart Mobility Corporate Days
19,2409,友達,104/03/17,16:04:17,本公司董事會決議召開104年股東常會
20,2409,友達,104/03/17,16:05:18,董事會決議股利分派
21,2409,友達,104/03/17,16:06:02,本公司董事會決議辦理現金增資發行普通股參與發行海外存 託憑證及/或現金增資發行普通股
22,2409,友達,104/03/17,16:07:02,本公司董事會決議辦理現金增資私募普通股
23,2409,友達,104/03/17,16:07:38,本公司董事會決議辦理私募海外或國內轉換公司債
24,2409,友達,104/03/17,16:08:52,代本公司之子公司友達光電(昆山)有限公司公告購買不動產 (下稱「友達昆山」)
25,2409,友達,104/03/17,16:10:06,公告本公司將參加Credit Suisse 舉辦之18th Annual Asian Investment Conference
26,2409,友達,104/03/17,16:11:03,公告本公司訂購生產設備
27,2409,友達,104/03/17,18:30:24,更正本公司104年02月份背書保證資訊揭露明細表
28,2409,友達,104/03/25,08:24:31,公告本公司海外合併財務報告因適用兩地會計準則不一 致之差異內容
29,2409,友達,104/04/07,16:40:38,公告本公司將於4月28日召開線上法人說明會
30,2409,友達,104/04/09,16:15:00,公告本公司訂購生產設備
31,2409,友達,104/04/14,08:13:23,有關公司反托拉斯法遵循計劃
32,2409,友達,104/04/28,13:30:46,公告本公司法人說明會之財務與業務資訊
33,2409,友達,104/05/04,17:22:20,公告本公司訂購生產設備
34,2409,友達,104/05/11,16:55:26,公告本公司董事會推舉彭又又浪先生擔任董事長
35,2409,友達,104/05/12,17:12:54,代子公司友達晶材股份有限公司公告處分彰濱工業區土地
36,2409,友達,104/05/13,17:01:58,公告本公司將參加Macquarie舉辦之North Asia Corporate Day- London
37,2409,友達,104/05/13,17:03:45,"代子公司相達材料股份有限公司(以下簡稱 「相達」)公告其參與認購其子公司M.Setek Co., Ltd.增資"
38,2409,友達,104/05/22,14:51:56,公告本公司受邀參加富邦證券舉辦之 Fubon Jefferies Taiwan Forum 2015
39,2409,友達,104/06/02,18:27:11,公告本公司104年股東常會重要決議事項
40,2409,友達,104/06/02,18:28:07,代本公司之子公司AU Optronics (L) Corp.公告其董事異動
41,2409,友達,104/06/02,18:29:51,公告本公司發言人異動
42,2409,友達,104/06/02,18:30:33,公告本公司將參加野村證券舉辦之 Nomura Investment Forum Asia 2015
43,2409,友達,104/06/02,18:30:57,公告本公司訂購生產設備
44,2409,友達,104/06/05,15:09:51,公告本公司104年現金股利配息基準日
45,2409,友達,104/07/06,16:01:55,公告本公司將於7月28日召開線上法人說明會
46,2409,友達,104/07/28,13:32:07,公告本公司法人說明會之財務與業務資訊
47,2409,友達,104/07/30,16:50:54,代本公司之子公司友達光電(昆山)有限公司公告取得廠務設備
48,2409,友達,104/07/31,15:51:29,代本公司之子公司友達光電(昆山)有限公司公告取得廠務設備
49,2409,友達,104/08/05,15:52:40,公告本公司訂購生產設備
50,2409,友達,104/08/10,17:07:13,說明董事會核准之資本支出預算
51,2409,友達,104/08/10,17:08:11,公告本公司處分新竹L3A廠房
52,2409,友達,104/08/18,16:13:33,代本公司之子公司友達光電(昆山)有限公司公告取得生產設備
53,2409,友達,104/08/19,16:31:11,代本公司之子公司友達光電(昆山)有限公司公告取得生產設備
54,2409,友達,104/08/24,16:16:03,代本公司之子公司友達光電(昆山)有限公司公告取得生產設備
