,公司代號,公司名稱,發言日期,發言時間,主旨
0,2412,中華電,106/01/03,20:12:00,公告本公司依據國際會計準則第36號公報認列資產減損
1,2412,中華電,106/01/04,11:19:51,說明報載「中華電資本支出 加碼至290億」
2,2412,中華電,106/01/04,14:09:57,法人董事代表人改派
3,2412,中華電,106/01/10,16:57:37,中華電信公布105年12月營業收入
4,2412,中華電,106/01/10,17:35:27,本公司得標財政部財政資訊中心「電子發票服務躍升計 畫」委外服務案
5,2412,中華電,106/01/16,17:28:23,法人董事代表人改派
6,2412,中華電,106/01/24,16:10:35,本公司106年度簡式合併財務預測資訊公告
7,2412,中華電,106/02/10,13:59:14,中華電信公布106年1月營業收入
8,2412,中華電,106/03/01,15:17:44,代理發言人異動
9,2412,中華電,106/03/01,15:18:17,代理發言人解任
10,2412,中華電,106/03/01,15:26:38,本公司得標「106年桃園市天羅地網監錄系統租賃民營 業者案」
11,2412,中華電,106/03/07,17:42:50,董事會決議通過105年度盈餘分配案
12,2412,中華電,106/03/07,17:43:42,本公司董事會決議於106年6月23日召開106年股東常會
13,2412,中華電,106/03/07,17:44:07,董事會通過重要人事案
14,2412,中華電,106/03/07,17:44:31,本公司增設投資執行副總經理
15,2412,中華電,106/03/07,17:44:59,業務執行副總經理異動
16,2412,中華電,106/03/09,14:25:53,本公司將參加Credit Suisse 舉辦之20th Annual Asian Investment Conference
17,2412,中華電,106/03/10,16:01:54,中華電信公布106年2月營業收入
18,2412,中華電,106/03/16,10:14:49,本公司將參加Bank of America Merrill Lynch舉辦之投資人會議
19,2412,中華電,106/03/22,16:56:25,法人董事代表人改派
20,2412,中華電,106/03/23,16:53:55,採購4G行動寬頻網路106年擴充案(NOKIA部分)
21,2412,中華電,106/03/24,18:30:10,採購4G行動寬頻網路106年擴充案(ERICSSON部分)
22,2412,中華電,106/03/31,16:10:07,本公司將召開線上法說會說明106年第1季營運成果
23,2412,中華電,106/04/06,14:34:04,本公司將參加JPMorgan舉辦之Best of Asia Conference 2017
24,2412,中華電,106/04/10,15:59:19,中華電信公布106年3月營業收入
25,2412,中華電,106/04/20,16:27:40,公告本公司會計主管異動
26,2412,中華電,106/04/25,18:31:20,公告本公司105年度財務報告因適用T-IFRSs及IFRSs兩地會 計原則不一致之差異
27,2412,中華電,106/04/27,16:27:02,法人董事代表人改派
28,2412,中華電,106/05/08,17:52:37,董事會決議修正106年股東常會召集事由
29,2412,中華電,106/05/08,18:02:42,董事會通過與中華郵政台北市3筆共有土地分割案
30,2412,中華電,106/05/08,18:04:11,董事會通過參加桃園市政府公辦楊梅土地使用分區變更及市 地重劃案。
31,2412,中華電,106/05/09,16:04:06,公告本公司106年第一季財務報告因適用T-IFRSs及IFRSs 兩地會計原則不一致之差異
32,2412,中華電,106/05/10,15:05:39,中華電信公布106年4月營業收入
33,2412,中華電,106/05/12,15:59:51,本公司將參加Deutsche Bank舉辦之投資人會議
34,2412,中華電,106/05/23,21:16:17,公告本公司取得106年V2 DSLAM+HGW接取設備擴充 案(華電)等購案達新台幣五億元。
