,公司代號,公司名稱,發言日期,發言時間,主旨
0,2414,精技,108/03/22,19:14:25,公告本公司董事會通過107年度個體財務報表及合併財務報表
1,2414,精技,108/03/22,19:15:02,公告本公司董事會決議召開108年股東常會相關事宜
2,2414,精技,108/03/22,19:15:39,董事會決議股利分派
3,2414,精技,108/05/10,17:41:39,公告本公司董事會決議召開108年股東常會相關事宜 (增加討論事項)
4,2414,精技,108/05/10,17:42:22,公告本公司董事會任命公司治理主管
5,2414,精技,108/06/27,14:48:11,公告本公司108年股東常會重要決議事項
6,2414,精技,108/07/08,16:24:00,公告本公司董事長決議現金股利配息基準日及發放日
7,2414,精技,108/08/08,16:11:55,本公司受邀參加凱基證券股份有限公司所舉辦之法人說明會
8,2414,精技,108/08/08,17:57:56,公告本公司對於利奇馬颱風來襲，可能影響現金股利發放之 相關因應措施。
9,2414,精技,108/11/11,19:33:37,依公開發行公司資金貸與及背書保證處理準則第二十五條第一項 第四款申報事項
10,2414,精技,108/11/11,19:34:11,依公開發行公司資金貸與及背書保證處理準則第二十五條第一項 第四款申報事項
