,公司代號,公司名稱,發言日期,發言時間,主旨
0,2415,錩新,102/01/15,15:26:04,澄清媒體報導
1,2415,錩新,102/03/11,16:30:44,澄清媒體報導
2,2415,錩新,102/03/25,20:05:20,公告董事會決議召開102年股東常會
3,2415,錩新,102/03/25,20:10:03,董事會決議股利分派
4,2415,錩新,102/03/25,20:13:44,本公司董事會通過新任薪酬委員會委員
5,2415,錩新,102/03/25,20:16:47,公告本公司董事會決議101年度盈餘轉增資發行新股案。
6,2415,錩新,102/05/13,19:09:31,依「公開發行公司資金貸與及背書保證處理準則」 第二十五條一項第二、三款規定公告
7,2415,錩新,102/05/14,20:07:04,代本公司重要子公司錩新科技(越南)股份有限公司 公告董事會決議股利分派
8,2415,錩新,102/06/03,14:45:12,公告102年6月2日地震對本公司財務或業務並無重大影響
9,2415,錩新,102/06/13,13:44:42,公告本公司102年股東常會重要決議事項
10,2415,錩新,102/06/25,02:16:56,公告子公司錩新科技(越南)股份有限公司董事異動
11,2415,錩新,102/07/16,20:52:47,公告蘇力颱風襲台對本公司財務或業務並無重大影響
12,2415,錩新,102/08/02,14:29:23,修訂本公司101年度年報
13,2415,錩新,102/08/13,19:36:13,公告本公司決議除權息基準日
14,2415,錩新,102/08/13,19:40:16,依公開發行公司資金貸與及背書保證處理準則 第二十五條一項第二、三、四款公告
15,2415,錩新,102/09/18,20:13:36,代子公司錩新科技(越南)股份有限公司公告盈餘轉增資
16,2415,錩新,102/12/20,21:27:41,公告 Phu Hung Securities Corporation 擬向河內證交所申請停止集中市場交易
