,公司代號,公司名稱,發言日期,發言時間,主旨
0,2415,錩新,106/01/13,22:47:56,代子公司錩新科技(越南)依公開發行公司資金貸與 及背書保證處理準則第二十二條第一項第三款規定公告
1,2415,錩新,106/02/10,18:00:48,公告本公司內部稽核主管異動
2,2415,錩新,106/02/21,16:36:31,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
3,2415,錩新,106/02/23,16:39:56,更正106年01月資金貸與公告資料
4,2415,錩新,106/03/01,17:53:59,代子公司錩新科技(越南)股份有限公司公告代總經理真除
5,2415,錩新,106/03/01,17:54:25,代子公司錩新電子科技(上海)有限公司公告代總經理真除
6,2415,錩新,106/03/14,16:48:07,董事會決議股利分派
7,2415,錩新,106/03/14,16:48:27,本公司董事會決議辦理現金減資
8,2415,錩新,106/03/14,16:48:44,公告本公司董事會決議召開106年股東常會事宜
9,2415,錩新,106/03/14,16:49:04,公告本公司內部稽核主管異動
10,2415,錩新,106/04/21,17:52:35,依公開發行公司資金貸與及背書保證處理準則第二十二條 第一項第三款規定公告
11,2415,錩新,106/04/24,17:43:03,代子公司錩新科技(越南)股份有限公司 公告董事會決議發放股利
12,2415,錩新,106/06/08,16:12:33,公告本公司106年股東常會重要決議事項
13,2415,錩新,106/06/08,16:13:25,公告本公司除息基準日
14,2415,錩新,106/06/08,16:13:51,本公司辦理現金減資致債權人公告
15,2415,錩新,106/07/06,17:10:42,公告本公司現金減資基準日等相關事宜
16,2415,錩新,106/07/12,17:55:48,代子公司錩新科技(越南)依公開發行公司資金貸與 及背書保證處理準則第二十二條第一項第三款規定公告
17,2415,錩新,106/07/21,18:27:21,公告本公司辦理現金減資完成實收資本額變更登記
18,2415,錩新,106/07/24,17:20:30,代子公司錩新科技(開曼)股份有限公司公告 董事會決議 發放股利
19,2415,錩新,106/07/27,18:46:54,公告補正本公司105年度年報部分內容。
20,2415,錩新,106/07/31,17:50:22,依公開發行公司資金貸與及背書保證處理準則第二十五條 第一項第四款規定公告
21,2415,錩新,106/10/19,17:55:13,代子公司錩新科技(越南)依公開發行公司資金貸與 及背書保證處理準則第二十二條第一項第三款規定公告
22,2415,錩新,106/11/13,18:38:54,本公司為子公司背書保證(續約)符合公告標準第四款
23,2415,錩新,106/11/23,18:07:25,本公司受邀參加富邦證券參加法人說明會
