,公司代號,公司名稱,發言日期,發言時間,主旨
0,2419,仲琦,101/01/17,19:57:32,更正本公司100年11及12月背書保證及12月資金貸與餘額 資訊
1,2419,仲琦,101/03/06,14:34:31,澄清101年03月06日經濟日報C4之新聞內容
2,2419,仲琦,101/03/23,23:33:35,董事會決議召開101年股東常會日期及相關事宜公告
3,2419,仲琦,101/03/23,23:37:31,董事會決議通過100年度盈餘分派及資本公積配發現金
4,2419,仲琦,101/05/09,18:43:27,補充說明本公司背書保證、資金貸與公告數及財報數差異
5,2419,仲琦,101/05/09,18:48:20,補充公告董事會決議增加101年股東會議案
6,2419,仲琦,101/05/14,23:43:24,公告本公司第七次買回庫藏股註銷減資基準日
7,2419,仲琦,101/05/16,14:02:10,修正本公司100年12月及101年3月背書保證及資金貸與餘額 資訊
8,2419,仲琦,101/06/01,23:34:26,本公司庫藏股註銷，減資變更登記完成事宜。
9,2419,仲琦,101/06/21,16:46:45,本公司股東常會重要決議事項
10,2419,仲琦,101/06/21,16:47:45,公告本公司新任獨立董事資料。
11,2419,仲琦,101/06/21,16:51:14,公告本公司新任監察人資料。
12,2419,仲琦,101/06/21,16:58:54,公告本公司一O一年股東常會決議通過許可解除董事 競業禁止之限制
13,2419,仲琦,101/06/21,17:04:19,公告本公司董事會決議訂定除息基準日及現金股利發放日
14,2419,仲琦,101/06/21,17:05:33,公告本公司對子公司資金貸與餘額達本公司 最近期財務報表淨值20%以上.
15,2419,仲琦,101/06/21,17:06:56,公告本公司新增對子公司資金貸與 金額達新臺幣一千萬元以上且達本公司最近 期財務報表淨值百分之二以上。
16,2419,仲琦,101/07/04,17:13:56,公告本公司現金股利配息率調整
17,2419,仲琦,101/08/03,18:14:44,100年度財務報表補充說明
18,2419,仲琦,101/08/28,18:42:13,公告本公司新增對子公司資金貸與 金額達新臺幣一千萬元以上且達本公司最近 期財務報表淨值百分之二以上。
19,2419,仲琦,101/11/02,16:02:03,本公司收悉United States District Court Central District of California之裁定
20,2419,仲琦,101/11/08,17:16:27,公告本公司董事會決議放棄認購子公司「互動國際數 位股份有限公司」辦理之現金增資發行新股
21,2419,仲琦,101/12/14,17:18:30,公告董事會決議發行國內第三次有擔保轉換公司債
