,公司代號,公司名稱,發言日期,發言時間,主旨
0,2421,建準,102/02/06,17:21:46,代子公司利源科技(股)公告： 投審會核備大陸地區投資事業盈餘匯回案。
1,2421,建準,102/03/08,16:51:23,代重要子公司昆山廣興電子(有)公告 董事會決議不發放股利
2,2421,建準,102/03/08,16:54:18,公告本公司董事會決議召開102年股東常會相關事宜
3,2421,建準,102/03/08,16:55:16,公告本公司董事會決議發放股利事項
4,2421,建準,102/03/27,15:30:54,公告102/03/27地震對本公司財務及業務並無重大影響
5,2421,建準,102/05/16,13:59:21,公告修正本公司102年議事手冊資料。
6,2421,建準,102/05/31,16:37:38,公告本公司102年股東常會重要決議事項
7,2421,建準,102/06/03,11:16:34,公告102年6月2日南投地震對本公司財務及業務並無重大影響
8,2421,建準,102/06/05,17:26:10,公告本公司現金股利配息及資本公積發放現金基準日
9,2421,建準,102/08/27,17:31:05,代孫公司昆山廣英電子有限公司公告董事會決議盈餘匯回案
10,2421,建準,102/10/17,16:49:06,代孫公司佛山市利茂電子有限公司公告董事會決議盈餘匯回案
11,2421,建準,102/10/31,17:00:10,代子公司佛山市建準電子有限公司公告董事會決議盈餘匯回案
12,2421,建準,102/12/09,16:48:15,代子公司昆山廣興電子有限公司公告經董事會決議增資 合肥建準電子有限公司
13,2421,建準,102/12/16,11:20:48,說明媒體報導
