,公司代號,公司名稱,發言日期,發言時間,主旨
0,2424,隴華,106/04/05,16:32:29,董事會決議召開民國106年股東常會
1,2424,隴華,106/04/05,17:35:54,董事會決議股利分派
2,2424,隴華,106/04/05,17:46:24,公告本公司董事會決議不分配員工酬勞及董監酬勞案
3,2424,隴華,106/04/27,16:55:36,公告本公司變更通訊地址等相關事宜
4,2424,隴華,106/06/21,15:24:19,公告本公司106年股東常會重要決議事項
5,2424,隴華,106/06/21,15:42:48,本公司股東會通過解除董事代表人之競業禁止限制
6,2424,隴華,106/08/04,16:47:56,公告本公司內部稽核主管異動
7,2424,隴華,106/08/09,17:38:00,公告本公司內部稽核主管異動
8,2424,隴華,106/11/20,14:47:20,本公司受邀參加元大證券舉辦之產業座談會
9,2424,隴華,106/12/22,15:57:47,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
