,公司代號,公司名稱,發言日期,發言時間,主旨
0,2425,承啟,103/01/06,19:13:19,公告本公司法人監察人請辭事宜
1,2425,承啟,103/01/06,19:13:29,公告本公司董事會決議召開一○三年第一次股東臨時會事宜
2,2425,承啟,103/02/21,14:14:25,公告本公司103年第1次股東臨時會重要決議事項。
3,2425,承啟,103/02/21,14:14:40,公告本公司103年股東臨時會補選一席監察人事宜
4,2425,承啟,103/02/24,11:16:46,澄清103年2月22日工商時報B3版報導
5,2425,承啟,103/03/26,15:54:07,公告本公司董事會召開103年股東常會相關事宜
6,2425,承啟,103/03/26,15:54:27,公告本公司董事會通過102年度個體財務報告及合併財務報告
7,2425,承啟,103/03/31,16:46:29,公告本公司變更發言人事宜
8,2425,承啟,103/04/07,16:39:14,因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解
9,2425,承啟,103/04/21,14:25:01,澄清103年4月20日蘋果日報有關中國七彩虹入股承啟，猛灌訂單 及103年4月21日蘋果日報有關七彩虹下單承啟比例無上限的報導
10,2425,承啟,103/05/06,17:08:13,補充公告本公司董事會召開103年股東常會相關事宜
11,2425,承啟,103/05/06,17:08:47,公告本公司董事會決議盈餘轉增資發行新股
12,2425,承啟,103/05/06,17:09:12,公告本公司董事會通過103年度第一季合併財務報告。
13,2425,承啟,103/05/06,17:26:41,董事會決議股利分派
14,2425,承啟,103/06/04,11:41:01,澄清經濟日報103年6月4日C4版之報導
15,2425,承啟,103/06/20,13:31:59,公告本公司103年度股東常會重要決議事項。
16,2425,承啟,103/08/08,16:31:05,公告本公司除權除息基準日
17,2425,承啟,103/08/08,16:31:32,公告本公司董事會通過103年上半年度合併財務報告。
18,2425,承啟,103/10/28,16:46:54,公告本公司董事會通過103年第三季合併財務報告。
