,公司代號,公司名稱,發言日期,發言時間,主旨
0,2427,三商電,106/01/18,16:21:02,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
1,2427,三商電,106/03/17,15:49:32,公告本公司將參加宏遠證券所邀請之法人說明會
2,2427,三商電,106/03/23,16:46:39,董事會決議股利分派
3,2427,三商電,106/03/23,17:01:29,公告本公司董事會決議召開一○六年股東常會事宜。
4,2427,三商電,106/03/23,17:02:03,公告本公司董事會決議通過解除經理人之競業禁止案。
5,2427,三商電,106/03/23,17:02:29,公告本公司董事會決議通過對關係人之捐贈事宜。
6,2427,三商電,106/05/08,13:59:13,"公告本公司董事會通過對子公司""三商資訊""資金貸與事項。"
7,2427,三商電,106/06/13,14:07:51,公告本公司一○六年股東常會重要決議事項。
8,2427,三商電,106/06/13,14:09:03,公告本公司一○六年股東常會通過解除董事競業禁止限制案。
9,2427,三商電,106/06/21,16:14:20,公告本公司董事會決議通過間接赴大陸地區投資案
10,2427,三商電,106/06/21,16:15:08,公告本公司董事會決議訂定配發現金股利除息基準日
11,2427,三商電,106/08/09,14:10:57,公告本公司董事會決議對關係人之捐贈事宜。
12,2427,三商電,106/11/13,13:59:33,公告本公司董事會決議通過註銷庫藏股暨訂定辦理減資基準日
