,公司代號,公司名稱,發言日期,發言時間,主旨
0,2430,燦坤,106/01/23,16:51:15,公告本公司董事會決議召開106年股東會事宜
1,2430,燦坤,106/01/23,16:52:32,公告董事會決議解除經理人競業禁止限制
2,2430,燦坤,106/03/02,16:58:36,本公司法人董事代表人改派事宜
3,2430,燦坤,106/03/10,18:16:08,補充公告本公司董事會決議召開106年股東會事宜
4,2430,燦坤,106/03/10,18:23:36,董事會決議股利分派
5,2430,燦坤,106/04/21,15:57:40,公告本公司股東會決議事項
6,2430,燦坤,106/04/21,15:59:01,公告本公司股東會決議解除董事競業禁止限制事宜
7,2430,燦坤,106/04/21,16:00:30,公告本公司董事會決議除息基準日相關事宜
8,2430,燦坤,106/04/21,16:01:38,公告本公司董事會決議解除經理人競業禁止限制相關事宜
9,2430,燦坤,106/05/05,17:24:03,公告本公司董事會決議解除經理人競業禁止限制相關事宜
10,2430,燦坤,106/06/01,18:05:20,公告本公司法人董事代表人異動事宜
11,2430,燦坤,106/07/24,18:59:39,公告本公司法人董事代表人異動事宜
12,2430,燦坤,106/07/25,16:11:53,公告本公司法人董事代表人異動事宜
13,2430,燦坤,106/09/12,15:35:14,本公司受邀參加元大證券舉辦之產業座談會
