,公司代號,公司名稱,發言日期,發言時間,主旨
0,2436,偉詮電,104/01/23,14:24:52,公告本公司參與機構投資人說明會
1,2436,偉詮電,104/03/13,16:36:22,公告召開本公司104年股東常會。
2,2436,偉詮電,104/03/13,16:41:03,公告本公司董事會決議擬發行限制員工權利新股
3,2436,偉詮電,104/03/13,16:45:08,董事會決議股利分派
4,2436,偉詮電,104/05/22,14:22:53,公告本公司參與機構投資人說明會
5,2436,偉詮電,104/05/22,14:23:45,公告本公司參與機構投資人說明會
6,2436,偉詮電,104/05/29,10:17:59,澄清媒體報導
7,2436,偉詮電,104/06/03,13:54:59,公告本公司一○四年度股東常會重要決議事項
8,2436,偉詮電,104/07/24,15:06:33,公告本公司董事會決議配息基準日
9,2436,偉詮電,104/07/28,16:26:20,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別暸解。
10,2436,偉詮電,104/12/01,15:07:35,公告本公司董事會通過增加大陸投資案
