,公司代號,公司名稱,發言日期,發言時間,主旨
0,2438,翔耀,104/01/09,16:09:52,公告本公司自結103年12月相關財務資訊及因應對策
1,2438,翔耀,104/02/10,13:55:52,公告本公司自結104年1月相關財務資訊及因應對策
2,2438,翔耀,104/03/10,15:33:34,公告本公司自結104年2月相關財務資訊及因應對策
3,2438,翔耀,104/03/23,15:50:29,本公司董事會決議召開104年股東常會事宜
4,2438,翔耀,104/03/23,15:59:46,董事會決議不分派股利
5,2438,翔耀,104/03/23,16:02:53,代子公司勁耘科技股份有限公司依公開發行公司 資金貸與及背書保證處理準則第二十二條第一項 第二款及第三款公告
6,2438,翔耀,104/04/10,16:31:15,公告本公司自結104年3月相關財務資訊及因應對策
7,2438,翔耀,104/04/13,16:10:39,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
8,2438,翔耀,104/04/13,17:41:09,更正前筆公告資料
9,2438,翔耀,104/04/13,19:22:52,更正前筆公告資料
10,2438,翔耀,104/05/05,08:51:45,本公司監察人辭世
11,2438,翔耀,104/05/06,14:45:16,修正本公司董事會決議召開104年股東常會事宜
12,2438,翔耀,104/05/08,16:33:06,公告本公司自結104年4月相關財務資訊及因應對策
13,2438,翔耀,104/06/04,15:41:32,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
14,2438,翔耀,104/06/10,14:29:26,公告本公司自結104年5月相關財務資訊及因應對策
15,2438,翔耀,104/06/17,14:48:16,本公司104年股東常會重要決議事項
16,2438,翔耀,104/07/09,14:54:56,公告本公司自結104年6月相關財務資訊及因應對策
17,2438,翔耀,104/08/10,16:22:32,公告本公司自結104年7月相關財務資訊及因應對策
18,2438,翔耀,104/08/26,13:53:09,"本公司與Sumitomo Mitsui Finance and Leasing Company, Limited訴訟案達成和解"
19,2438,翔耀,104/09/10,15:02:59,公告本公司自結104年8月相關財務資訊及因應對策
20,2438,翔耀,104/09/14,15:35:07,代子公司勁耘科技股份有限公司依公開發行公司 資金貸與及背書保證處理準則第二十二條第一項 第一款公告
21,2438,翔耀,104/09/14,15:35:44,代子公司勁耘科技股份有限公司依公開發行公司 資金貸與及背書保證處理準則第二十二條第一項 第二款及第三款公告
22,2438,翔耀,104/10/08,16:20:03,公告本公司自結104年9月相關財務資訊及因應對策
23,2438,翔耀,104/10/15,14:08:20,本公司董事會決議辦理現金增資案
24,2438,翔耀,104/11/10,15:31:41,公告本公司自結104年10月相關財務資訊及因應對策
25,2438,翔耀,104/12/10,14:52:56,公告本公司自結104年11月相關財務資訊及因應對策
26,2438,翔耀,104/12/11,13:31:28,本公司監察人解任
27,2438,翔耀,104/12/11,13:32:13,本公司董事會決議召開105年第1次股東臨時會事宜
