,公司代號,公司名稱,發言日期,發言時間,主旨
0,2439,美律,105/01/06,20:45:40,公告本公司自行結算104年12月集團合併營收
1,2439,美律,105/01/22,16:01:12,公告本公司105年股東臨時會重要決議事項
2,2439,美律,105/01/22,16:01:31,公告本公司105年第一次股東臨時會補選監察人案
3,2439,美律,105/02/05,15:52:43,公告本公司自行結算105年01月集團合併營收
4,2439,美律,105/02/16,17:35:56,更正本公司105年1月資金貸與金額
5,2439,美律,105/02/22,18:38:40,代重要子公司美律電子(香港)有限公司董事會決議公告增資 美律電子(惠州)有限公司美金100萬元
6,2439,美律,105/02/25,19:23:33,公告董事會通過2015年度決算表冊
7,2439,美律,105/02/25,19:23:59,公告董事會通過2015年員工及董監事酬勞
8,2439,美律,105/02/25,19:24:37,公告本公司董事會決議召開股東會事宜
9,2439,美律,105/02/25,19:29:07,103年度國內第一次無擔保可轉換公司債之計畫項目案 變更公告。
10,2439,美律,105/02/25,19:29:39,公告本公司董事會決議私募發行普通股定價相關事宜
11,2439,美律,105/03/07,18:35:58,公告本公司自行結算105年02月集團合併營收
12,2439,美律,105/03/14,17:14:24,本公司受邀參加美林證券舉辦之2016 Asia Pacific TMT Conference (TTB)
13,2439,美律,105/04/06,20:31:26,公告本公司自行結算105年03月集團合併營收
14,2439,美律,105/05/05,19:03:49,公告本公司自行結算105年04月集團合併營收
15,2439,美律,105/05/09,18:14:02,董事會決議股利分派
16,2439,美律,105/05/09,18:15:29,公告本公司經董事會決議通過間接增資重要子公司 美特科技(蘇州)有限公司現金增資事宜。
17,2439,美律,105/05/09,18:15:50,公告本公司2016年股東常會提名獨立董事候選人名單
18,2439,美律,105/05/09,18:18:29,公告本公司董事會決議發行限制員工權利新股案
19,2439,美律,105/05/09,18:18:51,公告本公司董事會決議為變更2016年股東常會召集事由
20,2439,美律,105/05/19,18:33:30,補充公告本公司2016年股東常會提名獨立董事候選人名單之 經歷及現職
21,2439,美律,105/05/20,17:53:56,本公司受邀參加德意志證券105/05/23-105/05/25舉辦之dbAccess Asia Conference 2016。
22,2439,美律,105/06/04,16:01:10,公告本公司自行結算105年05月集團合併營收
23,2439,美律,105/06/13,16:51:15,本公司受邀參加永豐金證券舉辦之「新興亞洲優勢產業論壇」。
