,公司代號,公司名稱,發言日期,發言時間,主旨
0,2440,太空梭,104/01/19,15:21:13,本公司董事會決議召開104年股東常會相關事宜
1,2440,太空梭,104/01/30,13:57:16,公告本公司103年12月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
2,2440,太空梭,104/02/26,14:14:00,公告本公司104年1月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
3,2440,太空梭,104/03/27,17:41:27,本公司董事會決議不發放股利分派
4,2440,太空梭,104/03/31,15:03:42,公告本公司104年2月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
5,2440,太空梭,104/04/30,17:09:58,公告本公司104年3月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
6,2440,太空梭,104/05/13,20:07:19,董事會決議變更本公司經由第三地區事業間接投資大陸地區 東莞菲太電子有限公司之投資架構
7,2440,太空梭,104/05/13,20:08:14,達資金貸與及背書保證處理準則第二十二條第一項第三款 之公告標準
8,2440,太空梭,104/05/13,20:09:13,代子公司香港太空梭電線有限公司公告- 達資金貸與及背書保證處理準則第二十二條第一項 第三款之公告標準
9,2440,太空梭,104/05/13,20:09:54,代子公司香港太空梭電線有限公司公告- 達資金貸與及背書保證處理準則第二十二條第一項 第三款之公告標準
10,2440,太空梭,104/05/13,20:10:36,資金貸與及背書保證處理準則第二十二條第一項第三款之公告標準
11,2440,太空梭,104/05/13,20:11:16,"代子公司SPACE SHUTTLE HI-TECH CO.,LTD.公告- 達資金貸與及背書保證處理準則第二十二條第一項 第三款之公告標準"
12,2440,太空梭,104/05/13,20:11:58,代子公司東莞紅翔金屬導體有限公司公告- 達資金貸與及背書保證處理準則第二十二條第一項 第三款之公告標準
13,2440,太空梭,104/05/29,11:32:20,公告本公司104年4月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
14,2440,太空梭,104/06/02,13:54:39,公告本公司104年股東常會重要決議事項
15,2440,太空梭,104/06/29,14:55:35,公告本公司104年5月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
16,2440,太空梭,104/07/22,13:23:42,公告補正本公司103年度年報部份資料
17,2440,太空梭,104/07/30,14:03:11,公告本公司104年6月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
18,2440,太空梭,104/08/13,17:13:06,達資金貸與及背書保證處理準則第二十五條第一項 第二.三.四款公告標準
19,2440,太空梭,104/08/31,13:05:54,公告本公司104年7月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
20,2440,太空梭,104/09/30,14:25:49,公告本公司104年8月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
21,2440,太空梭,104/10/29,14:31:26,公告本公司104年9月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
22,2440,太空梭,104/11/12,19:56:19,"代子公司香港太空梭電線有限公司公告擬處分 SPACE SHUTTLE HI-TECH CO.,LTD.(賽席爾)股權及 香港太空梭電線有限公司部分固定資產"
23,2440,太空梭,104/11/12,19:57:08,達資金貸與及背書保證處理準則第二十五條第一項第二款及 第三款及第四款公告標準
24,2440,太空梭,104/11/12,19:57:50,達資金貸與及背書保證處理準則第二十五條第一項第三.四款 公告標準
25,2440,太空梭,104/11/30,09:40:02,公告本公司104年10月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
26,2440,太空梭,104/12/28,14:27:39,"代子公司香港太空梭電線有限公司公告處分子公司 SPACE SHUTTLE HI-TECH CO.,LTD.(賽席爾)81%股權暨 處分本公司部分固定資產"
27,2440,太空梭,104/12/30,16:08:17,公告本公司104年11月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
