,公司代號,公司名稱,發言日期,發言時間,主旨
0,2442,新美齊,106/01/20,17:11:57,公告本公司民國105年12月自結合併損益
1,2442,新美齊,106/02/07,17:21:35,補公告本公司代子公司(JEFFREY INV.LIMITED) 於105年8月5日董事會通過資金貸與公告
2,2442,新美齊,106/02/20,18:45:42,公告本公司民國106年1月自結合併損益
3,2442,新美齊,106/02/23,17:09:48,董事會決議股利分派
4,2442,新美齊,106/02/23,17:11:05,公告董事會決議盈餘轉增資發行新股
5,2442,新美齊,106/02/23,17:12:00,公告員工及董監酬勞分派情形
6,2442,新美齊,106/02/23,17:13:23,公告董事會決議召開一0六年度股東常會
7,2442,新美齊,106/02/23,17:14:31,公告本公司重要營運主管新任案
8,2442,新美齊,106/02/23,17:15:58,代重要子公司凱銳光電公告董事會決議召開 一0六年度股東常會
9,2442,新美齊,106/02/23,17:16:30,代重要子公司凱銳光電公告董事會決議105年度股利， 擬不分派
10,2442,新美齊,106/02/23,17:21:02,代 JERRY INVERSTMENT COMPANY LIMITED 資金貸與公告
11,2442,新美齊,106/03/16,20:44:10,公告本公司民國106年2月自結合併損益
12,2442,新美齊,106/04/20,17:01:35,公告本公司民國106年3月自結合併損益
13,2442,新美齊,106/05/12,16:08:49,代子公司(FEFFREY INV.LIMITED)資金貸與公告
14,2442,新美齊,106/05/12,20:17:07,代子公司(JEFFREY INV.LIMITED)資金貸與公告
15,2442,新美齊,106/05/19,16:36:47,公告本公司民國106年4月自結合併損益
16,2442,新美齊,106/05/26,18:52:37,公告本公司一0六年股東常會通過重要決議事項
17,2442,新美齊,106/05/26,18:53:28,公告本公司一0六年股東常會決議全面改選董事
18,2442,新美齊,106/05/26,18:54:21,解除新任董事競業禁止案
19,2442,新美齊,106/05/26,18:55:03,代重要子公司凱銳光電公告一0六年股東常會 通過重要決議事項
20,2442,新美齊,106/05/26,18:55:48,代重要子公司凱銳光電公告股東會決議不分派105年度股利
21,2442,新美齊,106/05/26,18:56:30,公告本公司董事會決議 選任董事長事宜
22,2442,新美齊,106/05/26,18:57:09,公告本公司薪酬委員會委員異動
23,2442,新美齊,106/05/26,19:23:06,公告本公司審計委員會委員異動
24,2442,新美齊,106/06/13,17:55:27,公告本公司薪酬委員會委員異動
25,2442,新美齊,106/06/13,17:56:32,公告本公司董事會決議設置企業永續委員會
26,2442,新美齊,106/06/13,17:57:09,本公司董事會決議發行一○六年度第一次有擔保普通公司債
27,2442,新美齊,106/06/13,17:57:38,本公司董事會決議收回已發行之限制員工權利新股註銷減資 事宜
28,2442,新美齊,106/06/19,18:07:09,公告本公司民國106年5月自結合併損益
29,2442,新美齊,106/07/03,16:01:05,公告本公司減資辦理資本變更登記完成
30,2442,新美齊,106/07/19,16:08:08,公告本公司民國106年6月自結合併損益
31,2442,新美齊,106/07/21,16:43:44,公告修正本公司105年度年報部份資料
32,2442,新美齊,106/07/25,15:46:59,公告本公司重要營運主管變動
33,2442,新美齊,106/08/04,16:49:57,公告本公司簽訂士林區天母段合建分屋契約
34,2442,新美齊,106/08/08,18:31:18,公告本公司董事會決議增資配股暨現金股利配發 相關事宜
35,2442,新美齊,106/08/08,19:52:45,代子公司(JEFFREY INV.LIMITED)資金貸與公告
36,2442,新美齊,106/08/17,18:00:58,公告本公司民國106年7月自結合併損益
37,2442,新美齊,106/08/24,14:39:12,補充公告本公司106年度第1次有擔保普通公司債相關事宜
38,2442,新美齊,106/09/19,16:12:44,公告本公司民國106年8月自結合併損益
39,2442,新美齊,106/09/22,18:16:54,公告本公司重要營運主管異動
40,2442,新美齊,106/10/20,17:01:06,公告本公司民國106年9月自結合併損益
41,2442,新美齊,106/11/07,18:22:27,本公司之子公司(JEFFREY INV.LTD.)擬辦理解散案
42,2442,新美齊,106/11/07,18:23:59,公告本公司向關係人購入不動產
43,2442,新美齊,106/11/07,18:24:37,"本公司之子公司(JERRY INV, CO.,LTD)擬辦理解散案"
44,2442,新美齊,106/11/08,18:22:31,代重要子公司JEFFREY INV.LIMITED公告解散清算事宜
45,2442,新美齊,106/11/08,18:23:13,代重要子公司JERRY INVESTMENT COMPANY LTD.公告解散清算事宜
46,2442,新美齊,106/11/15,16:40:47,公告本公司民國106年10月自結合併損益
47,2442,新美齊,106/12/01,15:14:22,代重要子公司凱銳光電公告董事會決議召開106年第一次股 東臨時會事宜
48,2442,新美齊,106/12/19,18:53:36,公告本公司民國106年11月自結合併損益
49,2442,新美齊,106/12/21,15:34:48,公告本公司召開法人說明會相關資訊
50,2442,新美齊,106/12/22,20:04:33,代重要子公司凱銳光電公告106年第1次股東臨時會通過重要決議
51,2442,新美齊,106/12/22,20:05:49,代重要子公司凱銳光電公告106年臨時股東會決議全面改選董 事監察人
52,2442,新美齊,106/12/22,20:08:00,代重要子公司凱銳光電解除新任董事競業禁止案
53,2442,新美齊,106/12/22,20:08:49,代重要子公司凱銳光電公告董事會選任董事長事宜
