,公司代號,公司名稱,發言日期,發言時間,主旨
0,2449,京元電子,104/02/17,15:49:07,本公司受邀參加港商匯豐銀行舉辦之『HSBC Technology Day』
1,2449,京元電子,104/02/17,16:01:25,公告本公司取得機器設備之相關資料
2,2449,京元電子,104/02/25,14:56:30,公告本公司取得機器設備之相關資料
3,2449,京元電子,104/03/02,14:57:57,本公司董事會決議收買已發行之限制員工權利新股註銷減資事宜
4,2449,京元電子,104/03/02,14:58:42,公告本公司董事會通過之民國103年度合併財務報表
5,2449,京元電子,104/03/02,14:58:58,本公司董事會通過104年資本支出
6,2449,京元電子,104/03/02,14:59:14,本公司董事會決議召開股東常會
7,2449,京元電子,104/03/02,15:00:38,董事會決議股利分派
8,2449,京元電子,104/03/02,15:00:52,公告本公司簽訂廠房租地委建合約相關事宜
9,2449,京元電子,104/03/10,11:24:48,說明104/03/10媒體之相關報導內容
10,2449,京元電子,104/04/02,15:49:09,本公司將收買已發行之限制員工權利新股辦理註銷完成公告
11,2449,京元電子,104/04/08,14:54:52,公告本公司簽訂廠房租地委建合約相關事宜(更正)
12,2449,京元電子,104/04/28,14:47:21,本公司董事會決議收買已發行之限制員工權利新股註銷減資事宜
13,2449,京元電子,104/04/28,14:47:43,公告本公司提報董事會之民國104年第一季合併財務報表
14,2449,京元電子,104/05/12,13:47:20,公告本公司受邀參加法銀巴黎證券舉辦之『BNP Paribas 6th ASIA PACIFIC TMT Conference』
15,2449,京元電子,104/05/12,13:47:56,公告本公司受邀參加富邦證券舉辦之『富邦投資論壇』
16,2449,京元電子,104/05/22,15:02:40,本公司將收買已發行之限制員工權利新股辦理註銷完成公告
17,2449,京元電子,104/06/17,14:56:09,本公司104年股東常會重要決議事項
18,2449,京元電子,104/06/18,11:47:13,說明104/06/18媒體之相關報導內容
19,2449,京元電子,104/06/22,17:20:59,公告本公司取得機器設備之相關資料
20,2449,京元電子,104/06/26,10:54:08,說明104/06/26媒體之相關報導內容
21,2449,京元電子,104/06/26,14:43:28,公告本公司103年度盈餘分派原配息率之調整
22,2449,京元電子,104/06/26,14:43:44,公告本公司董事會決議配息基準日
23,2449,京元電子,104/06/26,14:43:59,本公司董事會通過提高104年資本支出
24,2449,京元電子,104/07/28,14:39:02,公告本公司董事會決議第十五次買回本公司股份相關事宜
25,2449,京元電子,104/07/28,14:39:23,公告本公司提報董事會之民國104年上半年度合併財務報表
26,2449,京元電子,104/08/20,15:05:58,本公司受邀參加野村證券舉辦之『Nomura Taiwan Corporate Day』
27,2449,京元電子,104/09/01,14:14:28,公告本公司受邀參加瑞士信貸舉辦之『16th Annual Asian Technology Conference』
28,2449,京元電子,104/09/01,16:37:22,公告本公司第十五次買回股份之交易金額達新台幣3億元以上
29,2449,京元電子,104/09/21,11:46:43,說明104/09/21媒體之相關報導內容
30,2449,京元電子,104/09/21,17:13:37,公告本公司第十五次買回股份之數量，累積達已發行股份總數 2.17％
31,2449,京元電子,104/09/24,17:18:18,公告本公司第十五次買回股份之交易金額達新台幣3億元以上
32,2449,京元電子,104/09/25,15:22:49,公告本公司第十五次買回公司股份全數執行完畢
33,2449,京元電子,104/10/29,14:50:50,本公司董事會決議通過間接投資大陸相關
34,2449,京元電子,104/10/29,14:51:27,公告本公司董事會決議庫藏股註銷減資事宜
35,2449,京元電子,104/10/29,14:51:52,公告本公司提報董事會之民國104年前三季合併財務報表
36,2449,京元電子,104/10/29,14:52:12,本公司董事會決議通過轉投資案
37,2449,京元電子,104/11/19,15:12:18,公告本公司取得焱元投資股份有限公司普通股(更正)
38,2449,京元電子,104/11/23,15:47:11,本公司庫藏股註銷實收資本額變更登記事宜
39,2449,京元電子,104/12/02,14:55:13,公告本公司取得機器設備之相關資料
40,2449,京元電子,104/12/16,16:11:29,公告本公司取得機器設備之相關資料
41,2449,京元電子,104/12/25,17:01:58,本公司人事佈局案
42,2449,京元電子,104/12/25,17:02:19,本公司董事會決議通過向臺灣土地銀行等聯合授信銀行團之 聯合授信案
43,2449,京元電子,104/12/28,15:06:01,公告本公司取得機器設備之相關資料
