,公司代號,公司名稱,發言日期,發言時間,主旨
0,2451,創見,105/03/10,14:58:04,本公司將於105年3月11日召開法人說明會
1,2451,創見,105/03/10,19:45:45,公告本公司董事會重要決議事項
2,2451,創見,105/03/10,19:47:40,公告本公司董事會決議召開股東常會
3,2451,創見,105/03/10,20:30:56,董事會決議股利分派
4,2451,創見,105/03/10,20:49:29,董事會通過104年度員工及董監酬勞金額及發放方式
5,2451,創見,105/03/10,23:12:39,公告本公司董事會決議召開股東常會(採行電子投票)
6,2451,創見,105/04/28,16:34:27,公告本公司董事會重要決議事項
7,2451,創見,105/06/14,14:57:58,公告本公司105年股東常會重要決議事項
8,2451,創見,105/06/20,16:48:44,公告本公司105年配息基準日
9,2451,創見,105/06/28,16:47:32,更正本公司105年4月份及5月份為他人背書保證資訊
10,2451,創見,105/08/04,17:18:45,公告本公司董事會重要決議事項
11,2451,創見,105/08/30,15:44:23,公告本公司將於9月7日參加瑞士信貸舉辦之 17th CS Asian Technology Conference
12,2451,創見,105/10/17,16:07:49,公告本公司代理發言人異動
13,2451,創見,105/11/03,17:54:44,公告本公司董事會重要決議事項
