,公司代號,公司名稱,發言日期,發言時間,主旨
0,2455,全新,101/01/11,17:48:25,公告本公司應Credit Suisse邀請參加2012 Taiwan Conference
1,2455,全新,101/02/07,18:04:29,澄清101/02/07工商時報B3版報導
2,2455,全新,101/03/19,13:55:10,澄清101/03/18工商時報A9版報導
3,2455,全新,101/03/22,16:56:10,公告本公司董事會決議召開101年股東常會事宜
4,2455,全新,101/04/11,09:38:08,公告本公司應Barclays邀請參加 Taiwan Tech Gem Corporate Day
5,2455,全新,101/04/26,15:41:36,補充公告本公司董事會決議召開101年股東常會事宜 (增列議案內容)
6,2455,全新,101/04/26,15:42:22,本公司董事會決議100年度股利分派情形
7,2455,全新,101/04/26,15:42:53,公告本公司董事會決議資本公積轉增資發行新股事宜
8,2455,全新,101/05/07,14:44:49,公告本公司應邀參加花旗環球證券舉辦之『2012年台灣投資論壇』
9,2455,全新,101/06/08,16:21:20,公告本公司應富邦證券之邀參加Fubon Corporate Day
10,2455,全新,101/06/19,16:50:45,公告本公司應富邦證券邀請參加2012年度投資論壇
11,2455,全新,101/06/27,13:38:17,公告本公司101年股東常會重要決議事項
12,2455,全新,101/06/27,13:38:31,澄清101/6/27工商時報B3版報導
13,2455,全新,101/07/03,13:42:18,澄清101/07/03經濟日報C5版報導
14,2455,全新,101/07/09,16:22:18,公告本公司訂定除權息基準日之相關事宜
15,2455,全新,101/07/19,15:10:28,公告修正本公司100年度年報部份資料
16,2455,全新,101/07/20,14:14:27,澄清101/07/20經濟日報C1版及工商時報B1版報導
17,2455,全新,101/09/05,16:18:53,公告本公司應元富證券邀請參加2H12總體經濟論壇暨產業趨勢探討
18,2455,全新,101/10/31,16:24:33,公告本公司應大和國泰證券邀請參加座談會
19,2455,全新,101/11/14,15:50:32,公告本公司應Deutsche Bank邀請參加dbAccess Taiwan Conference 2012
