,公司代號,公司名稱,發言日期,發言時間,主旨
0,2459,敦吉,106/02/14,10:33:04,公告本公司一○五年度自結合併損益資訊
1,2459,敦吉,106/03/10,17:47:36,公告本公司內部稽核主管異動
2,2459,敦吉,106/03/13,12:27:03,本公司董事會決議召開民國一○六年股東常會相關事宜
3,2459,敦吉,106/03/13,12:27:27,本公司董事會決議分派105年度股利，擬定每普通股配發現金股息2.6元
4,2459,敦吉,106/03/13,12:27:51,本公司董事會決議通過105年度員工酬勞及董監事酬勞分配案
5,2459,敦吉,106/03/24,09:47:39,澄清媒體報導
6,2459,敦吉,106/03/24,09:49:05,澄清媒體報導
7,2459,敦吉,106/04/18,10:08:49,公告本公司一○六年度第一季自結合併損益資訊
8,2459,敦吉,106/04/19,09:11:07,澄清媒體報導
9,2459,敦吉,106/05/25,15:01:49,代重要子公司香港敦吉科技投資有限公司公告其董事會決議 召開一○六年股東常會
10,2459,敦吉,106/05/25,15:02:11,代重要子公司香港豐國電子有限公司公告其董事會決議 召開一○六年股東常會
11,2459,敦吉,106/06/16,15:05:57,公告本公司106年股東常會重要決議事項
12,2459,敦吉,106/06/16,15:06:36,公告本公司106年除息基準日
13,2459,敦吉,106/06/29,15:12:34,代重要子公司香港敦吉科技投資有限公司公告一○六年股東常會 重要決議事項
14,2459,敦吉,106/06/29,15:32:31,代重要子公司香港豐國電子有限公司公告一○六年股東常會 重要決議事項
15,2459,敦吉,106/06/29,15:33:27,代重要子公司香港敦吉科技投資有限公司公告106年股東常會 改選董事
16,2459,敦吉,106/06/29,15:34:20,代重要子公司香港豐國電子有限公司公告106年股東常會改選董事
17,2459,敦吉,106/06/30,14:13:13,代重要子公司信華電子科技(吳江)有限公司公告三分之一法人 董事代表人變動
18,2459,敦吉,106/06/30,14:13:52,代重要子公司信華電子科技(吳江)有限公司公告董事長及 總經理異動
19,2459,敦吉,106/06/30,14:22:58,代重要子公司信華科技(廈門)有限公司公告三分之一法人董事 代表人變動
20,2459,敦吉,106/06/30,14:23:33,代重要子公司信華科技(廈門)有限公司公告董事會決議不發放 股利
21,2459,敦吉,106/07/26,10:14:14,公告本公司一○六年上半年度自結合併損益資訊
22,2459,敦吉,106/07/27,15:17:28,更正本公司106年4-6月資金貸與公告資訊及106年6月背書保證 公告資訊
23,2459,敦吉,106/07/31,15:05:15,公告本公司董事會決議通過內部稽核主管任命案
24,2459,敦吉,106/07/31,15:07:45,敦吉科技跨入物聯網產業，取得昕傳科技(股)公司近40%股權
25,2459,敦吉,106/10/18,09:56:06,公告本公司一○六年前三季自結合併損益資訊
26,2459,敦吉,106/10/19,10:51:09,澄清媒體報導
27,2459,敦吉,106/11/03,15:39:38,公告本公司董事會通過一○六年前三季合併財務報告
28,2459,敦吉,106/11/03,15:40:29,本公司董事會通過對財團法人宏寶社會福利慈善事業基金會 捐贈事宜
29,2459,敦吉,106/11/03,15:41:26,公告本公司受邀參加兆豐證券舉辦之法人說明會
30,2459,敦吉,106/11/24,10:00:58,澄清媒體報導
31,2459,敦吉,106/11/28,14:33:53,代重要子公司香港敦吉科技投資有限公司公告董事會決議發放現金 股利
32,2459,敦吉,106/12/19,15:26:34,代子公司信華電子科技(吳江)有限公司依「公開發行公司資金貸 與及背書保證處理準則」第二十二條第一項第三款規定辦理公告
33,2459,敦吉,106/12/28,14:39:59,代重要子公司香港敦吉科技投資有限公司公告董事會決議發放現金 股利
