,公司代號,公司名稱,發言日期,發言時間,主旨
0,2461,光群雷,107/01/10,17:26:50,發佈本公司106年12月份業績資料
1,2461,光群雷,107/02/09,14:18:07,發佈本公司107年01月份業績資料
2,2461,光群雷,107/03/02,18:53:44,代重要子公司東莞光群雷射科技有限公司 公告盈餘分配決議案
3,2461,光群雷,107/03/07,14:09:40,本公司受邀參加宏遠證券舉辦之法人說明會
4,2461,光群雷,107/03/08,18:37:06,代重要子公司Top Band Investment Limited.公告盈餘分配 決議案
5,2461,光群雷,107/03/09,16:23:40,發佈本公司107年02月份業績資料
6,2461,光群雷,107/03/13,16:13:27,更正本公司受邀參加宏遠證券舉辦之法人說明會日期
7,2461,光群雷,107/03/15,16:54:03,公告本公司董事會決議召開107年股東常會相關事宜
8,2461,光群雷,107/03/15,16:57:43,本公司第十一屆第四董事會重要決議事項
9,2461,光群雷,107/03/29,18:37:33,本公司第十一屆第四董事會重要決議事項
10,2461,光群雷,107/03/29,19:30:18,本公司董事會決議股利分派事宜
11,2461,光群雷,107/04/10,17:04:44,發佈本公司107年03月份業績資料
12,2461,光群雷,107/04/16,14:54:36,代重要子公司東莞光群雷射科技有限公司 公告盈餘分配決議案
13,2461,光群雷,107/05/02,15:02:54,本公司受邀參加福邦證券舉辦之法人說明會
14,2461,光群雷,107/05/09,17:54:36,本公司第十一屆第六次董事會重要決議事項
15,2461,光群雷,107/05/10,17:27:51,發佈本公司107年04月份業績資料
16,2461,光群雷,107/05/30,14:23:49,公告本公司107年股東常會重要決議
17,2461,光群雷,107/06/01,16:22:42,公告本公司配息基準日
18,2461,光群雷,107/06/11,14:42:49,發佈本公司107年05月份業績資料
19,2461,光群雷,107/06/12,16:27:10,"代重要子公司K Laser China Group Holding Co.,Limited. 及 K Laser China Group Co., Ltd. 公告盈餘分配 決議案"
20,2461,光群雷,107/07/03,15:41:18,本公司轉投資之關聯企業江蘇新光火災狀況說明及因應措施
21,2461,光群雷,107/07/10,14:12:51,發佈本公司107年06月份業績資料
22,2461,光群雷,107/07/13,13:55:50,公告本公司董事會決議第二十五次買回庫藏股事宜
23,2461,光群雷,107/07/13,17:03:57,本公司第十一屆第七次董事會重要決議事項
24,2461,光群雷,107/07/19,16:01:30,"代重要子公司K Laser China Group Holding Co.,Limited. 及 K Laser China Group Co., Ltd. 公告盈餘分配 決議案"
25,2461,光群雷,107/08/10,14:21:04,發佈本公司107年07月份業績資料
26,2461,光群雷,107/08/14,15:40:41,本公司第十一屆第八次董事會重要決議事項
27,2461,光群雷,107/08/14,15:41:16,公告本公司內部稽核主管異動
28,2461,光群雷,107/09/04,16:08:20,本公司買回股份數量累積已達公司已發行股份總額百分之二
29,2461,光群雷,107/09/10,17:10:24,發佈本公司107年08月份業績資料
30,2461,光群雷,107/09/14,16:13:57,公告買回本公司股份已執行完畢相關事宜
31,2461,光群雷,107/10/09,16:19:34,發佈本公司107年09月份業績資料
32,2461,光群雷,107/11/09,14:51:31,公告本公司董事會決議第二十六次買回庫藏股事宜
33,2461,光群雷,107/11/09,15:57:27,本公司第十一屆第九次董事會重要決議事項
34,2461,光群雷,107/11/09,16:09:34,公告本公司董事會決議通過註銷庫藏股暨訂定減資基準日
35,2461,光群雷,107/11/09,16:13:15,本公司新增資金貸與餘額達「資金貸與及背書保證處理準則」 第22條第1項第3款
36,2461,光群雷,107/11/12,16:28:12,發佈本公司107年10月份業績資料
37,2461,光群雷,107/11/19,15:56:43,"代重要子公司K Laser China Group Holding Co.,Limited. 及 K Laser China Group Co., Ltd. 公告盈餘分配 決議案"
38,2461,光群雷,107/12/05,19:11:52,公告本公司第25次庫藏股減資，辦理變更登記完成
39,2461,光群雷,107/12/10,17:34:04,發佈本公司107年11月份業績資料
40,2461,光群雷,107/12/17,17:45:44,本公司買回股份數量累積已達公司已發行股份總額百分之二
