,公司代號,公司名稱,發言日期,發言時間,主旨
0,2462,良得電,101/01/10,15:14:58,公告本公司100年12月份自結財務報表中高流動資產、 短期借款及一年內到期之長期負債金額
1,2462,良得電,101/02/10,15:52:03,公告本公司101年1月份自結財務報表中高流動資產、 短期借款及一年內到期之長期負債金額
2,2462,良得電,101/03/06,17:06:50,本公司董事會通過100年度營業報告書暨財務報表承認案
3,2462,良得電,101/03/06,17:07:40,公告本公司董事會決議資本公積轉增資發行新股事宜
4,2462,良得電,101/03/06,17:08:18,公告本公司董事會決議配發一百年度盈餘分派
5,2462,良得電,101/03/06,17:10:47,公告本公司董事會決議召開股東會相關事宜
6,2462,良得電,101/03/12,17:26:08,公告本公司101年2月份自結財務報表中高流動資產、 短期借款及一年內到期之長期負債金額
7,2462,良得電,101/04/09,18:56:28,公告本公司101年3月份自結財務報表中高流動資產、 短期借款及一年內到期之長期負債金額
8,2462,良得電,101/04/20,17:20:47,公告本公司董事會決議發行國內第二次有擔保轉換公司債及 第三次無擔保轉換公司債。
9,2462,良得電,101/05/02,11:32:07,本公司101年第一季XBRL財務報 表更正申報
10,2462,良得電,101/05/25,15:09:48,公告本公司101年股東常會重要決議事項
11,2462,良得電,101/05/25,15:12:48,公告本公司補選第十二屆監察人事宜
12,2462,良得電,101/06/01,17:59:01,本公司採權益法之被投資公司擬設立-利丰制粒(深圳)有限公司
13,2462,良得電,101/07/13,17:37:58,一百年度盈餘分配現金股利配 息基準日暨資本公積轉增資發行新股 基準日。
14,2462,良得電,101/08/30,17:05:45,本公司董事會通過經由第三地區投資重慶合川區設立孫公司案。
15,2462,良得電,101/11/20,18:55:09,本公司新增背書保證金額達新台幣三仟萬元以上且達本公司最近 期財務報表淨值百分之五以上，依處理準則第25條第1項第4款規 定公告
