,公司代號,公司名稱,發言日期,發言時間,主旨
0,2464,盟立,104/03/27,16:51:22,董事會決議召開104年股東常會事宜
1,2464,盟立,104/03/27,16:51:59,董事會決議盈餘轉增資發行新股
2,2464,盟立,104/03/27,16:54:09,董事會決議股利分派
3,2464,盟立,104/04/01,08:56:17,公告更正本公司103年12月及104年1、2月關係人交易相關資訊
4,2464,盟立,104/06/18,11:31:48,公告本公司104年股東常會重要決議事項
5,2464,盟立,104/06/18,17:12:28,董事會決議股票股利及現金股利配發基準日之授權案。
6,2464,盟立,104/07/09,10:48:13,澄清104年7月9日經濟日報C4版之新聞內容
7,2464,盟立,104/07/14,15:07:23,公告本公司增資及配發現金股利相關事宜
8,2464,盟立,104/07/21,08:44:47,公告補正本公司103年度年報資料
9,2464,盟立,104/12/28,17:01:42,公告本公司會計主管異動
