,公司代號,公司名稱,發言日期,發言時間,主旨
0,2466,冠西電,106/01/25,15:22:33,公告本公司105年12份自結財務資訊
1,2466,冠西電,106/02/21,15:59:49,公告本公司106年01份自結財務資訊
2,2466,冠西電,106/03/21,16:18:08,公告本公司106年02份自結財務資訊
3,2466,冠西電,106/03/28,17:53:47,本公司董事會決議召開一○六年股東常會相關事宜
4,2466,冠西電,106/03/28,17:58:55,董事會決議股利分派
5,2466,冠西電,106/04/27,15:26:05,更正本公司106年03月背書保證明細表資訊
6,2466,冠西電,106/04/28,15:35:03,公告本公司106年03份自結財務資訊
7,2466,冠西電,106/06/22,16:08:34,公告本公司一○六年股東常會重要決議事項
8,2466,冠西電,106/07/19,13:41:46,修正本公司105年度股東會年報部份資料。
9,2466,冠西電,106/08/29,16:13:57,公告本公司106年累計合併營收自結數與會計師查核數 差異調整修正
10,2466,冠西電,106/10/17,17:33:07,公告本公司處分微星科技(股)公司證券之相關資料
11,2466,冠西電,106/11/03,16:54:53,本公司受邀參加福邦證券舉辦之法人說明會
