,公司代號,公司名稱,發言日期,發言時間,主旨
0,2471,資通,105/03/25,18:14:38,董事會決議股東會召開日期、事由及停止變更股東名簿記載日期
1,2471,資通,105/03/25,18:15:11,公告本公司董事會決議通過104年度員工酬勞及董監酬勞
2,2471,資通,105/03/25,18:19:11,董事會決議股利分派
3,2471,資通,105/06/02,15:58:29,更(補)正本公司104年度合併財務報告暨個體財務報告之部份資訊
4,2471,資通,105/06/22,17:22:55,公告本公司105年度股東會重要決議
5,2471,資通,105/06/22,17:26:32,公告本公司105年度股東會改選後董監事資料
6,2471,資通,105/06/22,17:28:23,公告本公司105年股東會決議解除董事競業之限制案
7,2471,資通,105/06/22,17:30:12,公告本公司董事會選任董事長
8,2471,資通,105/06/22,17:32:55,公告本公司董事會核准任命薪酬委員會委員
9,2471,資通,105/07/06,16:59:02,公告本公司經股東會授權董事長訂定除息基準日相關事宜
10,2471,資通,105/07/06,18:50:50,公告本公司除息基準日相關事宜－調整配息率
11,2471,資通,105/07/27,18:52:03,公告本公司除息基準日相關事宜－調整每股配息中 盈餘分配及資本公積的比率
12,2471,資通,105/07/27,19:24:53,補正本公司104年度股東會年報資料部份內容
