,公司代號,公司名稱,發言日期,發言時間,主旨
0,2472,立隆電,102/02/04,16:25:49,公告修訂本公司「第九次買回股份轉讓員工辦法」部分條文。
1,2472,立隆電,102/02/25,14:22:40,第九次庫藏股買回期限屆滿執行完畢公告
2,2472,立隆電,102/03/26,16:51:58,公告董事會決議召開102年股東常會相關事宜。
3,2472,立隆電,102/03/26,16:53:06,董事會決議股利分派
4,2472,立隆電,102/03/27,15:43:36,公告102/3/27地震對本公司財務及業務並無重大影響
5,2472,立隆電,102/06/03,09:17:15,公告102年6月2日地震對本公司財務及業務並無重大影響
6,2472,立隆電,102/06/25,14:39:54,公告本公司一○二年股東常會決議事項。
7,2472,立隆電,102/06/25,14:44:57,公告本公司一○一年股東常會改選董事及監察人
8,2472,立隆電,102/06/25,14:45:39,公告本公司新任董事解除競業禁止之限制
9,2472,立隆電,102/06/25,14:46:11,公告本公司董事長吳德銓先生續任
10,2472,立隆電,102/06/25,14:48:57,公告本公司第二屆薪資報酬委員會委員
11,2472,立隆電,102/06/25,15:24:00,公告本公司一○二年股東常會改選董事及監察人
12,2472,立隆電,102/07/18,14:38:42,公告修正本公司101年度年報部份資料
13,2472,立隆電,102/08/12,17:28:33,公告本公司董事會決議訂定除權息基準日事宜。
14,2472,立隆電,102/08/12,17:29:27,公告本公司每股現金股利變動事宜
15,2472,立隆電,102/08/12,17:30:40,公告本公司總經理異動。
16,2472,立隆電,102/08/13,10:02:47,更正本公司董事會決議訂定除息基準日事宜。
17,2472,立隆電,102/10/09,11:04:09,澄清10月9日自由時報C2版報導
18,2472,立隆電,102/11/08,16:46:24,依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款公告
19,2472,立隆電,102/11/08,16:47:01,依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第三款公告。
