,公司代號,公司名稱,發言日期,發言時間,主旨
0,2474,可成,105/01/05,15:55:20,本公司受邀參加投資人說明會
1,2474,可成,105/01/05,18:55:15,代子公司可成科技(宿遷)有限公司公告累計取得有價證券之相關資 料
2,2474,可成,105/01/05,18:56:09,代子公司可功科技(宿遷)有限公司公告取得有價證券之相關資料
3,2474,可成,105/01/05,18:56:48,代子公司可勝科技(泰州)有限公司公告取得有價證券之相關資料
4,2474,可成,105/01/05,18:57:28,代子公司可勝科技(蘇州)有限公司公告累計取得有價證券之相關資 料
5,2474,可成,105/01/05,18:58:12,代子公司可利科技(蘇州工業園區)有限公司公告取得有價證券之相 關資料
6,2474,可成,105/01/05,18:58:54,代子公司可利科技(蘇州工業園區)有限公司公告累計取得有價證券 之相關資料
7,2474,可成,105/01/06,17:35:50,本公司受邀參加法人說明會
8,2474,可成,105/01/07,17:19:16,代重要子公司Cygnus公司公告盈餘分配決議案
9,2474,可成,105/01/07,17:51:04,代子公司可利科技(蘇州工業園區)有限公司公告取得有價證券之相 關資料
10,2474,可成,105/01/08,17:35:44,代子公司可利科技(蘇州工業園區)有限公司公告取得有價證券之相 關資料
11,2474,可成,105/01/12,17:48:08,代子公司可功科技(宿遷)有限公司公告取得有價證券之相關資料
12,2474,可成,105/01/12,17:49:03,代子公司可勝科技(泰州)有限公司公告取得有價證券之相關資料
13,2474,可成,105/01/14,16:18:48,代子公司可成科技(宿遷)有限公司公告累計處分有價證券之相關資 料
14,2474,可成,105/01/14,16:19:54,代子公司可功科技(宿遷)有限公司公告處分有價證券之相關資料
15,2474,可成,105/01/14,16:20:33,代子公司可勝科技(泰州)有限公司公告處分有價證券之相關資料
16,2474,可成,105/01/25,17:37:36,代子公司可功科技(宿遷)有限公司公告處分有價證券之相關資料
17,2474,可成,105/01/25,17:39:30,代子公司可勝科技(泰州)有限公司公告處分有價證券之相關資料
18,2474,可成,105/01/26,18:19:56,代子公司可功科技(宿遷)有限公司公告累計取得有價證券之相關 資料
19,2474,可成,105/01/26,18:20:15,代子公司可勝科技(泰州)有限公司公告累計取得有價證券之相關 資料
20,2474,可成,105/01/28,17:42:21,代子公司可利科技(蘇州工業園區)有限公司公告取得有價證券之 相關資料
21,2474,可成,105/02/02,15:36:17,代子公司可利科技(蘇州工業園區)有限公司公告處分有價證券之相 關資料
22,2474,可成,105/02/03,16:53:57,代子公司可功科技(宿遷)有限公司公告處分有價證券之相關資料
23,2474,可成,105/02/03,16:54:49,代子公司可勝科技(泰州)有限公司公告處分有價證券之相關資料
24,2474,可成,105/02/03,16:55:30,代子公司可利科技(蘇州工業園區)有限公司公告處分有價證券之相 關資料
25,2474,可成,105/02/05,17:15:05,代子公司可利科技(蘇州工業園區)有限公司公告累計取得有價證券 之相關資料
26,2474,可成,105/02/05,17:15:48,代子公司可利科技(蘇州工業園區)有限公司公告累計取得有價證券 之相關資料
27,2474,可成,105/02/05,17:16:28,代子公司可利科技(蘇州工業園區)有限公司公告處分有價證券之相 關資料
28,2474,可成,105/02/05,17:17:07,代子公司可功科技(宿遷)有限公司公告取得有價證券之相關資料
29,2474,可成,105/02/05,17:17:51,代子公司可發科技(宿遷)有限公司公告取得有價證券之相關資料
30,2474,可成,105/02/05,17:18:31,代子公司可勝科技(泰州)有限公司公告取得有價證券之相關資料
31,2474,可成,105/02/06,11:14:55,公告105/2/6凌晨3:57高雄美濃地震對本公司財務業務無重大影響
