,公司代號,公司名稱,發言日期,發言時間,主旨
0,2476,鉅祥,100/01/17,16:31:13,公告本公司十二月份自結盈餘
1,2476,鉅祥,100/01/26,14:21:14,代子公司上海鉅祥精密模具有限公司公告董事會決議投資四川廠
2,2476,鉅祥,100/02/15,15:48:40,公告本公司一月份自結盈餘
3,2476,鉅祥,100/03/11,18:31:35,日本強震對本公司財務業務未造成影響
4,2476,鉅祥,100/03/15,15:59:18,公告本公司二月份自結盈餘
5,2476,鉅祥,100/03/23,16:56:39,本公司董事會決議發放股利公告
6,2476,鉅祥,100/03/23,16:57:21,本公司董事會決議召開100年股東常會日期及相關事宜公告
7,2476,鉅祥,100/03/23,16:58:37,董事會決議解除本公司經理人競業禁止案
8,2476,鉅祥,100/03/23,16:59:14,公告本公司會計主管異動事宜
9,2476,鉅祥,100/03/23,16:59:43,公告本公司財務主管異動事宜
10,2476,鉅祥,100/03/23,17:00:12,公告本公司代理發言人異動事宜
11,2476,鉅祥,100/03/23,17:01:13,代子公司上海鉅祥修正公告大陸四川廠投資相關資訊
12,2476,鉅祥,100/03/29,11:07:47,公告本公司變更股務代理機構事宜
13,2476,鉅祥,100/04/15,15:44:00,公告本公司三月份自結盈餘
14,2476,鉅祥,100/05/05,16:23:40,本公司100年股東常會受理股東提案已於5月4日截止
15,2476,鉅祥,100/05/09,16:48:46,本公司99年12月資金貸與他人實際動支金額誤植更正
16,2476,鉅祥,100/05/13,17:40:36,公告本公司四月份自結盈餘
17,2476,鉅祥,100/05/24,15:15:26,公告本公司董事會決議大陸地區投資公司 東莞鉅悅模具有限公司辦理撤回投資案
18,2476,鉅祥,100/05/27,15:04:59,本公司九十九年度母公司財報PDF檔漏頁更正申報
19,2476,鉅祥,100/06/10,11:10:34,本公司100年5月資金貸與他人之對個別對象資金貸與限額 金額誤植更正
20,2476,鉅祥,100/06/15,13:45:57,公告本公司五月份自結盈餘
21,2476,鉅祥,100/06/28,14:43:43,公告本公司100年6月28日股東常會重要決議事項。
22,2476,鉅祥,100/06/28,14:44:37,公告本公司股東會解除董事之競業禁止限制
23,2476,鉅祥,100/06/28,14:52:30,公告本公司董監事全面改選
24,2476,鉅祥,100/07/11,13:38:17,公告本公司100年配息基準日
25,2476,鉅祥,100/07/13,15:12:28,公告本公司六月份自結盈餘
26,2476,鉅祥,100/08/15,14:19:58,公告本公司七月份自結盈餘
27,2476,鉅祥,100/08/29,15:36:40,公告本公司董事辭任
28,2476,鉅祥,100/09/15,15:09:10,公告本公司八月份自結盈餘
29,2476,鉅祥,100/09/19,16:51:37,更正本公司100年7月份關係人交易申報中之銷貨金額佔比
30,2476,鉅祥,100/10/11,15:05:27,代子公司鉅祥(泰)有限公司公告泰國發生澇災處置事宜
31,2476,鉅祥,100/10/14,13:35:53,公告本公司九月份自結盈餘
32,2476,鉅祥,100/11/15,14:58:42,公告本公司十月份自結盈餘
33,2476,鉅祥,100/12/15,13:49:20,公告本公司十一月份自結盈餘
34,2476,鉅祥,100/12/28,16:21:02,公告本公司100/12/28董事會決議通過「薪資報酬委員會 組織規程」及聘任第一屆薪資報酬委員會委員
