,公司代號,公司名稱,發言日期,發言時間,主旨
0,2476,鉅祥,102/01/15,16:55:29,公告本公司十二月份自結盈餘
1,2476,鉅祥,102/01/23,16:38:50,更正本公司101年度12月份資金貸與資訊揭露明細表之資料
2,2476,鉅祥,102/02/04,11:44:44,說明工商時報102年2月4日B3版報導
3,2476,鉅祥,102/02/08,11:57:27,公告本公司2013年1月份自結合併營收
4,2476,鉅祥,102/02/26,17:08:26,公告本公司102年1月份自結合併損益
5,2476,鉅祥,102/02/27,10:24:56,澄清經濟日報102年2月27日C5版報導
6,2476,鉅祥,102/03/08,14:24:31,公告本公司102年2月份自結合併營收
7,2476,鉅祥,102/03/18,16:12:53,公告本公司102年2月份自結合併損益
8,2476,鉅祥,102/03/26,16:10:30,董事會決議股利分派
9,2476,鉅祥,102/03/26,16:11:07,本公司董事會決議召開102年股東常會日期及相關事宜公告
10,2476,鉅祥,102/04/09,14:07:03,公告本公司102年3月份自結合併營收
11,2476,鉅祥,102/04/19,13:44:10,公告本公司102年3月份自結合併損益
12,2476,鉅祥,102/04/23,13:52:32,本公司102年股東常會受理股東提案已於4月22日截止
13,2476,鉅祥,102/05/09,13:43:53,公告本公司102年4月份自結合併營收
14,2476,鉅祥,102/05/13,19:06:58,公告本公司102年第一季財務報告
15,2476,鉅祥,102/05/20,13:49:36,公告本公司102年4月份自結合併損益
16,2476,鉅祥,102/06/10,14:18:47,公告本公司102年5月份自結合併營收
17,2476,鉅祥,102/06/17,13:56:39,公告本公司102年6月17日股東常會重要決議事項。
18,2476,鉅祥,102/06/17,13:57:30,公告本公司股東會解除董事之競業禁止限制
19,2476,鉅祥,102/06/18,13:33:00,公告本公司102年5月份自結合併損益
20,2476,鉅祥,102/07/08,14:37:46,公告本公司102年6月份自結合併營收
21,2476,鉅祥,102/07/15,08:58:44,公告蘇力颱風對本公司財務及業務並無重大影響
22,2476,鉅祥,102/07/22,13:40:03,公告本公司102年6月份自結合併損益
23,2476,鉅祥,102/07/22,13:40:36,公告修正本公司101年度年報部分資料
24,2476,鉅祥,102/08/02,17:14:09,代重要子公司上海鉅祥精密模具有限公司公告董事會 決議盈餘分配案
25,2476,鉅祥,102/08/02,17:43:04,代子公司上海鉅祥精密模具有限公司(上海鉅祥)公告 董事會決議轉投資四川錦岳廠之減資案
26,2476,鉅祥,102/08/08,15:16:58,公告本公司102年7月份自結合併營收
27,2476,鉅祥,102/08/13,14:10:45,公告本公司102年配息基準日
28,2476,鉅祥,102/08/16,13:39:57,公告本公司102年7月份自結合併損益
29,2476,鉅祥,102/09/09,13:48:19,公告本公司102年8月份自結合併營收
30,2476,鉅祥,102/09/16,17:08:59,公告本公司102年8月份自結合併損益
31,2476,鉅祥,102/10/09,14:28:38,公告本公司102年9月份自結合併營收
32,2476,鉅祥,102/10/18,15:39:04,公告本公司102年9月份自結合併損益
33,2476,鉅祥,102/11/08,17:15:23,公告本公司102年10月份自結合併營收
34,2476,鉅祥,102/11/18,15:06:55,公告本公司102年10月份自結合併損益
35,2476,鉅祥,102/12/09,13:42:03,公告本公司102年11月份自結合併營收
36,2476,鉅祥,102/12/17,13:42:34,公告本公司102年11月份自結合併損益
