,公司代號,公司名稱,發言日期,發言時間,主旨
0,2477,美隆電,102/01/08,08:58:50,公告本公司庫藏股註銷案辦理資本變更登記完成
1,2477,美隆電,102/02/19,16:59:48,代子公司MAKINGO DEVELOPMENT CORP.依據公開發行公司 資金貸與及背書保證處理準則第二十二條第一項第三款 規定公告.
2,2477,美隆電,102/02/19,17:00:42,代子公司FINE STATION LTD依據公開發行公司 資金貸與及背書保證處理準則第二十二條第一項 第三款規定公告
3,2477,美隆電,102/02/19,17:01:40,代子公司MEILOON INTERNATIONAL LTD依據公開發行公司 資金貸與及背書保證處理準則第二十二條第一項第三款 規定公告
4,2477,美隆電,102/02/19,17:02:11,代子公司MAKINGO DEVELOPMENT CORP.依據公開發行公司 資金貸與及背書保證處理準則第二十二條第一項第二款 規定公告
5,2477,美隆電,102/02/19,17:02:48,代子公司FINE STATION LTD. 依據公開發行公司 資金貸與及背書保證處理準則第二十二條第一項 第二款規定公告
6,2477,美隆電,102/02/19,17:03:15,代子公司MEILOON INTERNATIONAL LTD.依據公開發行公司 資金貸與及背書保證處理準則第二十二條第一項第二款 規定公告
7,2477,美隆電,102/03/04,17:21:42,補正公告本公司民國102年2月19日代子公司MAKINGO DEVELOPMENT CORP.依據公開發行公司資金貸與及背 書保證處理準則第二十二條第一項第二款規定之公告內容
8,2477,美隆電,102/03/04,17:22:01,補正公告本公司民國102年2月19日代子公司FINE STATION LTD.依據公開發行公司資金貸與及背 書保證處理準則第二十二條第一項第二款規定之公告內容
9,2477,美隆電,102/03/04,17:22:19,補正公告本公司民國102年2月19日代子公司MEILOON INTERNATIONAL LTD.依據公開發行公司資金貸與及背 書保證處理準則第二十二條第一項第二款規定之公告內容
10,2477,美隆電,102/03/04,17:22:35,補正公告本公司民國102年2月19日代子公司MAKINGO DEVELOPMENT CORP.依據公開發行公司資金貸與及背 書保證處理準則第二十二條第一項第三款規定之公告內容
11,2477,美隆電,102/03/04,17:22:51,補正公告本公司民國102年2月19日代子公司FINE STATION LTD.依據公開發行公司資金貸與及背 書保證處理準則第二十二條第一項第三款規定之公告內容
12,2477,美隆電,102/03/04,17:23:04,補正公告本公司民國102年2月19日代子公司MEILOON INTERNATIONAL LTD.依據公開發行公司資金貸與及背 書保證處理準則第二十二條第一項第三款規定之公告內容
13,2477,美隆電,102/03/05,18:31:44,公告本公司董事會決議召開102年股東常會事宜。
14,2477,美隆電,102/03/26,17:19:46,董事會決議股利分派
15,2477,美隆電,102/03/27,16:10:04,公告102/03/27地震對本公司財務及業務無影響
16,2477,美隆電,102/05/10,17:51:00,補充公告本公司董事會決議召開102年股東常會事宜(增列議案)。
17,2477,美隆電,102/06/24,17:02:44,公告本公司102年股東常會重要決議事項。
18,2477,美隆電,102/06/24,18:03:15,更正公告本公司102年股東常會重要決議事項。
19,2477,美隆電,102/07/23,18:59:49,代子公司隆成發投資股份有限公司公告簽訂不動產買賣預約書。
20,2477,美隆電,102/07/25,08:57:54,代子公司隆成發投資股份有限公司補充公告 簽訂不動產買賣預約書。
21,2477,美隆電,102/07/30,16:49:08,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別暸解。
22,2477,美隆電,102/07/30,18:13:07,代子公司隆成發投資股份有限公司公告董事會通過出售土地案。
23,2477,美隆電,102/08/02,14:50:48,代子公司隆成發投資股份有限公司公告簽訂土地買賣契約書。
24,2477,美隆電,102/08/12,17:41:54,公告本公司董事會決議102年現金股利配息基準日
25,2477,美隆電,102/12/12,17:33:17,公告對大陸投資相關資訊
26,2477,美隆電,102/12/12,17:38:46,"代子公司隆成發投資股份有限公司,依據公開發行公司 資金貸與及背書保證處理準則第二十二條第一項第三款 規定公告."
27,2477,美隆電,102/12/12,18:31:59,代子公司隆成發投資股份有限公司公告在印尼投資 設立PT. Taifa Jaya Development公司
