,公司代號,公司名稱,發言日期,發言時間,主旨
0,2481,強茂,109/01/29,23:54:44,公告武漢肺炎對本公司財務或業務並無重大影響
1,2481,強茂,109/02/11,20:00:54,公告本公司之大陸子公司春節復工情形
2,2481,強茂,109/02/24,14:41:11,本公司受邀參加國泰綜合證券舉辦之法人座談會
3,2481,強茂,109/02/27,14:19:58,代重要子公司江蘇艾德太陽能科技有限公司公告資產交易相關說明
4,2481,強茂,109/03/19,15:33:34,係因本公司有價證券於集中交易市場達公布注意交易資訊標準 ，故公布相關財務業務等重大訊息，以利投資人區別暸解。
5,2481,強茂,109/03/23,15:22:42,公告本公司董事會決議盈餘分配案
6,2481,強茂,109/03/23,15:29:06,本公司董事會決議召開一○九年股東常會相關事宜
7,2481,強茂,109/03/23,15:30:38,公告本公司董事會決議買回庫藏股事宜
8,2481,強茂,109/03/23,15:31:42,代重要子公司艾德光能(開曼)控股股份有限公司公告董事會 決議不發放股利。
9,2481,強茂,109/03/23,15:32:58,代重要子公司艾德光能(開曼)控股股份有限公司公告董事會 決議召開股東常會相關事宜
10,2481,強茂,109/05/22,15:07:47,公告本公司第十三次買回庫藏股期間屆滿及執行情形
11,2481,強茂,109/05/22,15:10:14,代重要子公司強茂電子(無錫)有限公司公告董事會 決議盈餘分配案。
12,2481,強茂,109/06/05,13:38:10,本公司受邀參加證交所與元富證券舉辦之線上法人說明會
13,2481,強茂,109/06/11,14:00:34,代重要子公司艾德光能(開曼)控股股份有限公司公告2020年 股東常會重要決議事項
14,2481,強茂,109/06/11,14:01:53,代重要子公司艾德光能(開曼)控股股份有限公司公告2020年 股東常會全面改選董事及監察人當選名單
15,2481,強茂,109/06/11,14:03:14,代重要子公司艾德(開曼)控股股份有限公司公告股東常會 通過解除新任董事及其代表人競業禁止之限制
16,2481,強茂,109/06/11,14:04:35,代重要子公司艾德光能(開曼)控股股份有限公司公告董事長 續任事宜
17,2481,強茂,109/06/12,15:38:04,公告本公司109年股東常會重要決議事項
18,2481,強茂,109/06/12,15:39:05,公告本公司109年股東常會董事(含獨立董事)改選當選名單
19,2481,強茂,109/06/12,15:41:12,公告本公司股東常會通過解除新任董事及其代表人 競業禁止之限制
20,2481,強茂,109/06/12,15:45:11,公告本公司董事長續任事宜
21,2481,強茂,109/06/12,15:48:40,公告本公司第二屆「審計委員會」委員名單
22,2481,強茂,109/06/12,15:51:09,公告本公司董事會決議委任薪資報酬委員會委員
23,2481,強茂,109/06/23,13:49:37,本公司受邀參加凱基證券舉辦之法人說明會
24,2481,強茂,109/06/30,14:50:16,公告本公司依董事會決議授權董事長訂定108年度盈餘發放 現金股利除息基準日及調整配息率
25,2481,強茂,109/08/12,16:34:57,公告本公司新增資金貸與金額達處理準則第二十二條 第一項第三款標準
26,2481,強茂,109/08/17,15:17:43,本公司受邀參加統一證券舉辦之法人說明會
27,2481,強茂,109/08/20,17:17:13,代重要子公司強茂電子(無鍚)有限公司公告取得商業銀行發 行三個月以上到期之保本及保息理財商品
28,2481,強茂,109/08/21,15:12:42,係因本公司有價證券於集中交易市場達公布注意交易資訊標準 ，故公布相關財務業務等重大訊息，以利投資人區別暸解。
29,2481,強茂,109/08/25,14:11:36,本公司受邀參加富邦證券舉辦之法人說明會
30,2481,強茂,109/08/25,14:12:15,本公司受邀參加永豐金證券舉辦之法人說明會
31,2481,強茂,109/08/25,14:12:39,本公司受邀參加麥格理證券舉辦之線上法人說明會
32,2481,強茂,109/08/28,13:35:02,公告本公司董事會通過重大設備投資案
33,2481,強茂,109/09/08,13:42:31,本公司受邀參加元富證券所舉辦之法人說明會
34,2481,強茂,109/09/24,16:04:31,本公司受邀參加專顧資本舉辦之線上法人說明會。
35,2481,強茂,109/09/25,14:19:50,"代子公司璟茂科技股份有限公司公告累積取得 JOYSTAR INTERNATIONAL CO., LTD.增資股權事宜"
