,公司代號,公司名稱,發言日期,發言時間,主旨
0,2489,瑞軒,101/03/02,15:43:39,"說明媒體報導""瑞軒監視器，今年拚300萬台""新聞。"
1,2489,瑞軒,101/03/13,00:30:53,"公告本公司應邀參加美林證券舉辦之「Taiwan, Techonology & Beyond 2012」法人說明會。"
2,2489,瑞軒,101/03/16,16:06:42,瑞軒科技公告董事會通過100年度財務報表。
3,2489,瑞軒,101/03/16,16:15:59,本公司100年度股東會決議通過之私募發行普通股及轉換公 司債案，經董事會決議通過於剩餘期限內將不繼續辦理。
4,2489,瑞軒,101/03/16,16:20:51,公告董事會決議一○一年股東常會日期。
5,2489,瑞軒,101/03/16,17:58:16,公告本公司董事會決議配發股利事宜。
6,2489,瑞軒,101/04/09,16:30:10,公告本公司召開股東常會(修正討論事項)。
7,2489,瑞軒,101/04/10,15:26:46,"說明媒體報導""瑞軒平價胖胖機 本季出擊""新聞。"
8,2489,瑞軒,101/04/23,17:52:40,瑞軒科技公告董事會承認101年第一季財務報表。
9,2489,瑞軒,101/05/14,16:31:46,"說明媒體報導""訂單加溫 瑞軒Q2營收旺起來 北美市場回 溫、Vizio AIO PC監視器助陣，今年出貨可望倍數成長""新聞。"
10,2489,瑞軒,101/05/15,14:47:34,採用國際會計準則公報(以下簡稱IFRSs)之101年1月1日開帳 日財務影響。
11,2489,瑞軒,101/06/18,14:40:38,公告本公司股東常會決議解除董事競業禁止之限制案。
12,2489,瑞軒,101/06/18,14:42:10,公告本公司一○一年股東常會重要決議事項
13,2489,瑞軒,101/06/18,14:43:09,公告本公司董事會選任董事長事宜。
14,2489,瑞軒,101/06/18,14:54:28,公告本公司一○一年股東常會全面改選董事及監察人
15,2489,瑞軒,101/06/29,15:08:56,公告本公司第二屆薪酬委員會成員名單。
16,2489,瑞軒,101/07/09,15:25:01,公告本公司董事會決議之除息基準日及第三及第四次 無擔保轉換公司債停止轉換期間。
17,2489,瑞軒,101/07/09,15:25:14,董事會決議股利發放事宜。
18,2489,瑞軒,101/07/20,14:27:53,公告本公司因流通在外股數變動調整配息率。
19,2489,瑞軒,101/07/25,14:08:57,補正本公司100年度股東會年報資料。
20,2489,瑞軒,101/08/14,13:32:25,瑞軒科技公告董事會承認101年第二季財務報表。
21,2489,瑞軒,101/08/15,16:15:33,"說明媒體報導""預期第3季市況仍維持平穩，瑞軒營收可望 落在140-150億元之間。""新聞。"
22,2489,瑞軒,101/09/04,23:49:14,公告本公司受邀參加瑞士信貸銀行股份有限公司舉辦之法人說明會
23,2489,瑞軒,101/10/08,16:25:36,"說明媒體報導""法人推估瑞軒本季營收可望有兩位數的成長"" ""新聞。"
24,2489,瑞軒,101/10/18,17:56:23,本公司國內第三次無擔保轉換公司債到期還本暨終止上櫃事 宜。
25,2489,瑞軒,101/10/26,14:03:17,瑞軒科技公告董事會承認101年第三季合併及非合併財務報表。
26,2489,瑞軒,101/10/29,15:43:41,"說明媒體報導""法人推估全年600萬台的出貨目標可望 達陣，而瑞軒今年每股可望賺2元。""新聞。"
27,2489,瑞軒,101/11/12,15:46:26,澄清有關媒體報導推估第四季營 收、淨利及出貨量之敘述。
28,2489,瑞軒,101/11/15,18:16:31,公告本公司法人監察人之代表人異動。
29,2489,瑞軒,101/11/19,14:06:08,公告本公司國內第四次無擔保可轉換公司債賣回權行使作業
30,2489,瑞軒,101/12/19,14:58:20,公告本公司內部稽核主管異動。
31,2489,瑞軒,101/12/19,14:58:52,公告本公司董事會通過對關係人之捐贈事宜。
