,公司代號,公司名稱,發言日期,發言時間,主旨
0,2489,瑞軒,106/01/12,14:39:45,更正公司105年第三季財務報告關係人交易及105年7~11月 關係人交易自結申報數進貨及應付款資訊。
1,2489,瑞軒,106/01/16,15:09:43,更正代子公司瑞旭科技股份有限公司取得不動產公告。 -依公開發行公司取處準則第15及16條規定評估之價格。
2,2489,瑞軒,106/03/17,14:45:41,瑞軒科技公告董事會通過105年度財務報告。
3,2489,瑞軒,106/03/17,14:46:33,公告董事會決議一○六年股東常會日期。
4,2489,瑞軒,106/03/17,14:47:09,董事會決議股利分派
5,2489,瑞軒,106/05/12,18:08:50,公告本公司董事會決議總經理異動訊息。
6,2489,瑞軒,106/05/12,19:31:25,瑞軒科技公告董事會通過106年第一季財務報告。
7,2489,瑞軒,106/06/13,14:51:31,公告本公司一○六年股東常會重要決議事項
8,2489,瑞軒,106/07/21,14:43:09,公告修正本公司105年度年報部份資料。
9,2489,瑞軒,106/08/04,13:58:37,公告本公司現金股利配息基準日。
10,2489,瑞軒,106/08/08,17:25:19,瑞軒科技公告董事會通過106年第二季財務報告。
11,2489,瑞軒,106/09/29,15:50:56,更正子公司瑞旭科技(股)公司取得不動產公告。
12,2489,瑞軒,106/11/13,15:55:37,瑞軒科技公告董事會通過106年第三季財務報告。
13,2489,瑞軒,106/11/13,15:58:36,公告本公司內部稽核主管異動。
14,2489,瑞軒,106/12/05,16:40:27,公告本公司受邀參加福邦證券舉辦之法人說明會
