,公司代號,公司名稱,發言日期,發言時間,主旨
0,2491,吉祥全,103/01/10,10:29:33,公告本公司為他人背書保證超限 改善計畫及改善情形
1,2491,吉祥全,103/01/10,15:29:15,補充揭露本公司101年第3季至102年第3季合併財務報告部份資訊
2,2491,吉祥全,103/01/24,17:32:48,本公司代子公司浩瀚數位股份有限公司公告處分有價證券
3,2491,吉祥全,103/01/28,11:52:18,公告本公司102年12月底自結合併財報之高流動資產、短期借 款及一年內到期之長期負債金額等財務資訊及說明投保中心訴請 本公司應與呂學仁等5人連帶賠償投資人損害訴訟之相關進度
4,2491,吉祥全,103/02/05,15:26:21,本公司代子公司浩瀚數位股份有限公司公告處分有價證券
5,2491,吉祥全,103/02/10,16:00:32,代子公司公告資金貸與金額達「公開發行公司 資金貸與及背書保證處理準則」第二十二條第 一項第二款及第一項第三款
6,2491,吉祥全,103/02/13,17:56:33,公告子公司資金貸與金額達「公開發行公司資金 貸與及背書保證處理準則」第二十二條第一項第 一款
7,2491,吉祥全,103/02/13,17:56:46,代子公司公告資金貸與金額達「公開發行公司資金貸與 及背書保證處理準則」第二十二條第一項第二款及第一 項第三款
8,2491,吉祥全,103/02/14,17:30:41,公告本公司與財團法人證券投資 人及期貨交易人保謢中心達成和解協議
9,2491,吉祥全,103/02/24,17:35:59,代子公司公告資金貸與金額達「公開發行公司 資金貸與及背書保證處理準則」第二十二條第 一項第三款
10,2491,吉祥全,103/02/27,13:42:25,公告本公司103年01月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
11,2491,吉祥全,103/03/03,08:47:01,本公司依證券交易法施行細則第7 條第2款規定公告
12,2491,吉祥全,103/03/07,16:41:01,係因本公司有價證券於集中交 易市場達公布注意交易資訊標準，故公布相關 財務業務等重大訊息，以利投資人區別瞭解
13,2491,吉祥全,103/03/11,13:44:58,本公司依證券交易法施行細 則第7條第2款規定公告
14,2491,吉祥全,103/03/12,12:58:12,公告本公司召開103年股東常會相關事宜
15,2491,吉祥全,103/03/12,13:07:26,代子公司公告資金貸與金額達「公開發行公司資金貸 與及背書保證處理準則」第二十二條第一項第三款
16,2491,吉祥全,103/03/24,16:25:22,代子公司大友國際光電股份有限公司 董事會公告決議召開103年股東 常會相關事宜
17,2491,吉祥全,103/03/24,16:27:21,代子公司大友國際光電股份有限公 司董事會決議不配發股利
18,2491,吉祥全,103/03/24,16:28:41,代重要子公司大友國際光電(股)公司公告 自102年起更換會計師事務所及簽證會計師
19,2491,吉祥全,103/03/25,14:33:49,代子公司大吉祥國際建設股份有限 公司董事會公告決議召開103年股東 常會相關事宜
20,2491,吉祥全,103/03/25,14:34:14,代子公司大吉祥國際建設股份 有限公司董事會決議不配發股利
21,2491,吉祥全,103/03/25,14:34:35,代子公司浩瀚數位設股份有限 公司董事會公告決議召開103年股東 常會相關事宜
22,2491,吉祥全,103/03/25,14:34:50,代子公司浩瀚數位設股份 有限公司董事會決議不配發股利
23,2491,吉祥全,103/03/25,15:43:31,更正公告本公司股利分派情申報作業
24,2491,吉祥全,103/03/25,16:29:20,董事會決議不分派股利
25,2491,吉祥全,103/03/28,14:16:02,公告本公司103年02月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
26,2491,吉祥全,103/04/08,16:13:41,公告本公司為他人背書保證超限 改善計畫及改善情形
27,2491,吉祥全,103/04/08,16:14:06,補充公告本公司召開103年股東常會相關事宜
28,2491,吉祥全,103/04/08,16:15:04,本公司董事會決議擬以私募方式 辦理現金增資發行普通股
29,2491,吉祥全,103/04/22,15:21:14,本公司102年股東常會通 過之私募普通股案，經董事會通過剩餘額 度於剩餘期限內將不繼續辦理
30,2491,吉祥全,103/04/29,15:58:45,公告本公司103年03月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
31,2491,吉祥全,103/05/14,13:54:52,公告越南暴動對本公司財務業務 無重大影響
32,2491,吉祥全,103/05/16,13:51:07,更正本公司103年第1季合併資產負債表中之待註銷股本股數
33,2491,吉祥全,103/05/19,11:28:34,更正公告本公司103年股東會議事手冊
34,2491,吉祥全,103/05/26,12:28:26,代子公司大友國際光電(股)公司公告 103年股東常會重大決議
35,2491,吉祥全,103/05/26,12:28:48,代子公司大友國際光電(股)公司 公告103年股東會改選董事及監察人事 宜
36,2491,吉祥全,103/05/26,12:29:04,代子公司大友國際光電公告 解除新任董事競業禁止之限制
37,2491,吉祥全,103/05/26,18:44:04,代子公司大吉祥國際建設(股)公司 公告103年股東常會重大決議
38,2491,吉祥全,103/05/26,18:44:41,代子公司大吉祥國際建設(股) 公司公告103年股東會改選董事及監察人事宜
39,2491,吉祥全,103/05/26,18:45:29,代子公司大吉祥國際建設(股)公司 公告解除新任董事競業禁止之限制
40,2491,吉祥全,103/05/28,16:33:32,係因本公司有價證券於集中交 易市場達公布注意交易資訊標準，故公布相關 財務業務等重大訊息，以利投資人區別瞭解
41,2491,吉祥全,103/05/29,13:49:28,公告本公司103年04月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
42,2491,吉祥全,103/05/30,11:09:28,公告本公司103年股東常會重大決議
43,2491,吉祥全,103/05/30,11:09:55,代子公司大友國際光電股份有限公司 公告董事長改選
44,2491,吉祥全,103/06/04,16:17:22,代子公司大吉祥國際建設股份有限公司 公告董事長改選
45,2491,吉祥全,103/06/10,15:22:08,代子公司浩瀚數位(股)公司公告 103年股東常會重大決議
46,2491,吉祥全,103/06/10,15:22:25,代子公司浩瀚數位(股)公司公告 103年股東會改選董事及監察人事宜
47,2491,吉祥全,103/06/10,15:22:36,代子公司浩瀚數位股份有限公司 公告董事長改選
48,2491,吉祥全,103/06/27,15:35:26,公告本公司103年05月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
49,2491,吉祥全,103/06/30,18:48:19,代重要子公司公告營運調整相關 事宜
50,2491,吉祥全,103/07/10,13:56:20,公告子公司資金貨與額度超限改善計畫
51,2491,吉祥全,103/07/31,14:02:01,公告本公司103年06月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
52,2491,吉祥全,103/08/08,13:52:18,代重要子公司大友國際光電(股)公 司公告董事會決議通過減資彌補虧損
53,2491,吉祥全,103/08/08,13:52:42,代子公司大友國際光電股份有限公司 董事會公告決議召開103年第一次股東臨時會相關事宜
54,2491,吉祥全,103/08/08,13:53:10,代重要子公司公告提列資產減 損相關事宜
55,2491,吉祥全,103/08/12,13:52:44,說明子公司董事長訴訟案
56,2491,吉祥全,103/08/14,15:37:07,更正本公司103年上半年度財務報告公告說明
57,2491,吉祥全,103/08/25,16:33:33,係因本公司有價證券於集中交 易市場達公布注意交易資訊標準，故公布相關 財務業務等重大訊息，以利投資人區別瞭解
58,2491,吉祥全,103/08/29,14:37:09,代子公司大友國際光電股份有限公司 公告103年第一次股東臨時會重要決議
59,2491,吉祥全,103/08/29,14:37:33,代子公司大友光電公告減資基準 日案
60,2491,吉祥全,103/08/29,14:38:37,代子公司大友國際光電股份有限公 司公告現金增資發行新股事宜
61,2491,吉祥全,103/08/29,14:41:10,公告本公司103年07月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
62,2491,吉祥全,103/09/29,13:41:26,公告本公司103年08月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
63,2491,吉祥全,103/09/30,14:30:12,公告子公司資金貸與額度超限改 善情形
64,2491,吉祥全,103/10/31,15:05:03,公告本公司103年09月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
65,2491,吉祥全,103/11/25,17:07:05,本公司有價證券於集中交易 市場有異常交易情形，故公佈基本資料及相關 財務業務等重大訊息，以利投資人區別瞭解
66,2491,吉祥全,103/11/28,14:37:35,公告本公司103年10月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
67,2491,吉祥全,103/12/30,14:26:50,公告本公司103年11月底自結合 併財務報表之高流動資產、短期借款及一年內 到期之長期負債金額等財務資訊
