,公司代號,公司名稱,發言日期,發言時間,主旨
0,2492,華新科,103/01/20,17:48:22,公告董事會決議買回本公司股份
1,2492,華新科,103/02/11,16:45:48,本公司董事會通過開曼華新科技有限公司新增資金貸與 金額達新台幣一千萬元以上且達華新科技最近期財務報 表淨值百分之二以上（代開曼華新科技公告）
2,2492,華新科,103/03/06,17:00:39,公告買回本公司股份執行完畢
3,2492,華新科,103/03/18,16:42:45,董事會決議103年股東常會召開相關事宜公告
4,2492,華新科,103/03/18,16:42:57,公司董事會決議原決議通過之私募發行普通股案不執行
5,2492,華新科,103/03/18,16:43:11,董事會決議不分派股利
6,2492,華新科,103/05/09,15:41:32,補申報本公司之子公司103/03衍生性商品交易
7,2492,華新科,103/05/12,17:32:43,本公司董事會通過開曼華新科技有限公司新增資金貸與 金額達新台幣一千萬元以上且達華新科技最近期財務報 表淨值百分之二以上（代開曼華新科技公告）
8,2492,華新科,103/05/12,17:33:02,本公司董事會通過華科香港控股有限公司新增資金貸與金額 達新台幣一千萬元以上且達華新科技最近期財務報表淨值百 分之二以上（代華科香港控股公告）
9,2492,華新科,103/06/06,11:33:24,董事會決議解除經理人從事競業之限制
10,2492,華新科,103/06/23,18:43:08,本公司103年股東會重要決議事項
11,2492,華新科,103/06/23,18:43:19,股東會決議解除董事競業禁止限制
12,2492,華新科,103/07/18,13:59:24,更新本公司102年度年報資料
13,2492,華新科,103/07/23,17:42:22,公告本公司財務主管異動
14,2492,華新科,103/07/23,17:42:43,董事會決議解除經理人從事競業之限制
15,2492,華新科,103/07/23,17:44:31,公告本公司董事會決議對關係人之捐贈
16,2492,華新科,103/08/12,16:52:23,公告董事會決議買回本公司股份
17,2492,華新科,103/08/27,17:18:12,公告買回本公司股份執行完畢
18,2492,華新科,103/09/12,18:09:22,公告本公司法人監察人之代表人異動
19,2492,華新科,103/09/12,18:20:31,公告董事會決議買回本公司股份
20,2492,華新科,103/10/03,17:19:11,公告買回本公司股份執行完畢
21,2492,華新科,103/11/11,15:53:42,公告本公司董事會決議註銷庫藏股減資事宜
22,2492,華新科,103/11/14,08:36:39,公告本公司參展中國國際高新技術成果交易會
23,2492,華新科,103/11/21,17:52:45,公告本公司辦理庫藏股註銷減資變更登記完成
24,2492,華新科,103/12/17,15:52:27,公告本公司對關係人之捐贈
25,2492,華新科,103/12/17,15:53:13,代孫公司華盈科技(重慶)有限公司公告返還重慶市 永川鳳凰湖工業園土地使用權
26,2492,華新科,103/12/17,15:53:31,本公司董事會通過開曼華新科技有限公司新增資金貸與 金額達新台幣一千萬元以上且達華新科技最近期財務報 表淨值百分之二以上（代開曼華新科技公告）
