,公司代號,公司名稱,發言日期,發言時間,主旨
0,2497,怡利電,107/02/06,16:59:14,代重要子公司怡利電子科技(江蘇)有限公司公告法人董事 改派代表人
1,2497,怡利電,107/02/06,16:59:49,代重要子公司怡利電子科技(江蘇)有限公司公告董事長 改派法人代表人
2,2497,怡利電,107/02/07,14:22:01,公告本公司新任行銷長
3,2497,怡利電,107/03/26,13:43:17,公告本公司106年度個體財務報告及合併財務報告業經董事會通過
4,2497,怡利電,107/03/26,13:45:24,公告本公司不配發106年度員工酬勞及董監事酬勞
5,2497,怡利電,107/03/26,13:46:52,公告本公司董事會決議召開一○七年股東常會日期及相關事宜
6,2497,怡利電,107/03/26,13:55:11,董事會決議股利分派
7,2497,怡利電,107/05/09,14:10:30,公告本公司107年第1季合併財務報表已提報董事會
8,2497,怡利電,107/06/13,16:06:50,公告本公司民國107年股東常會重要決議事項
9,2497,怡利電,107/07/10,14:40:13,公告修訂本公司106年度年報部分內容
10,2497,怡利電,107/08/08,14:30:52,公告本公司107年第2季合併財務報表已提報董事會
11,2497,怡利電,107/08/08,14:34:13,本公司董事會通過資金貸與子公司
12,2497,怡利電,107/08/08,14:34:49,本公司董事會通過對子公司背書保證
13,2497,怡利電,107/09/12,13:38:36,本公司受邀參加元大證券舉辦之產業座談會
14,2497,怡利電,107/11/13,13:40:05,公告本公司107年第3季合併財務報表已提報董事會
15,2497,怡利電,107/11/13,13:47:19,本公司董事會通過資金貸與子公司
