,公司代號,公司名稱,發言日期,發言時間,主旨
0,2501,國建,102/02/06,17:10:00,依公開發行公司資金貸與及背書保證處理準則 第25條第1項第4款公告。
1,2501,國建,102/03/21,17:38:05,公告本公司董事會決議召開一○二年股東常會相關事宜
2,2501,國建,102/03/28,17:40:32,公告102/03/27地震對本公司財務業務並無重大影響。
3,2501,國建,102/04/12,17:13:46,取得台南市營建用地。
4,2501,國建,102/04/19,17:33:23,澄清聯合晚報102年4月19日報導有關本公司營收及獲利資訊。
5,2501,國建,102/04/30,14:31:52,新竹縣竹北市永興段514地號結構體新建工程契約
6,2501,國建,102/04/30,15:00:06,補充公告本公司董事會決議召開102年股東常會相關事宜
7,2501,國建,102/04/30,15:03:14,董事會決議股利分派
8,2501,國建,102/04/30,17:32:55,參與Cathay Real Estate Holding Corporation現金增資。
9,2501,國建,102/05/02,11:50:07,澄清工商時報102年5月1日報導有關本公司營收資訊。
10,2501,國建,102/06/03,10:42:29,公告102/06/02地震對本公司財務業務並無重大影響。
11,2501,國建,102/06/14,15:21:07,台中市南屯區豐業段202、203、206、207地號結構體新建工程契約
12,2501,國建,102/06/14,17:01:40,公告本公司102年股東常會重要決議事項
13,2501,國建,102/06/14,17:07:09,公告一○二年股東會通過解除董事競業禁止之限制
14,2501,國建,102/06/14,17:10:57,公告本公司101年度現金股利配發基準日
15,2501,國建,102/06/24,08:55:17,代子公司Cathay Real Estate Holding公告間接經由 Golden Gate Pacific取得陸景股權。
16,2501,國建,102/07/15,10:27:55,公告蘇力颱風對本公司財務業務並無重大影響。
17,2501,國建,102/09/18,17:25:03,與非關係人就桃園市桃園段武陵小段土地簽訂合建分屋契約。
18,2501,國建,102/10/25,17:17:37,取得臺中市營建用地。
19,2501,國建,102/11/06,16:35:47,台北市長春段二小段125-1等地號結構體與竹北市永興段514地號 及台中市豐業段202等地號裝修機電新建工程契約
20,2501,國建,102/11/25,18:20:28,公告處分玉山金融控股股份有限公司股票
21,2501,國建,102/11/26,17:15:23,與非關係人就桃園市桃園段武陵小段土地簽訂合建分屋契約。
22,2501,國建,102/12/25,17:23:48,取得高雄市盛興段營建用地。
