,公司代號,公司名稱,發言日期,發言時間,主旨
0,2501,國建,107/03/13,17:40:40,臺中市北屯區昌平段477地號等3筆地號新建工程契約
1,2501,國建,107/03/16,17:06:07,公告本公司董事會決議召開107年股東常會相關事宜
2,2501,國建,107/03/16,17:12:56,桃園中路二段新建工程及新北板橋江翠段結構體新建工程契約
3,2501,國建,107/03/16,17:13:44,公告本公司董事會通過106年 員工酬勞及董事酬勞
4,2501,國建,107/03/16,17:14:33,公告本公司財務主管、會計主管 及代理發言人異動
5,2501,國建,107/04/03,17:07:14,本公司與「三井工程股份有限公司」解除台南安平區新南段0080- 0005地號新建工程契約
6,2501,國建,107/04/19,16:33:53,補充公告本公司董事會決議召開107年股東常會相關事宜
7,2501,國建,107/04/19,17:10:35,董事會決議股利分派
8,2501,國建,107/04/19,17:14:08,台南市安平區新南段0080-0005地號結構、裝修、公設、機電、景 觀新建工程
9,2501,國建,107/05/17,17:32:20,取得新北市新店區斯馨段營建用地。
10,2501,國建,107/05/29,17:00:48,取得台南市東區平實段營建用地。
11,2501,國建,107/06/08,14:39:50,公告本公司107年股東常會重要決議事項
12,2501,國建,107/06/08,14:49:30,公告一○七年股東常會通過解除董事競業禁止之限制
13,2501,國建,107/06/08,14:49:50,公告本公司106年度現金股利配發基準日
14,2501,國建,107/07/06,17:35:42,代子公司CCH Commercial Company Limited公告處分Lotus Investment Company Limited及Golden Gate Investment Company Limited間接轉讓持有加恒(上海)置業及上海陸景置業之股權。
15,2501,國建,107/08/08,17:05:03,代子公司國泰商旅(股)公司公告取得國泰人壽大樓營業用設施。
16,2501,國建,107/10/15,15:02:01,澄清自由時報107年10月15日有關本公司投資中國之報導。
17,2501,國建,107/10/24,17:17:22,公告本公司簽訂:新北市三重區五谷王361地號等14筆地號 新建工程契約
18,2501,國建,107/10/25,14:12:10,本公司受邀參加國泰證券舉辦之法人說明會，簡介本公司營運績效及策略。
19,2501,國建,107/11/08,17:20:29,公告出售本公司建案之房地及車位予關係人。
20,2501,國建,107/11/22,17:30:27,取得臺中市北屯區竹興段營建用地。
