,公司代號,公司名稱,發言日期,發言時間,主旨
0,2504,國產,102/01/15,12:05:42,說明經濟日報102年1月15日A17版報導
1,2504,國產,102/02/04,10:49:46,說明經濟日報102年2月4日C5版報導
2,2504,國產,102/02/06,17:48:26,公告本公司向非關係人取得新北市 汐止區北山段1212、1213地號共2筆土地
3,2504,國產,102/03/04,12:28:41,說明經濟日報102年3月4日C5版報導
4,2504,國產,102/03/08,12:25:28,說明GTV八大第1台 點石成金節目報導
5,2504,國產,102/03/25,17:47:43,董事會決議股利分派
6,2504,國產,102/03/25,17:48:00,董事會決議事項公告
7,2504,國產,102/03/25,17:48:31,公告本公司董事會決議召開一0二年股東常會相關事宜
8,2504,國產,102/03/27,15:12:31,公告102/03/27南投地震對本公司財務及業務並無重大影響
9,2504,國產,102/04/09,18:04:35,公告本公司取得台北市道路容積移轉土地
10,2504,國產,102/05/02,11:32:30,說明工商時報102年5月1日B4版報導
11,2504,國產,102/05/17,12:06:31,公告更正本公司102年第一季合併財務報告第46頁說明。
12,2504,國產,102/05/30,11:23:04,說明工商時報102年5月30日B4版報導
13,2504,國產,102/06/03,16:36:56,公告102/06/02南投地震對本公司財務及業務並無重大影響
14,2504,國產,102/06/10,19:29:51,本公司第一屆薪酬委員會委員任期屆滿
15,2504,國產,102/06/11,16:38:36,一○二年度股東常會決議事項
16,2504,國產,102/06/11,16:40:12,公告本公司董監事改選，董事變動三分之一以上
17,2504,國產,102/06/11,16:40:59,公告本公司董事長及副董事長異動
18,2504,國產,102/06/11,16:41:44,本公司新設獨立董事當選公告
19,2504,國產,102/06/13,11:55:20,說明經濟日報102年6月12日A4版報導
20,2504,國產,102/06/20,17:49:45,本公司受邀參加富邦2013年度投資論壇
21,2504,國產,102/06/24,17:33:54,公告本公司薪酬委員變動
22,2504,國產,102/06/25,17:26:13,公告本公司101年度現金股利配發基準日為102年7月16日
23,2504,國產,102/07/15,14:45:42,公告蘇力颱風對本公司財務、業務無重大影響。
24,2504,國產,102/07/16,10:54:25,說明經濟日報102年7月16日C7版報導
25,2504,國產,102/07/19,13:56:09,公告修正本公司101年度年報資料。
26,2504,國產,102/09/12,10:10:48,說明經濟日報102年9月12日C7版報導
27,2504,國產,102/09/30,10:30:59,說明工商時報102年9月30日A10版報導
28,2504,國產,102/10/18,10:39:11,說明工商時報102年10月18日B4版報導
29,2504,國產,102/10/21,13:13:29,說明經濟日報102年10月21日C5版報導
30,2504,國產,102/11/04,10:25:15,說明經濟日報102年11月04日C3版報導
31,2504,國產,102/11/11,16:41:12,公告本公司102年10月份自結合併損益
32,2504,國產,102/11/12,11:45:25,說明工商時報102年11月12日B5版報導
33,2504,國產,102/11/14,17:34:00,本公司處分寶齡富錦生技股份有限公司普通股一年內累計 達新臺幣三億元
34,2504,國產,102/12/05,11:56:39,說明工商時報102年12月5日B4版報導
35,2504,國產,102/12/06,18:13:26,公告本公司102年11月份自結合併損益
36,2504,國產,102/12/09,11:50:21,說明經濟日報102年12月9日C5版報導
37,2504,國產,102/12/13,11:59:33,說明自由時報102年12月13日C2版報導
38,2504,國產,102/12/13,11:59:56,說明蘋果日報102年12月13日B8版報導
39,2504,國產,102/12/18,12:26:58,說明工商時報102年12月18日A22版報導
