,公司代號,公司名稱,發言日期,發言時間,主旨
0,2504,國產,109/01/09,09:53:25,本公司12月份自結合併營收之補充說明
1,2504,國產,109/02/05,16:18:00,代重要子公司EASE GREAT INVESTMENTS LTD.公告辦理減資事宜
2,2504,國產,109/02/10,16:48:24,本公司1月份自結合併營收之補充說明
3,2504,國產,109/02/11,17:55:30,本公司南港都更案之說明
4,2504,國產,109/03/09,08:47:09,本公司2月份自結合併營收之補充說明
5,2504,國產,109/03/17,16:30:02,公告本公司董事會決議召開109年股東常會日期及相關事宜
6,2504,國產,109/03/17,16:30:31,本公司董事會決議通過108年度員工酬勞及董事酬勞配發案
7,2504,國產,109/03/17,16:32:24,公告本公司董事會決議第九次買回本公司股份
8,2504,國產,109/04/01,16:08:24,公告本公司財務主管異動
9,2504,國產,109/04/09,12:34:33,本公司3月份自結合併營收之補充說明
10,2504,國產,109/04/27,17:24:38,公告本公司第九次買回庫藏股執行期間屆滿及執行情形
11,2504,國產,109/05/06,17:16:34,公告本公司董事會決議註銷庫藏股減資事宜
12,2504,國產,109/05/06,17:19:48,本公司董事會決議辦理現金減資案
13,2504,國產,109/05/06,17:20:32,公告本公司董事會決議召開109年股東常會補充公告
14,2504,國產,109/05/06,17:21:15,公告本公司董事會決議與子公司簡易合併
15,2504,國產,109/05/06,17:22:00,董事會決議股利分派
16,2504,國產,109/05/07,10:22:40,更正股利分派公告
17,2504,國產,109/05/11,09:36:35,本公司4月份自結合併營收之補充說明
18,2504,國產,109/06/09,16:46:35,本公司5月份自結合併營收之補充說明
19,2504,國產,109/06/17,16:33:03,一○九年度股東常會決議事項
20,2504,國產,109/06/17,16:36:52,本公司辦理現金減資致債權人公告
21,2504,國產,109/06/23,16:34:45,公告本公司辦理庫藏股註銷減資變更登記完成
22,2504,國產,109/06/30,16:44:40,公告本公司108年度現金股利配發基準日為109年7月22日
23,2504,國產,109/07/01,16:12:50,公告本公司之子公司台北港埠通商股份有限公司溢繳權利金事宜
24,2504,國產,109/07/07,16:04:37,本公司6月份自結合併營收之補充說明
25,2504,國產,109/08/06,15:32:17,本公司7月份自結合併營收之補充說明
26,2504,國產,109/08/11,16:06:23,公告本公司減資基準日及減資換發股票基準日等相關事宜
27,2504,國產,109/09/03,16:20:48,公告本公司現金減資辦理完成變更登記
28,2504,國產,109/09/04,15:31:57,代重要子公司EASE GREAT INVESTMENTS LIMITED公告董事會決議 發放現金股利
29,2504,國產,109/09/08,14:35:14,本公司8月份自結合併營收之補充說明
30,2504,國產,109/09/28,14:32:10,代重要子公司EASE GREAT INVESTMENTS LTD.公告辦理減資事宜
31,2504,國產,109/10/12,08:56:11,本公司9月份自結合併營收之補充說明
